"name" "cluster" "chr" "start" "end" "freq"
"101" "ncAvAR-2534" 535 "chr2" "103941817" "103942323" 15
"102" "ncAvAR-23" 1228 "chr8" "20817551" "20817658" 15
"103" "ncAvAR-50" 1228 "chr8" "21083458" "21083594" 15
"104" "ncAvAR-190" 1228 "chr8" "20997902" "20998070" 15
"105" "ncAvAR-234" 1228 "chr8" "21000098" "21000344" 15
"106" "ncAvAR-369" 1228 "chr8" "20962081" "20962323" 15
"107" "ncAvAR-371" 1228 "chr8" "20796999" "20797242" 15
"108" "ncAvAR-647" 1228 "chr8" "20868131" "20868361" 15
"109" "ncAvAR-803" 1228 "chr8" "20841408" "20841544" 15
"110" "ncAvAR-932" 1228 "chr8" "21064873" "21065179" 15
"111" "ncAvAR-960" 1228 "chr8" "20834982" "20835138" 15
"112" "ncAvAR-1089" 1228 "chr8" "21006654" "21007174" 15
"113" "ncAvAR-1117" 1228 "chr8" "20921771" "20922125" 15
"114" "ncAvAR-1290" 1228 "chr8" "20957082" "20957286" 15
"115" "ncAvAR-1354" 1228 "chr8" "20882989" "20883202" 15
"116" "ncAvAR-1867" 1228 "chr8" "21043656" "21043957" 15
"117" "ncAvAR-199" 230 "chr1" "136304462" "136304633" 14
"118" "ncAvAR-458" 230 "chr1" "136174800" "136175164" 14
"119" "ncAvAR-1140" 230 "chr1" "136241639" "136241820" 14
"120" "ncAvAR-1234" 230 "chr1" "136218629" "136218825" 14
"121" "ncAvAR-1613" 230 "chr1" "136150588" "136150846" 14
"122" "ncAvAR-1624" 230 "chr1" "136294893" "136295411" 14
"123" "ncAvAR-1852" 230 "chr1" "136175360" "136175955" 14
"124" "ncAvAR-2086" 230 "chr1" "136287605" "136287953" 14
"125" "ncAvAR-2154" 230 "chr1" "136194250" "136194617" 14
"126" "ncAvAR-2305" 230 "chr1" "136140506" "136140919" 14
"127" "ncAvAR-2329" 230 "chr1" "136237133" "136237554" 14
"128" "ncAvAR-2535" 230 "chr1" "136228481" "136228988" 14
"129" "ncAvAR-2695" 230 "chr1" "136133917" "136134532" 14
"130" "ncAvAR-2797" 230 "chr1" "136150969" "136151717" 14
"131" "ncAvAR-396" 280 "chr1" "158120423" "158120761" 14
"132" "ncAvAR-727" 280 "chr1" "158223421" "158223926" 14
"133" "ncAvAR-864" 280 "chr1" "158076435" "158076723" 14
"134" "ncAvAR-1156" 280 "chr1" "158235271" "158235637" 14
"135" "ncAvAR-1180" 280 "chr1" "158317467" "158317840" 14
"136" "ncAvAR-1284" 280 "chr1" "158313222" "158313628" 14
"137" "ncAvAR-1344" 280 "chr1" "158277898" "158278110" 14
"138" "ncAvAR-1436" 280 "chr1" "158172027" "158172480" 14
"139" "ncAvAR-1774" 280 "chr1" "158213427" "158213996" 14
"140" "ncAvAR-2052" 280 "chr1" "158266951" "158267290" 14
"141" "ncAvAR-2441" 280 "chr1" "158133270" "158133734" 14
"142" "ncAvAR-2555" 280 "chr1" "158117775" "158118294" 14
"143" "ncAvAR-2581" 280 "chr1" "158212760" "158213297" 14
"144" "ncAvAR-2882" 280 "chr1" "158099705" "158100891" 14
"145" "ncAvAR-6" 217 "chr1" "131089913" "131090138" 12
"146" "ncAvAR-111" 217 "chr1" "131182352" "131182669" 12
"147" "ncAvAR-363" 217 "chr1" "131084806" "131085046" 12
"148" "ncAvAR-609" 217 "chr1" "131119424" "131119756" 12
"149" "ncAvAR-772" 217 "chr1" "131133471" "131133864" 12
"150" "ncAvAR-1076" 217 "chr1" "131061368" "131061711" 12
"151" "ncAvAR-1272" 217 "chr1" "131173324" "131173727" 12
"152" "ncAvAR-1378" 217 "chr1" "131171849" "131172282" 12
"153" "ncAvAR-1570" 217 "chr1" "131129699" "131130194" 12
"154" "ncAvAR-1917" 217 "chr1" "131060184" "131060496" 12
"155" "ncAvAR-2200" 217 "chr1" "131118979" "131119362" 12
"156" "ncAvAR-2287" 217 "chr1" "131055759" "131056167" 12
"157" "ncAvAR-117" 625 "chr3" "1786447" "1786812" 12
"158" "ncAvAR-120" 625 "chr3" "1654493" "1654677" 12
"159" "ncAvAR-691" 625 "chr3" "1592745" "1593469" 12
"160" "ncAvAR-1060" 625 "chr3" "1565562" "1565730" 12
"161" "ncAvAR-1152" 625 "chr3" "1664129" "1664311" 12
"162" "ncAvAR-1893" 625 "chr3" "1699280" "1699585" 12
"163" "ncAvAR-2136" 625 "chr3" "1607531" "1607893" 12
"164" "ncAvAR-2190" 625 "chr3" "1685612" "1685991" 12
"165" "ncAvAR-2230" 625 "chr3" "1739424" "1739814" 12
"166" "ncAvAR-2472" 625 "chr3" "1587233" "1587709" 12
"167" "ncAvAR-2540" 625 "chr3" "1768554" "1769063" 12
"168" "ncAvAR-2641" 625 "chr3" "1746207" "1746777" 12
"169" "ncAvAR-390" 1393 "chr12" "9765472" "9765807" 12
"170" "ncAvAR-557" 1393 "chr12" "9720092" "9720301" 12
"171" "ncAvAR-757" 1393 "chr12" "9639493" "9639622" 12
"172" "ncAvAR-1041" 1393 "chr12" "9721317" "9721483" 12
"173" "ncAvAR-1050" 1393 "chr12" "9755557" "9755892" 12
"174" "ncAvAR-1107" 1393 "chr12" "9680736" "9681263" 12
"175" "ncAvAR-1109" 1393 "chr12" "9733901" "9734253" 12
"176" "ncAvAR-1324" 1393 "chr12" "9672799" "9673427" 12
"177" "ncAvAR-1404" 1393 "chr12" "9768830" "9769272" 12
"178" "ncAvAR-1877" 1393 "chr12" "9654892" "9655496" 12
"179" "ncAvAR-2046" 1393 "chr12" "9757650" "9757987" 12
"180" "ncAvAR-2312" 1393 "chr12" "9664573" "9664989" 12
"181" "ncAvAR-346" 1411 "chr12" "16145092" "16145401" 12
"182" "ncAvAR-349" 1411 "chr12" "16195428" "16195893" 12
"183" "ncAvAR-692" 1411 "chr12" "16213861" "16214103" 12
"184" "ncAvAR-930" 1411 "chr12" "16182727" "16183032" 12
"185" "ncAvAR-1127" 1411 "chr12" "16133748" "16133926" 12
"186" "ncAvAR-1164" 1411 "chr12" "16238646" "16238830" 12
"187" "ncAvAR-1178" 1411 "chr12" "16127033" "16127405" 12
"188" "ncAvAR-1215" 1411 "chr12" "16175511" "16175898" 12
"189" "ncAvAR-1468" 1411 "chr12" "16187406" "16187637" 12
"190" "ncAvAR-1886" 1411 "chr12" "16142406" "16143013" 12
"191" "ncAvAR-2434" 1411 "chr12" "16149019" "16149481" 12
"192" "ncAvAR-2756" 1411 "chr12" "16155276" "16155948" 12
"193" "ncAvAR-137" 111 "chr1" "63643843" "63644038" 11
"194" "ncAvAR-298" 111 "chr1" "63760756" "63761034" 11
"195" "ncAvAR-435" 111 "chr1" "63659801" "63660065" 11
"196" "ncAvAR-486" 111 "chr1" "63803161" "63803629" 11
"197" "ncAvAR-868" 111 "chr1" "63832730" "63832874" 11
"198" "ncAvAR-953" 111 "chr1" "63735510" "63735665" 11
"199" "ncAvAR-1106" 111 "chr1" "63830066" "63830417" 11
"200" "ncAvAR-1545" 111 "chr1" "63675034" "63675522" 11
"201" "ncAvAR-1863" 111 "chr1" "63883338" "63883938" 11
"202" "ncAvAR-2578" 111 "chr1" "63842823" "63843358" 11
"203" "ncAvAR-2862" 111 "chr1" "63687606" "63688570" 11
"204" "ncAvAR-704" 411 "chr2" "32315199" "32315568" 11
"205" "ncAvAR-1003" 411 "chr2" "32426899" "32427383" 11
"206" "ncAvAR-1199" 411 "chr2" "32476455" "32476836" 11
"207" "ncAvAR-1325" 411 "chr2" "32354463" "32354882" 11
"208" "ncAvAR-1685" 411 "chr2" "32378988" "32379796" 11
"209" "ncAvAR-1834" 411 "chr2" "32411674" "32411969" 11
"210" "ncAvAR-1850" 411 "chr2" "32403935" "32404529" 11
"211" "ncAvAR-1950" 411 "chr2" "32293554" "32293870" 11
"212" "ncAvAR-2255" 411 "chr2" "32341121" "32341518" 11
"213" "ncAvAR-2657" 411 "chr2" "32408401" "32408981" 11
"214" "ncAvAR-2820" 411 "chr2" "32380447" "32381268" 11
"215" "ncAvAR-150" 523 "chr2" "91176400" "91176552" 11
"216" "ncAvAR-461" 523 "chr2" "91082342" "91082524" 11
"217" "ncAvAR-467" 523 "chr2" "91166486" "91166762" 11
"218" "ncAvAR-657" 523 "chr2" "91149009" "91149589" 11
"219" "ncAvAR-1051" 523 "chr2" "91191381" "91191716" 11
"220" "ncAvAR-1427" 523 "chr2" "91121267" "91121491" 11
"221" "ncAvAR-1580" 523 "chr2" "91181920" "91182170" 11
"222" "ncAvAR-1697" 523 "chr2" "91063623" "91063893" 11
"223" "ncAvAR-2106" 523 "chr2" "91162883" "91163236" 11
"224" "ncAvAR-2216" 523 "chr2" "91135149" "91135535" 11
"225" "ncAvAR-2404" 523 "chr2" "91133676" "91134124" 11
"226" "ncAvAR-774" 553 "chr2" "112461362" "112461625" 11
"227" "ncAvAR-1357" 553 "chr2" "112319122" "112319335" 11
"228" "ncAvAR-1626" 553 "chr2" "112308703" "112308962" 11
"229" "ncAvAR-1674" 553 "chr2" "112490116" "112490651" 11
"230" "ncAvAR-1843" 553 "chr2" "112209746" "112210042" 11
"231" "ncAvAR-2092" 553 "chr2" "112255850" "112256199" 11
"232" "ncAvAR-2144" 553 "chr2" "112364175" "112364539" 11
"233" "ncAvAR-2509" 553 "chr2" "112403970" "112404462" 11
"234" "ncAvAR-2595" 553 "chr2" "112423716" "112424259" 11
"235" "ncAvAR-2782" 553 "chr2" "112299612" "112300331" 11
"236" "ncAvAR-2865" 553 "chr2" "112192814" "112193801" 11
"237" "ncAvAR-106" 1212 "chr8" "15182151" "15182419" 11
"238" "ncAvAR-771" 1212 "chr8" "15303458" "15303589" 11
"239" "ncAvAR-1426" 1212 "chr8" "15310149" "15311045" 11
"240" "ncAvAR-1488" 1212 "chr8" "15127529" "15127764" 11
"241" "ncAvAR-2156" 1212 "chr8" "15189440" "15190175" 11
"242" "ncAvAR-2594" 1212 "chr8" "15070703" "15071246" 11
"243" "ncAvAR-2726" 1212 "chr8" "15260330" "15260971" 11
"244" "ncAvAR-2754" 1212 "chr8" "15195325" "15195996" 11
"245" "ncAvAR-2766" 1212 "chr8" "15211302" "15211993" 11
"246" "ncAvAR-2851" 1212 "chr8" "15102319" "15103238" 11
"247" "ncAvAR-2885" 1212 "chr8" "15137946" "15139315" 11
"248" "ncAvAR-563" 141 "chr1" "83361864" "83362074" 10
"249" "ncAvAR-695" 141 "chr1" "83288256" "83288741" 10
"250" "ncAvAR-997" 141 "chr1" "83330795" "83331277" 10
"251" "ncAvAR-1083" 141 "chr1" "83397701" "83397874" 10
"252" "ncAvAR-1216" 141 "chr1" "83435929" "83436317" 10
"253" "ncAvAR-1500" 141 "chr1" "83314646" "83315122" 10
"254" "ncAvAR-1815" 141 "chr1" "83365387" "83365678" 10
"255" "ncAvAR-1939" 141 "chr1" "83383418" "83383733" 10
"256" "ncAvAR-2280" 141 "chr1" "83324109" "83324515" 10
"257" "ncAvAR-2824" 141 "chr1" "83437782" "83438620" 10
"258" "ncAvAR-154" 251 "chr1" "145857684" "145857989" 10
"259" "ncAvAR-166" 251 "chr1" "145873434" "145873645" 10
"260" "ncAvAR-760" 251 "chr1" "145843541" "145843800" 10
"261" "ncAvAR-1348" 251 "chr1" "145876909" "145877334" 10
"262" "ncAvAR-1864" 251 "chr1" "145855758" "145856359" 10
"263" "ncAvAR-1942" 251 "chr1" "145790042" "145790357" 10
"264" "ncAvAR-2023" 251 "chr1" "145777200" "145777531" 10
"265" "ncAvAR-2146" 251 "chr1" "145891867" "145892232" 10
"266" "ncAvAR-2550" 251 "chr1" "145815772" "145816287" 10
"267" "ncAvAR-2821" 251 "chr1" "145830724" "145831553" 10
"268" "ncAvAR-66" 578 "chr2" "125071802" "125071915" 10
"269" "ncAvAR-174" 578 "chr2" "124942835" "124942995" 10
"270" "ncAvAR-194" 578 "chr2" "124906025" "124906476" 10
"271" "ncAvAR-372" 578 "chr2" "124895329" "124895572" 10
"272" "ncAvAR-851" 578 "chr2" "124922045" "124922753" 10
"273" "ncAvAR-1349" 578 "chr2" "125026497" "125027347" 10
"274" "ncAvAR-1703" 578 "chr2" "124892817" "124893088" 10
"275" "ncAvAR-2006" 578 "chr2" "124978138" "124978465" 10
"276" "ncAvAR-2045" 578 "chr2" "125090901" "125091237" 10
"277" "ncAvAR-2431" 578 "chr2" "125019852" "125020772" 10
"278" "ncAvAR-75" 1094 "chr6" "28128341" "28128573" 10
"279" "ncAvAR-182" 1094 "chr6" "28078250" "28078413" 10
"280" "ncAvAR-429" 1094 "chr6" "28097204" "28097556" 10
"281" "ncAvAR-523" 1094 "chr6" "28198906" "28199202" 10
"282" "ncAvAR-1138" 1094 "chr6" "28278153" "28278514" 10
"283" "ncAvAR-1155" 1094 "chr6" "28064339" "28064522" 10
"284" "ncAvAR-1781" 1094 "chr6" "28149803" "28150089" 10
"285" "ncAvAR-2064" 1094 "chr6" "28247231" "28247573" 10
"286" "ncAvAR-2233" 1094 "chr6" "28215026" "28215417" 10
"287" "ncAvAR-2662" 1094 "chr6" "28184825" "28185406" 10
"288" "ncAvAR-583" 1151 "chr7" "20650357" "20650572" 10
"289" "ncAvAR-586" 1151 "chr7" "20560171" "20560495" 10
"290" "ncAvAR-896" 1151 "chr7" "20512039" "20512335" 10
"291" "ncAvAR-1205" 1151 "chr7" "20448467" "20448659" 10
"292" "ncAvAR-1393" 1151 "chr7" "20586292" "20586730" 10
"293" "ncAvAR-1399" 1151 "chr7" "20479973" "20480193" 10
"294" "ncAvAR-1526" 1151 "chr7" "20617809" "20618050" 10
"295" "ncAvAR-2195" 1151 "chr7" "20615736" "20616117" 10
"296" "ncAvAR-2665" 1151 "chr7" "20604713" "20605298" 10
"297" "ncAvAR-2755" 1151 "chr7" "20445655" "20446327" 10
"298" "ncAvAR-358" 226 "chr1" "135570600" "135570838" 9
"299" "ncAvAR-675" 226 "chr1" "135525228" "135525466" 9
"300" "ncAvAR-2094" 226 "chr1" "135524089" "135524439" 9
"301" "ncAvAR-2599" 226 "chr1" "135592041" "135593138" 9
"302" "ncAvAR-2706" 226 "chr1" "135588573" "135589196" 9
"303" "ncAvAR-2715" 226 "chr1" "135521771" "135522401" 9
"304" "ncAvAR-2780" 226 "chr1" "135496638" "135497353" 9
"305" "ncAvAR-2833" 226 "chr1" "135483796" "135484657" 9
"306" "ncAvAR-2884" 226 "chr1" "135558031" "135559260" 9
"307" "ncAvAR-316" 533 "chr2" "103659245" "103659537" 9
"308" "ncAvAR-1143" 533 "chr2" "103679952" "103680314" 9
"309" "ncAvAR-1157" 533 "chr2" "103681972" "103682338" 9
"310" "ncAvAR-1901" 533 "chr2" "103696876" "103697182" 9
"311" "ncAvAR-2066" 533 "chr2" "103720772" "103721114" 9
"312" "ncAvAR-2079" 533 "chr2" "103715386" "103715731" 9
"313" "ncAvAR-2250" 533 "chr2" "103700340" "103700736" 9
"314" "ncAvAR-2849" 533 "chr2" "103690466" "103691373" 9
"315" "ncAvAR-2864" 533 "chr2" "103693728" "103694695" 9
"316" "ncAvAR-494" 542 "chr2" "106682680" "106682869" 9
"317" "ncAvAR-693" 542 "chr2" "106610922" "106611043" 9
"318" "ncAvAR-921" 542 "chr2" "106653809" "106654111" 9
"319" "ncAvAR-1646" 542 "chr2" "106737683" "106738207" 9
"320" "ncAvAR-1827" 542 "chr2" "106691090" "106691383" 9
"321" "ncAvAR-1835" 542 "chr2" "106781866" "106782456" 9
"322" "ncAvAR-2614" 542 "chr2" "106566512" "106567066" 9
"323" "ncAvAR-2680" 542 "chr2" "106709918" "106710518" 9
"324" "ncAvAR-2751" 542 "chr2" "106680982" "106681650" 9
"325" "ncAvAR-82" 694 "chr3" "34926254" "34926499" 9
"326" "ncAvAR-115" 694 "chr3" "35017362" "35017635" 9
"327" "ncAvAR-147" 694 "chr3" "34903279" "34903480" 9
"328" "ncAvAR-228" 694 "chr3" "35013751" "35014113" 9
"329" "ncAvAR-418" 694 "chr3" "34977660" "34978093" 9
"330" "ncAvAR-955" 694 "chr3" "34934595" "34934905" 9
"331" "ncAvAR-1222" 694 "chr3" "34950253" "34950447" 9
"332" "ncAvAR-1569" 694 "chr3" "34943496" "34943743" 9
"333" "ncAvAR-1711" 694 "chr3" "35021087" "35021359" 9
"334" "ncAvAR-608" 1108 "chr6" "34615508" "34615840" 9
"335" "ncAvAR-1435" 1108 "chr6" "34479142" "34479595" 9
"336" "ncAvAR-1474" 1108 "chr6" "34539960" "34540425" 9
"337" "ncAvAR-1712" 1108 "chr6" "34486315" "34486860" 9
"338" "ncAvAR-1722" 1108 "chr6" "34514847" "34515399" 9
"339" "ncAvAR-2205" 1108 "chr6" "34573136" "34573520" 9
"340" "ncAvAR-2221" 1108 "chr6" "34471002" "34471390" 9
"341" "ncAvAR-2502" 1108 "chr6" "34522471" "34522960" 9
"342" "ncAvAR-2883" 1108 "chr6" "34580468" "34581661" 9
"343" "ncAvAR-4" 137 "chr1" "82959579" "82959713" 8
"344" "ncAvAR-48" 137 "chr1" "82750171" "82750339" 8
"345" "ncAvAR-525" 137 "chr1" "82874756" "82874954" 8
"346" "ncAvAR-743" 137 "chr1" "82802154" "82802282" 8
"347" "ncAvAR-949" 137 "chr1" "82948562" "82948717" 8
"348" "ncAvAR-1189" 137 "chr1" "82788126" "82788692" 8
"349" "ncAvAR-1288" 137 "chr1" "82837777" "82837981" 8
"350" "ncAvAR-1946" 137 "chr1" "82914090" "82914406" 8
"351" "ncAvAR-634" 397 "chr2" "28165754" "28165981" 8
"352" "ncAvAR-650" 397 "chr2" "28263033" "28263493" 8
"353" "ncAvAR-669" 397 "chr2" "28212240" "28212358" 8
"354" "ncAvAR-684" 397 "chr2" "28152057" "28152177" 8
"355" "ncAvAR-1129" 397 "chr2" "28261356" "28261713" 8
"356" "ncAvAR-1198" 397 "chr2" "28226953" "28227524" 8
"357" "ncAvAR-1657" 397 "chr2" "28164968" "28165496" 8
"358" "ncAvAR-1932" 397 "chr2" "28236630" "28236944" 8
"359" "ncAvAR-633" 1059 "chr5" "55888267" "55888494" 8
"360" "ncAvAR-831" 1059 "chr5" "55838214" "55838493" 8
"361" "ncAvAR-885" 1059 "chr5" "55845945" "55846238" 8
"362" "ncAvAR-1100" 1059 "chr5" "55843799" "55844149" 8
"363" "ncAvAR-1603" 1059 "chr5" "55939493" "55940007" 8
"364" "ncAvAR-1679" 1059 "chr5" "55935408" "55935945" 8
"365" "ncAvAR-1689" 1059 "chr5" "55818107" "55818377" 8
"366" "ncAvAR-1814" 1059 "chr5" "55897414" "55897995" 8
"367" "ncAvAR-291" 1314 "chr10" "16240887" "16241372" 8
"368" "ncAvAR-764" 1314 "chr10" "16274935" "16275065" 8
"369" "ncAvAR-796" 1314 "chr10" "16177116" "16177251" 8
"370" "ncAvAR-875" 1314 "chr10" "16165666" "16165956" 8
"371" "ncAvAR-1517" 1314 "chr10" "16225471" "16225711" 8
"372" "ncAvAR-1529" 1314 "chr10" "16321461" "16321703" 8
"373" "ncAvAR-2442" 1314 "chr10" "16154986" "16155450" 8
"374" "ncAvAR-2560" 1314 "chr10" "16153337" "16153861" 8
"375" "ncAvAR-490" 1370 "chr11" "14900451" "14900922" 8
"376" "ncAvAR-528" 1370 "chr11" "14837655" "14837953" 8
"377" "ncAvAR-738" 1370 "chr11" "14728079" "14728334" 8
"378" "ncAvAR-966" 1370 "chr11" "14762184" "14762655" 8
"379" "ncAvAR-1224" 1370 "chr11" "14867201" "14867590" 8
"380" "ncAvAR-1228" 1370 "chr11" "14948658" "14949243" 8
"381" "ncAvAR-2096" 1370 "chr11" "14792482" "14792832" 8
"382" "ncAvAR-2652" 1370 "chr11" "14933272" "14933849" 8
"383" "ncAvAR-1079" 278 "chr1" "157782481" "157782996" 7
"384" "ncAvAR-1455" 278 "chr1" "157666851" "157667080" 7
"385" "ncAvAR-2257" 278 "chr1" "157812684" "157813083" 7
"386" "ncAvAR-2293" 278 "chr1" "157743693" "157744103" 7
"387" "ncAvAR-2352" 278 "chr1" "157673514" "157673943" 7
"388" "ncAvAR-2367" 278 "chr1" "157701166" "157701601" 7
"389" "ncAvAR-2433" 278 "chr1" "157666298" "157666760" 7
"390" "ncAvAR-27" 417 "chr2" "33311527" "33311755" 7
"391" "ncAvAR-514" 417 "chr2" "33293495" "33293690" 7
"392" "ncAvAR-551" 417 "chr2" "33421014" "33421326" 7
"393" "ncAvAR-1314" 417 "chr2" "33401870" "33402286" 7
"394" "ncAvAR-1575" 417 "chr2" "33363820" "33364068" 7
"395" "ncAvAR-2038" 417 "chr2" "33320772" "33321106" 7
"396" "ncAvAR-2478" 417 "chr2" "33333889" "33334367" 7
"397" "ncAvAR-299" 658 "chr3" "19704206" "19704345" 7
"398" "ncAvAR-1554" 658 "chr3" "19714384" "19715121" 7
