name cluster chr start end freq
cMAR-10320 1130 chr2 178731687 178731801 61
cMAR-10458 1130 chr2 178702448 178702679 61
cMAR-10557 1130 chr2 178773104 178773376 61
cMAR-10819 1130 chr2 178731825 178731985 61
cMAR-11069 1130 chr2 178722654 178722941 61
cMAR-11272 1130 chr2 178766376 178766585 61
cMAR-11718 1130 chr2 178746345 178746913 61
cMAR-12216 1130 chr2 178774201 178774479 61
cMAR-12624 1130 chr2 178735506 178736087 61
cMAR-12736 1130 chr2 178725761 178726056 61
cMAR-14304 1130 chr2 178774919 178775151 61
cMAR-14343 1130 chr2 178724254 178724545 61
cMAR-14552 1130 chr2 178711938 178712236 61
cMAR-15846 1130 chr2 178714981 178715267 61
cMAR-15961 1130 chr2 178723412 178723702 61
cMAR-16287 1130 chr2 178711056 178711361 61
cMAR-16297 1130 chr2 178764508 178764814 61
cMAR-16343 1130 chr2 178733232 178733540 61
cMAR-16411 1130 chr2 178779997 178780231 61
cMAR-16448 1130 chr2 178804524 178804681 61
cMAR-17457 1130 chr2 178732831 178733126 61
cMAR-17791 1130 chr2 178727580 178727897 61
cMAR-18227 1130 chr2 178757500 178757972 61
cMAR-18943 1130 chr2 178738074 178738363 61
cMAR-19087 1130 chr2 178713891 178714193 61
cMAR-19164 1130 chr2 178706449 178706756 61
cMAR-20214 1130 chr2 178770406 178770685 61
cMAR-208 1128 chr2 178546201 178546505 46
cMAR-1447 1128 chr2 178546995 178547202 46
cMAR-1816 1128 chr2 178453397 178453623 46
cMAR-2114 1128 chr2 178536936 178537260 46
cMAR-2483 1128 chr2 178432097 178432262 46
cMAR-3229 1128 chr2 178538535 178538860 46
cMAR-3436 1128 chr2 178542258 178542574 46
cMAR-3469 1128 chr2 178542629 178542964 46
cMAR-3477 1128 chr2 178460977 178461277 46
cMAR-3947 1128 chr2 178349222 178349393 46
cMAR-4530 1128 chr2 178550958 178551265 46
cMAR-4721 1128 chr2 178546593 178546908 46
cMAR-5185 1128 chr2 178391067 178391222 46
cMAR-5503 1128 chr2 178436140 178436346 46
cMAR-5622 1128 chr2 178549562 178549887 46
cMAR-6505 1128 chr2 178547399 178549487 46
cMAR-6550 1128 chr2 178533589 178535869 46
cMAR-6551 1128 chr2 178541279 178541590 46
cMAR-7166 1128 chr2 178543816 178544119 46
cMAR-7555 1128 chr2 178545381 178545697 46
cMAR-7618 1128 chr2 178383021 178383281 46
cMAR-7895 1128 chr2 178535977 178536571 46
cMAR-8109 1128 chr2 178384028 178384180 46
cMAR-8217 1128 chr2 178543066 178543681 46
cMAR-8970 1128 chr2 178537320 178537920 46
cMAR-9107 1128 chr2 178501044 178501179 46
cMAR-9521 1128 chr2 178551624 178553410 46
cMAR-11206 1128 chr2 178465768 178465934 46
cMAR-11855 1128 chr2 178545812 178546123 46
cMAR-11954 1128 chr2 178338965 178339100 46
cMAR-12969 1128 chr2 178554452 178554755 46
cMAR-13507 1128 chr2 178530421 178530793 46
cMAR-13727 1128 chr2 178539376 178539974 46
cMAR-13773 1128 chr2 178528268 178528432 46
cMAR-14585 1128 chr2 178332867 178333047 46
cMAR-14820 1128 chr2 178490637 178490823 46
cMAR-14821 1128 chr2 178553910 178554220 46
cMAR-15014 1128 chr2 178557246 178557563 46
cMAR-15830 1128 chr2 178528520 178529018 46
cMAR-16255 1128 chr2 178556843 178557071 46
cMAR-16760 1128 chr2 178540062 178540394 46
cMAR-17521 1128 chr2 178557642 178558243 46
cMAR-19385 1128 chr2 178395435 178395766 46
cMAR-19855 1128 chr2 178344178 178344382 46
cMAR-20374 1128 chr2 178526136 178527312 46
cMAR-20391 1128 chr2 178530818 178532447 46
cMAR-315 3925 chr11 46688167 46688278 45
cMAR-370 3925 chr11 46739278 46739393 45
cMAR-648 3925 chr11 46889404 46889546 45
cMAR-654 3925 chr11 46801194 46801308 45
cMAR-1131 3925 chr11 46763476 46763633 45
cMAR-1578 3925 chr11 46894587 46894826 45
cMAR-2092 3925 chr11 46682045 46682185 45
cMAR-2166 3925 chr11 46809735 46809877 45
cMAR-2533 3925 chr11 46776251 46776387 45
cMAR-2828 3925 chr11 46886322 46886608 45
cMAR-3267 3925 chr11 46783269 46783372 45
cMAR-4263 3925 chr11 46883866 46883985 45
cMAR-4329 3925 chr11 46777436 46777556 45
cMAR-4510 3925 chr11 46659389 46659491 45
cMAR-5323 3925 chr11 46818304 46818506 45
cMAR-5542 3925 chr11 46796809 46796947 45
cMAR-5720 3925 chr11 46780191 46780332 45
cMAR-6312 3925 chr11 46886088 46886189 45
cMAR-7151 3925 chr11 46679064 46679229 45
cMAR-8283 3925 chr11 46770784 46771000 45
cMAR-9043 3925 chr11 46858983 46859318 45
cMAR-9490 3925 chr11 46762625 46762765 45
cMAR-9491 3925 chr11 46762973 46763183 45
cMAR-9839 3925 chr11 46760606 46760787 45
cMAR-9989 3925 chr11 46809393 46809503 45
cMAR-10290 3925 chr11 46664829 46664980 45
cMAR-10471 3925 chr11 46902778 46902932 45
cMAR-10999 3925 chr11 46761994 46762197 45
cMAR-11484 3925 chr11 46758920 46759048 45
cMAR-11783 3925 chr11 46663982 46664114 45
cMAR-11801 3925 chr11 46874797 46875106 45
cMAR-12365 3925 chr11 46754883 46755071 45
cMAR-12418 3925 chr11 46896199 46896341 45
cMAR-12993 3925 chr11 46695657 46695758 45
cMAR-13888 3925 chr11 46750271 46750437 45
cMAR-14290 3925 chr11 46875454 46875685 45
cMAR-14972 3925 chr11 46900256 46900382 45
cMAR-15751 3925 chr11 46881698 46881909 45
cMAR-16072 3925 chr11 46650175 46650322 45
cMAR-16201 3925 chr11 46890272 46890497 45
cMAR-16796 3925 chr11 46743941 46744275 45
cMAR-18675 3925 chr11 46751342 46751475 45
cMAR-19594 3925 chr11 46876461 46876641 45
cMAR-19737 3925 chr11 46889941 46890134 45
cMAR-20013 3925 chr11 46615562 46616238 45
cMAR-831 5075 chr15 63637503 63637646 44
cMAR-1421 5075 chr15 63638407 63638540 44
cMAR-1585 5075 chr15 63641466 63641655 44
cMAR-1586 5075 chr15 63643399 63643525 44
cMAR-1929 5075 chr15 63666353 63666475 44
cMAR-1938 5075 chr15 63648066 63648202 44
cMAR-2510 5075 chr15 63669536 63669701 44
cMAR-2539 5075 chr15 63559855 63559976 44
cMAR-2930 5075 chr15 63734722 63734852 44
cMAR-3467 5075 chr15 63652408 63652549 44
cMAR-3814 5075 chr15 63694769 63694899 44
cMAR-4034 5075 chr15 63632704 63632819 44
cMAR-4894 5075 chr15 63718569 63718697 44
cMAR-5210 5075 chr15 63588296 63588429 44
cMAR-5242 5075 chr15 63698721 63699010 44
cMAR-5550 5075 chr15 63756434 63756756 44
cMAR-5613 5075 chr15 63755225 63755341 44
cMAR-8121 5075 chr15 63749643 63749795 44
cMAR-8418 5075 chr15 63612246 63612559 44
cMAR-9096 5075 chr15 63727640 63727842 44
cMAR-9507 5075 chr15 63659729 63659939 44
cMAR-10990 5075 chr15 63692408 63692570 44
cMAR-11492 5075 chr15 63654112 63654368 44
cMAR-11576 5075 chr15 63633843 63633972 44
cMAR-12084 5075 chr15 63749363 63749545 44
cMAR-12731 5075 chr15 63747720 63747867 44
cMAR-13320 5075 chr15 63754502 63754658 44
cMAR-13538 5075 chr15 63615775 63615935 44
cMAR-14339 5075 chr15 63630464 63630638 44
cMAR-14621 5075 chr15 63690530 63690650 44
cMAR-14748 5075 chr15 63680534 63680779 44
cMAR-15011 5075 chr15 63625981 63626171 44
cMAR-15384 5075 chr15 63624153 63624286 44
cMAR-16472 5075 chr15 63570428 63570585 44
cMAR-17021 5075 chr15 63774688 63775652 44
cMAR-17046 5075 chr15 63746913 63747089 44
cMAR-17765 5075 chr15 63674895 63675210 44
cMAR-17766 5075 chr15 63758169 63758379 44
cMAR-17790 5075 chr15 63677840 63678368 44
cMAR-18788 5075 chr15 63661750 63662025 44
cMAR-18842 5075 chr15 63662945 63663224 44
cMAR-19136 5075 chr15 63712768 63712920 44
cMAR-20120 5075 chr15 63694304 63694554 44
cMAR-20264 5075 chr15 63640148 63640448 44
cMAR-4 1035 chr2 151531786 151531899 43
cMAR-417 1035 chr2 151526908 151527035 43
cMAR-438 1035 chr2 151441888 151441999 43
cMAR-454 1035 chr2 151560586 151560707 43
cMAR-547 1035 chr2 151551738 151551856 43
cMAR-702 1035 chr2 151507996 151508112 43
cMAR-738 1035 chr2 151537130 151537268 43
cMAR-862 1035 chr2 151560997 151561121 43
cMAR-878 1035 chr2 151473962 151474076 43
cMAR-1052 1035 chr2 151549630 151549750 43
cMAR-1831 1035 chr2 151513573 151513693 43
cMAR-1855 1035 chr2 151570075 151570396 43
cMAR-1984 1035 chr2 151575689 151575799 43
cMAR-2045 1035 chr2 151529204 151529329 43
cMAR-2195 1035 chr2 151443513 151443713 43
cMAR-2482 1035 chr2 151519653 151519773 43
cMAR-2884 1035 chr2 151527478 151527607 43
cMAR-4300 1035 chr2 151489966 151490086 43
cMAR-4719 1035 chr2 151547422 151547548 43
cMAR-5124 1035 chr2 151492112 151492288 43
cMAR-5195 1035 chr2 151563809 151563942 43
cMAR-5295 1035 chr2 151503343 151503455 43
cMAR-5637 1035 chr2 151518278 151518441 43
cMAR-7781 1035 chr2 151567161 151567484 43
cMAR-7971 1035 chr2 151547623 151547743 43
cMAR-7972 1035 chr2 151565495 151565615 43
cMAR-8215 1035 chr2 151537866 151537989 43
cMAR-9704 1035 chr2 151514806 151514949 43
cMAR-9925 1035 chr2 151514313 151514459 43
cMAR-10814 1035 chr2 151525952 151526072 43
cMAR-11295 1035 chr2 151563601 151563727 43
cMAR-11953 1035 chr2 151445315 151445450 43
cMAR-13416 1035 chr2 151433075 151433233 43
cMAR-14072 1035 chr2 151516454 151516567 43
cMAR-14650 1035 chr2 151525155 151525276 43
cMAR-15017 1035 chr2 151530988 151531115 43
cMAR-15654 1035 chr2 151493735 151493874 43
cMAR-15835 1035 chr2 151553823 151554037 43
cMAR-16221 1035 chr2 151533435 151533586 43
cMAR-18021 1035 chr2 151474846 151475070 43
cMAR-18066 1035 chr2 151499292 151499405 43
cMAR-18485 1035 chr2 151502787 151502913 43
cMAR-19060 1035 chr2 151428777 151428927 43
cMAR-151 1654 chr3 132514550 132514678 40
cMAR-432 1654 chr3 132618631 132618776 40
cMAR-1487 1654 chr3 132561097 132561220 40
cMAR-1949 1654 chr3 132526139 132526289 40
cMAR-2579 1654 chr3 132511065 132511248 40
cMAR-3366 1654 chr3 132456233 132456407 40
cMAR-3372 1654 chr3 132482216 132482338 40
cMAR-3722 1654 chr3 132461044 132461209 40
cMAR-3951 1654 chr3 132446441 132446555 40
cMAR-4116 1654 chr3 132672047 132672183 40
cMAR-4308 1654 chr3 132670955 132671055 40
cMAR-7187 1654 chr3 132719702 132719840 40
cMAR-7522 1654 chr3 132715078 132715221 40
cMAR-7875 1654 chr3 132688733 132688881 40
cMAR-8176 1654 chr3 132675239 132675392 40
cMAR-8457 1654 chr3 132502287 132502476 40
cMAR-8682 1654 chr3 132499120 132499314 40
cMAR-9062 1654 chr3 132447308 132447476 40
cMAR-9166 1654 chr3 132670188 132670290 40
cMAR-9271 1654 chr3 132434523 132434626 40
cMAR-9629 1654 chr3 132496525 132496667 40
cMAR-9762 1654 chr3 132686254 132686398 40
cMAR-9975 1654 chr3 132454051 132454161 40
cMAR-10569 1654 chr3 132700295 132700451 40
cMAR-11132 1654 chr3 132492412 132492618 40
cMAR-11393 1654 chr3 132684548 132684802 40
cMAR-11466 1654 chr3 132500791 132500919 40
cMAR-11467 1654 chr3 132668804 132668932 40
cMAR-12493 1654 chr3 132503196 132503387 40
cMAR-12494 1654 chr3 132641968 132642159 40
cMAR-15646 1654 chr3 132483373 132483581 40
cMAR-16568 1654 chr3 132474929 132475089 40
cMAR-16736 1654 chr3 132490891 132491056 40
cMAR-16826 1654 chr3 132477978 132478146 40
cMAR-16827 1654 chr3 132718989 132719157 40
cMAR-17139 1654 chr3 132601139 132601320 40
cMAR-18025 1654 chr3 132671775 132671887 40
cMAR-19148 1654 chr3 132467164 132467317 40
cMAR-19336 1654 chr3 132575767 132575930 40
cMAR-19557 1654 chr3 132456661 132456839 40
cMAR-501 4072 chr11 103211779 103211947 40
cMAR-545 4072 chr11 103186251 103186505 40
cMAR-1211 4072 chr11 103115175 103115301 40
cMAR-1704 4072 chr11 103286249 103286391 40
cMAR-1975 4072 chr11 103135718 103135951 40
cMAR-2229 4072 chr11 103200044 103200159 40
cMAR-2411 4072 chr11 103311876 103312039 40
cMAR-2547 4072 chr11 103125088 103125300 40
cMAR-3013 4072 chr11 103245249 103245381 40
cMAR-3021 4072 chr11 103153300 103153515 40
cMAR-4048 4072 chr11 103256095 103256249 40
cMAR-4257 4072 chr11 103179019 103179237 40
cMAR-4332 4072 chr11 103215719 103215859 40
cMAR-4750 4072 chr11 103255413 103255539 40
cMAR-5342 4072 chr11 103148488 103148623 40
cMAR-5460 4072 chr11 103064267 103064381 40
cMAR-5992 4072 chr11 103307712 103307834 40
cMAR-6536 4072 chr11 103121356 103121511 40
cMAR-7468 4072 chr11 103199226 103199482 40
cMAR-7919 4072 chr11 103066453 103066572 40
cMAR-7920 4072 chr11 103120687 103120806 40
cMAR-8638 4072 chr11 103133553 103133714 40
cMAR-8790 4072 chr11 103120910 103121041 40
cMAR-9046 4072 chr11 103177554 103177822 40
cMAR-9131 4072 chr11 103303087 103303256 40
cMAR-10120 4072 chr11 103113527 103113713 40
cMAR-10484 4072 chr11 103170879 103171072 40
cMAR-10610 4072 chr11 103173076 103173310 40
cMAR-11103 4072 chr11 103174053 103174176 40
cMAR-11838 4072 chr11 103143266 103143399 40
cMAR-12177 4072 chr11 103181755 103181893 40
cMAR-12723 4072 chr11 103135493 103135640 40
cMAR-13033 4072 chr11 103204820 103204972 40
cMAR-13661 4072 chr11 103152126 103152288 40
cMAR-13866 4072 chr11 103176230 103176451 40
cMAR-14403 4072 chr11 103089215 103089332 40
cMAR-15433 4072 chr11 103222024 103222158 40
cMAR-16664 4072 chr11 103156371 103156777 40
cMAR-17788 4072 chr11 103168753 103168964 40
cMAR-18285 4072 chr11 103358241 103358360 40
cMAR-165 3251 chr9 35703555 35703679 39
cMAR-1541 3251 chr9 35707070 35707257 39
cMAR-1979 3251 chr9 35708339 35708490 39
cMAR-2677 3251 chr9 35720035 35720221 39
cMAR-2744 3251 chr9 35707729 35707901 39
cMAR-3777 3251 chr9 35707343 35707491 39
cMAR-5648 3251 chr9 35717141 35717444 39
cMAR-6761 3251 chr9 35846817 35846923 39
cMAR-7007 3251 chr9 35719068 35719285 39
cMAR-7380 3251 chr9 35714237 35714378 39
cMAR-7914 3251 chr9 35706194 35706313 39
cMAR-8084 3251 chr9 35712833 35713045 39
cMAR-8388 3251 chr9 35705549 35705674 39
cMAR-9321 3251 chr9 35706766 35706904 39
cMAR-9378 3251 chr9 35718810 35718914 39
cMAR-10595 3251 chr9 35719517 35719634 39
cMAR-10758 3251 chr9 35753653 35753772 39
cMAR-11013 3251 chr9 35719734 35719856 39
cMAR-11477 3251 chr9 35710559 35710687 39
cMAR-12111 3251 chr9 35724825 35724962 39
cMAR-13755 3251 chr9 35802501 35802610 39
cMAR-13882 3251 chr9 35852824 35852990 39
cMAR-14926 3251 chr9 35703989 35704177 39
cMAR-15264 3251 chr9 35703773 35703904 39
cMAR-16027 3251 chr9 35725559 35725705 39
cMAR-16111 3251 chr9 35724190 35724338 39
cMAR-16196 3251 chr9 35711253 35711403 39
cMAR-16645 3251 chr9 35721643 35721805 39
cMAR-17672 3251 chr9 35711592 35711799 39
cMAR-17850 3251 chr9 35713194 35713301 39
cMAR-17864 3251 chr9 35835009 35835224 39
cMAR-18077 3251 chr9 35722113 35722226 39
cMAR-18368 3251 chr9 35714569 35714691 39
cMAR-19096 3251 chr9 35704667 35704818 39
cMAR-19174 3251 chr9 35806390 35806544 39
cMAR-19480 3251 chr9 35716388 35716559 39
cMAR-19487 3251 chr9 35704329 35704501 39
cMAR-19783 3251 chr9 35737744 35737942 39
cMAR-20010 3251 chr9 35741668 35741893 39
cMAR-278 1783 chr3 184186500 184186661 37
cMAR-643 1783 chr3 184192798 184192902 37
cMAR-783 1783 chr3 184245196 184245347 37
cMAR-965 1783 chr3 184291034 184291236 37
cMAR-1181 1783 chr3 184144083 184144231 37
cMAR-1204 1783 chr3 184387371 184387474 37
cMAR-1483 1783 chr3 184277250 184277471 37
cMAR-1794 1783 chr3 184137896 184138081 37
cMAR-1886 1783 chr3 184167896 184168071 37
cMAR-2083 1783 chr3 184188146 184188412 37
cMAR-2138 1783 chr3 184290252 184290365 37
cMAR-2321 1783 chr3 184242563 184242680 37
cMAR-2852 1783 chr3 184237219 184237395 37
cMAR-3404 1783 chr3 184289435 184289540 37
cMAR-3773 1783 chr3 184387928 184388039 37
cMAR-4144 1783 chr3 184303638 184303755 37
cMAR-5268 1783 chr3 184181916 184182050 37
cMAR-7482 1783 chr3 184182757 184182871 37
cMAR-8935 1783 chr3 184328629 184328762 37
cMAR-9168 1783 chr3 184307609 184307711 37
cMAR-9427 1783 chr3 184166824 184166998 37
cMAR-9630 1783 chr3 184331470 184331612 37
cMAR-9709 1783 chr3 184244599 184244742 37
cMAR-10572 1783 chr3 184137618 184137813 37
cMAR-10680 1783 chr3 184290555 184290673 37
cMAR-10829 1783 chr3 184368175 184368295 37
cMAR-11032 1783 chr3 184303306 184303469 37
cMAR-11631 1783 chr3 184357360 184357490 37
cMAR-12468 1783 chr3 184322818 184322961 37
cMAR-13281 1783 chr3 184306052 184306156 37
cMAR-14109 1783 chr3 184181059 184181229 37
cMAR-15837 1783 chr3 184243786 184244000 37
cMAR-16990 1783 chr3 184167549 184167723 37
cMAR-18648 1783 chr3 184307888 184308020 37
cMAR-19046 1783 chr3 184303931 184304080 37
cMAR-19678 1783 chr3 184308703 184308891 37
cMAR-19865 1783 chr3 184323778 184323983 37
cMAR-321 4481 chr12 112269699 112269858 36
cMAR-667 4481 chr12 112163039 112163268 36
cMAR-700 4481 chr12 112169498 112169662 36
cMAR-1417 4481 chr12 112203630 112203775 36
cMAR-2417 4481 chr12 112306059 112306237 36
cMAR-2891 4481 chr12 112250139 112250381 36
cMAR-3285 4481 chr12 112212481 112212653 36
cMAR-3388 4481 chr12 112216767 112216924 36
cMAR-3459 4481 chr12 112179171 112179400 36
cMAR-4376 4481 chr12 112259109 112259270 36
cMAR-4757 4481 chr12 112265167 112265314 36
cMAR-5015 4481 chr12 112184971 112185231 36
cMAR-5686 4481 chr12 112252422 112252539 36
cMAR-5774 4481 chr12 112184617 112184948 36
cMAR-5792 4481 chr12 112236942 112237108 36
cMAR-5933 4481 chr12 112270224 112270466 36
cMAR-7224 4481 chr12 112194881 112195075 36
cMAR-7236 4481 chr12 112176594 112176705 36
cMAR-7698 4481 chr12 112250962 112251137 36
cMAR-8844 4481 chr12 112167311 112167541 36
cMAR-9994 4481 chr12 112219382 112219492 36
cMAR-10230 4481 chr12 112185271 112185496 36
cMAR-10863 4481 chr12 112163540 112163740 36
cMAR-10946 4481 chr12 112226641 112226762 36
cMAR-11379 4481 chr12 112200635 112200804 36
cMAR-11741 4481 chr12 112319220 112319747 36
cMAR-12236 4481 chr12 112162387 112162526 36
cMAR-12481 4481 chr12 112243870 112244013 36
cMAR-13376 4481 chr12 112178928 112179085 36
cMAR-14430 4481 chr12 112243346 112243522 36
cMAR-14746 4481 chr12 112210011 112210256 36
cMAR-14932 4481 chr12 112229695 112229883 36
cMAR-15976 4481 chr12 112208489 112208634 36
cMAR-16873 4481 chr12 112217029 112217198 36
cMAR-18057 4481 chr12 112183053 112183278 36
cMAR-19845 4481 chr12 112235075 112235278 36
cMAR-161 3928 chr11 47311725 47311848 35
cMAR-170 3928 chr11 47333189 47333293 35
cMAR-230 3928 chr11 47268259 47268362 35
cMAR-426 3928 chr11 47323668 47323838 35
cMAR-618 3928 chr11 47289865 47290061 35
cMAR-771 3928 chr11 47268548 47268698 35
cMAR-1247 3928 chr11 47261917 47262021 35
cMAR-1262 3928 chr11 47324467 47324583 35
cMAR-1668 3928 chr11 47282379 47282623 35
cMAR-2019 3928 chr11 47274558 47274862 35
cMAR-2179 3928 chr11 47315218 47315332 35
cMAR-2457 3928 chr11 47335871 47336020 35
cMAR-2654 3928 chr11 47286431 47286539 35
cMAR-3840 3928 chr11 47284176 47284288 35
cMAR-4643 3928 chr11 47282809 47282975 35
cMAR-4862 3928 chr11 47281572 47281763 35
cMAR-5259 3928 chr11 47275897 47276209 35
cMAR-5874 3928 chr11 47260417 47260681 35
cMAR-7048 3928 chr11 47276730 47276866 35
cMAR-7235 3928 chr11 47309505 47309616 35
cMAR-8201 3928 chr11 47242718 47242902 35
cMAR-8591 3928 chr11 47290143 47290303 35
cMAR-8702 3928 chr11 47245677 47245839 35
cMAR-9384 3928 chr11 47337384 47337488 35
cMAR-9492 3928 chr11 47240097 47240272 35
cMAR-9720 3928 chr11 47244728 47244871 35
cMAR-10310 3928 chr11 47290598 47290825 35
cMAR-10939 3928 chr11 47278163 47278284 35
cMAR-11263 3928 chr11 47295894 47296061 35
cMAR-11327 3928 chr11 47232797 47232965 35
cMAR-14723 3928 chr11 47234754 47234937 35
cMAR-15237 3928 chr11 47284939 47285200 35
cMAR-15644 3928 chr11 47274885 47275162 35
cMAR-17406 3928 chr11 47292464 47292657 35
cMAR-19843 3928 chr11 47288934 47289137 35
cMAR-476 5527 chr17 42586759 42586907 35
cMAR-1098 5527 chr17 42468001 42468112 35
cMAR-1374 5527 chr17 42573475 42573630 35
cMAR-2147 5527 chr17 42613891 42614004 35
cMAR-2595 5527 chr17 42569505 42569612 35
cMAR-2901 5527 chr17 42665720 42665833 35
cMAR-3912 5527 chr17 42592052 42592165 35
cMAR-4426 5527 chr17 42466413 42466514 35
cMAR-4860 5527 chr17 42480650 42480756 35
cMAR-5170 5527 chr17 42684034 42684232 35
cMAR-5284 5527 chr17 42663375 42663509 35
cMAR-5347 5527 chr17 42612944 42613079 35
cMAR-5465 5527 chr17 42507519 42507633 35
cMAR-5665 5527 chr17 42569976 42570186 35
cMAR-5698 5527 chr17 42495031 42495195 35
cMAR-6373 5527 chr17 42460891 42461018 35
cMAR-9355 5527 chr17 42610420 42610593 35
cMAR-9817 5527 chr17 42477566 42477746 35
cMAR-9906 5527 chr17 42727657 42727766 35
cMAR-10100 5527 chr17 42487152 42487374 35
cMAR-10149 5527 chr17 42585116 42585265 35
cMAR-10706 5527 chr17 42698615 42698733 35
cMAR-10730 5527 chr17 42614257 42614415 35
cMAR-11227 5527 chr17 42690737 42690945 35
cMAR-11382 5527 chr17 42666321 42666490 35
cMAR-11623 5527 chr17 42660146 42660319 35
cMAR-11652 5527 chr17 42722792 42722922 35
cMAR-12135 5527 chr17 42706005 42706188 35
cMAR-13191 5527 chr17 42538334 42538488 35
cMAR-14133 5527 chr17 42543058 42543398 35
cMAR-15388 5527 chr17 42707953 42708086 35
cMAR-15682 5527 chr17 42686007 42686146 35
