"name" "number_of_ncMARs"
"125" "CLYBL" 4
"126" "CNTLN" 4
"127" "CREB5" 4
"128" "DGKB" 4
"129" "EHBP1" 4
"130" "EPHA3" 4
"131" "EPHB1" 4
"132" "FAM172A" 4
"133" "FOXP2" 4
"134" "GALNT14" 4
"135" "KCNMA1" 4
"136" "LINC01170" 4
"137" "LINC01362" 4
"138" "LINC01923" 4
"139" "MACF1" 4
"140" "MAPKAP1" 4
"141" "MCTP1" 4
"142" "MGMT" 4
"143" "PAUPAR" 4
"144" "PAX3" 4
"145" "PBX1" 4
"146" "PLXNA2" 4
"147" "PRDM6" 4
"148" "RALGAPA1" 4
"149" "RORB" 4
"150" "RUNX1T1" 4
"151" "SKAP2" 4
"152" "SUPT3H" 4
"153" "TBC1D5" 4
"154" "TOX3" 4
"155" "ZBTB16" 4
"156" "ZCCHC7" 4
"157" "ZFHX4-AS1" 4
"158" "AC002460.2" 3
"159" "AC004009.1" 3
"160" "AC004704.1" 3
"161" "AC007098.1" 3
"162" "AC008050.1" 3
"163" "AC019330.1" 3
"164" "AC022523.1" 3
"165" "AC048352.1" 3
"166" "AC079160.1" 3
"167" "AC079163.2" 3
"168" "AC079793.1" 3
"169" "AC093155.3" 3
"170" "AC093298.2" 3
"171" "AC096570.1" 3
"172" "AC098588.2" 3
"173" "AC106793.1" 3
"174" "AC114316.1" 3
"175" "AC114971.1" 3
"176" "AC126121.3" 3
"177" "ADK" 3
"178" "AGPS" 3
"179" "AL110292.1" 3
"180" "AL133304.3" 3
"181" "AL365295.1" 3
"182" "AL592402.1" 3
"183" "C8orf37-AS1" 3
"184" "CADPS2" 3
"185" "CDH23" 3
"186" "CTNNA2" 3
"187" "CTNNA3" 3
"188" "DPYD-AS1" 3
"189" "ERBB4" 3
"190" "EXT2" 3
"191" "G2E3-AS1" 3
"192" "GBF1" 3
"193" "GPATCH2L" 3
"194" "GPC5" 3
"195" "GRID1" 3
"196" "HIBADH" 3
"197" "IQCM" 3
"198" "KLF7" 3
"199" "LINC00989" 3
"200" "LINC01331" 3
"201" "LINC01798" 3
"202" "LINC01828" 3
"203" "LINC01934" 3
"204" "LINC02609" 3
"205" "LMO4" 3
"206" "LRP1B" 3
"207" "LRRC4C" 3
"208" "MAP2" 3
"209" "NR2F1-AS1" 3
"210" "PAPPA" 3
"211" "PAX2" 3
"212" "PAX6" 3
"213" "PCDH9" 3
"214" "PEBP4" 3
"215" "PKNOX2" 3
"216" "PLXNA4" 3
"217" "PROX1-AS1" 3
"218" "PSMD14" 3
"219" "RUNX2" 3
"220" "SDCCAG8" 3
"221" "SORCS1" 3
"222" "SORCS3" 3
"223" "SUGCT" 3
"224" "TCF7L2" 3
"225" "THEM7P" 3
"226" "TOX" 3
"227" "UNC5D" 3
"228" "UOX" 3
"229" "ZFHX4" 3
"230" "AC004052.1" 2
"231" "AC007656.2" 2
"232" "AC008067.1" 2
"233" "AC009226.1" 2
"234" "AC009299.3" 2
"235" "AC010997.3" 2
"236" "AC018467.1" 2
"237" "AC022166.1" 2
"238" "AC058822.1" 2
"239" "AC068051.1" 2
"240" "AC068535.2" 2
"241" "AC068643.1" 2
"242" "AC068875.1" 2
"243" "AC074033.1" 2
"244" "AC078881.1" 2
"245" "AC080068.1" 2
"246" "AC080079.2" 2
"247" "AC084741.1" 2
"248" "AC087564.1" 2
"249" "AC093865.1" 2
"250" "AC096666.1" 2
"251" "AC099520.1" 2
"252" "AC109462.1" 2
"253" "AF279873.3" 2
"254" "AFF3" 2
"255" "AGBL4" 2
"256" "AL050344.1" 2
"257" "AL132857.1" 2
"258" "AL136456.1" 2
"259" "AL137230.2" 2
"260" "AL138720.1" 2
"261" "AL139023.1" 2
"262" "AL445426.1" 2
"263" "AL589863.2" 2
"264" "ALK" 2
"265" "ANK3" 2
"266" "AP001783.1" 2
"267" "AP002856.4" 2
"268" "AP003464.1" 2
"269" "AP5M1" 2
"270" "ASTN2" 2
"271" "ATXN1" 2
"272" "B3GNT10" 2
"273" "BABAM2" 2
"274" "BCL11A" 2
"275" "CACNA2D2" 2
"276" "CACNA2D3" 2
"277" "CASC17" 2
"278" "CCDC171" 2
"279" "CDK15" 2
"280" "CELF2" 2
"281" "CEP112" 2
"282" "CFAP299" 2
"283" "CLCA3P" 2
"284" "CLCA4-AS1" 2
"285" "CLIP1" 2
"286" "CMSS1" 2
"287" "CNTN5" 2
"288" "CYP7B1" 2
"289" "DARS-AS1" 2
"290" "DLG2" 2
"291" "DPH6-DT" 2
"292" "EFNA5" 2
"293" "EIF3H" 2
"294" "ELAVL4" 2
"295" "ENOX1" 2
"296" "ERI3" 2
"297" "ETV5" 2
"298" "EXOC6" 2
"299" "FBXL17" 2
"300" "FBXW4" 2
"301" "FGF10" 2
"302" "FILIP1L" 2
"303" "FLI1" 2
"304" "FNDC3B" 2
"305" "GALNTL6" 2
"306" "GBA3" 2
"307" "GIGYF2" 2
"308" "GLIS3" 2
"309" "GPATCH2" 2
"310" "GPD2" 2
"311" "GRIK3" 2
"312" "HDAC9" 2
"313" "HHIP" 2
"314" "HOXA3" 2
"315" "HOXB-AS3" 2
"316" "HOXB3" 2
"317" "HPSE2" 2
"318" "HS6ST3" 2
"319" "IQCH-AS1" 2
"320" "IQCJ" 2
"321" "KIF26B" 2
"322" "LINC00210" 2
"323" "LINC00609" 2
"324" "LINC00645" 2
"325" "LINC00924" 2
"326" "LINC01088" 2
"327" "LINC01102" 2
"328" "LINC01140" 2
"329" "LINC01162" 2
"330" "LINC01572" 2
"331" "LINC01619" 2
"332" "LINC01781" 2
"333" "LINC01806" 2
"334" "LINC02032" 2
"335" "LINC02118" 2
"336" "LINC02240" 2
"337" "LINC02326" 2
"338" "LINC02775" 2
"339" "LINC02788" 2
"340" "LINC02860" 2
"341" "LINGO1" 2
"342" "LNCAROD" 2
"343" "MAML2" 2
"344" "MAML3" 2
"345" "MDFIC2" 2
"346" "MEF2C" 2
"347" "MEIS2" 2
"348" "MIR548A1HG" 2
"349" "MSRB3" 2
"350" "MYO18A" 2
"351" "NAV2" 2
"352" "NBEA" 2
"353" "NEGR1" 2
"354" "NFIA" 2
"355" "NLGN1" 2
"356" "NR2F2-AS1" 2
"357" "NRP1" 2
"358" "NRP2" 2
"359" "NTM-AS1" 2
"360" "OBSCN" 2
"361" "PCA3" 2
"362" "PDZRN3" 2
"363" "PHF21A" 2
"364" "PRUNE2" 2
"365" "PTPRG-AS1" 2
"366" "PTPRR" 2
"367" "RAPGEF4" 2
"368" "RELN" 2
"369" "RMRP" 2
"370" "RMST" 2
"371" "ROR1" 2
"372" "RPS6KC1" 2
"373" "RSU1" 2
"374" "SAMMSON" 2
"375" "SEMA3A" 2
"376" "SHTN1" 2
"377" "SLC10A7" 2
"378" "SMG6" 2
"379" "SNX24" 2
"380" "ST18" 2
"381" "STX8" 2
"382" "SYT1" 2
"383" "TEAD1" 2
"384" "TENM3" 2
"385" "TENM3-AS1" 2
"386" "TLE1" 2
"387" "TLE4" 2
"388" "TMEM260" 2
"389" "TNR" 2
"390" "TRPS1" 2
"391" "VRK2" 2
"392" "ZFAND3" 2
"393" "ZPLD1" 2
"394" "ZRANB2-AS2" 2
"395" "AAK1" 1
"396" "ABTB2" 1
"397" "AC002066.1" 1
"398" "AC004080.16" 1
"399" "AC004080.3" 1
"400" "AC004080.6" 1
"401" "AC004158.1" 1
"402" "AC004594.1" 1
"403" "AC004888.1" 1
"404" "AC004943.2" 1
"405" "AC004947.2" 1
"406" "AC005064.1" 1
"407" "AC005165.1" 1
"408" "AC006445.3" 1
"409" "AC007091.1" 1
"410" "AC007100.2" 1
"411" "AC007179.1" 1
"412" "AC007216.4" 1
"413" "AC007344.1" 1
"414" "AC007347.1" 1
"415" "AC007362.1" 1
"416" "AC007364.1" 1
"417" "AC007431.1" 1
"418" "AC007496.3" 1
"419" "AC007656.1" 1
"420" "AC007750.1" 1
"421" "AC008147.1" 1
"422" "AC008281.1" 1
"423" "AC008517.1" 1
"424" "AC009081.1" 1
"425" "AC009365.4" 1
"426" "AC009411.1" 1
"427" "AC009411.2" 1
"428" "AC009432.2" 1
"429" "AC009623.3" 1
"430" "AC009869.1" 1
"431" "AC009951.3" 1
"432" "AC009951.4" 1
"433" "AC009975.1" 1
"434" "AC010196.1" 1
"435" "AC010230.1" 1
"436" "AC010789.1" 1
"437" "AC010880.1" 1
"438" "AC010967.1" 1
"439" "AC010974.2" 1
"440" "AC011306.1" 1
"441" "AC012055.2" 1
"442" "AC012531.3" 1
"443" "AC012560.1" 1
"444" "AC012625.1" 1
"445" "AC013286.1" 1
"446" "AC013287.1" 1
"447" "AC013509.1" 1
"448" "AC015522.1" 1
"449" "AC015687.1" 1
"450" "AC015813.2" 1
"451" "AC016074.2" 1
"452" "AC016526.2" 1
"453" "AC016526.4" 1
"454" "AC016717.2" 1
"455" "AC016903.1" 1
"456" "AC018442.2" 1
"457" "AC018680.1" 1
"458" "AC018767.3" 1
"459" "AC019211.1" 1
"460" "AC020718.1" 1
"461" "AC021192.1" 1
"462" "AC021393.1" 1
"463" "AC021546.1" 1
"464" "AC022395.1" 1
"465" "AC022433.1" 1
"466" "AC022509.1" 1
"467" "AC022509.2" 1
"468" "AC022535.2" 1
"469" "AC024337.1" 1
"470" "AC024603.1" 1
"471" "AC025773.1" 1
"472" "AC026353.1" 1
"473" "AC026719.1" 1
"474" "AC026888.1" 1
"475" "AC027013.1" 1
"476" "AC027779.1" 1
"477" "AC044839.1" 1
"478" "AC048338.1" 1
"479" "AC048338.2" 1
"480" "AC055878.1" 1
"481" "AC060834.2" 1
"482" "AC062004.1" 1
"483" "AC066613.2" 1
"484" "AC067956.1" 1
"485" "AC068489.1" 1
"486" "AC068759.1" 1
"487" "AC068946.1" 1
"488" "AC073172.1" 1
"489" "AC073585.1" 1
"490" "AC073636.1" 1
"491" "AC074052.2" 1
"492" "AC074099.1" 1
"493" "AC074286.1" 1
"494" "AC076968.2" 1
"495" "AC078785.1" 1
"496" "AC078923.1" 1
"497" "AC079298.3" 1
"498" "AC079305.3" 1
"499" "AC079385.1" 1
"500" "AC079760.1" 1
"501" "AC083795.2" 1
"502" "AC083806.2" 1
"503" "AC084816.1" 1
"504" "AC087235.1" 1
"505" "AC087235.2" 1
"506" "AC087633.2" 1
"507" "AC087883.2" 1
"508" "AC090531.1" 1
"509" "AC090809.1" 1
"510" "AC090993.1" 1
"511" "AC091826.2" 1
"512" "AC092275.1" 1
"513" "AC092435.2" 1
"514" "AC092445.1" 1
"515" "AC092590.1" 1
"516" "AC092652.1" 1
"517" "AC092807.2" 1
"518" "AC092810.3" 1
"519" "AC092810.4" 1
"520" "AC092958.4" 1
"521" "AC092969.1" 1
"522" "AC093010.3" 1
"523" "AC093152.1" 1
"524" "AC093515.1" 1
"525" "AC093714.1" 1
"526" "AC093898.1" 1
"527" "AC096570.2" 1
"528" "AC096639.1" 1
"529" "AC097535.1" 1
"530" "AC098588.1" 1
"531" "AC098650.1" 1
"532" "AC098656.1" 1
"533" "AC099487.2" 1
"534" "AC099517.1" 1
"535" "AC099542.1" 1
"536" "AC099567.1" 1
"537" "AC099671.1" 1
"538" "AC099685.1" 1
"539" "AC103853.1" 1
"540" "AC103853.2" 1
"541" "AC103855.2" 1
"542" "AC103876.1" 1
"543" "AC104063.1" 1
"544" "AC104211.1" 1
"545" "AC104232.2" 1
"546" "AC107223.1" 1
"547" "AC108690.1" 1
"548" "AC109129.1" 1
"549" "AC110809.1" 1
"550" "AC111006.1" 1
"551" "AC112204.1" 1
"552" "AC112211.1" 1
"553" "AC113143.3" 1
"554" "AC113386.1" 1
"555" "AC114741.1" 1
"556" "AC114930.1" 1
"557" "AC116345.1" 1
"558" "AC121764.3" 1
"559" "AC124067.3" 1
"560" "AC126121.2" 1
"561" "AC128685.1" 1
"562" "AC131571.1" 1
"563" "AC132807.2" 1
"564" "AC137494.1" 1
"565" "AC137579.1" 1
"566" "AC137579.2" 1
"567" "AC138356.3" 1
"568" "AC245088.2" 1
"569" "ACTG1P22" 1
"570" "ACVR2B" 1
"571" "ADAMTSL1" 1
"572" "ADARB2" 1
"573" "ADGRB2" 1
"574" "AF279873.4" 1
"575" "AGMO" 1
"576" "AKT3" 1
"577" "AL009177.1" 1
"578" "AL035706.1" 1
"579" "AL049775.2" 1
"580" "AL078459.1" 1
"581" "AL132719.1" 1
"582" "AL133387.2" 1
"583" "AL133405.2" 1
"584" "AL135923.2" 1
"585" "AL135926.1" 1
"586" "AL136114.1" 1
"587" "AL136119.1" 1
"588" "AL136962.1" 1
"589" "AL139231.1" 1
"590" "AL139379.1" 1
"591" "AL139381.1" 1
"592" "AL139807.1" 1
"593" "AL158038.1" 1
"594" "AL158058.1" 1
"595" "AL160272.2" 1
"596" "AL161665.1" 1
"597" "AL161782.1" 1
"598" "AL162511.1" 1
"599" "AL353774.1" 1
"600" "AL354863.1" 1
"601" "AL355075.4" 1
"602" "AL355361.1" 1
"603" "AL356295.1" 1
"604" "AL357172.1" 1
"605" "AL357793.1" 1
"606" "AL358452.1" 1
"607" "AL359232.1" 1
"608" "AL359237.1" 1
"609" "AL365204.1" 1
"610" "AL391117.1" 1
"611" "AL391152.1" 1
"612" "AL445423.3" 1
"613" "AL445623.2" 1
"614" "AL450267.2" 1
"615" "AL512452.1" 1
"616" "AL512590.2" 1
"617" "AL513166.1" 1
"618" "AL583785.1" 1
"619" "AL590807.1" 1
"620" "AL591506.1" 1
"621" "AL596211.1" 1
"622" "AL713851.1" 1
"623" "AMOTL2" 1
"624" "ANKFN1" 1
"625" "ANTXR2" 1
"626" "AP000646.1" 1
"627" "AP000722.1" 1
"628" "AP000997.3" 1
"629" "AP001007.1" 1
"630" "AP001931.1" 1
"631" "AP001993.1" 1
"632" "AP002518.2" 1
"633" "AP003025.2" 1
"634" "ARHGAP5" 1
"635" "ARID4A" 1
"636" "ARL15" 1
"637" "ARL3" 1
"638" "ARMH3" 1
"639" "ASTN1" 1
"640" "ATG10" 1
"641" "ATP8B5P" 1
"642" "ATXN1L" 1
"643" "ATXN7L1" 1
"644" "AUTS2" 1
"645" "AZIN2" 1
"646" "BASP1" 1
"647" "BBS9" 1
"648" "BCL9" 1
"649" "BLOC1S5-TXNDC5" 1
"650" "BMP6" 1
"651" "BRINP1" 1
"652" "BTBD9" 1
"653" "BUB3" 1
"654" "BX004807.1" 1
"655" "C10orf67" 1
"656" "C11orf49" 1
"657" "C15orf41" 1
"658" "C3orf14" 1
"659" "C5orf64" 1
"660" "C9orf92" 1
"661" "CA10" 1
"662" "CACHD1" 1
"663" "CALCOCO1" 1
"664" "CASC15" 1
"665" "CASC16" 1
"666" "CASZ1" 1
"667" "CAVIN4" 1
"668" "CCDC140" 1
"669" "CDH6" 1
"670" "CERKL" 1
"671" "CFL2" 1
"672" "CHD7" 1
"673" "CIT" 1
"674" "CMC1" 1
"675" "CNTN1" 1
"676" "CNTN6" 1
"677" "CPS1" 1
"678" "CRIM1" 1
"679" "CRTAP" 1
"680" "CSNK1G1" 1
"681" "CTNND1" 1
"682" "CUX1" 1
"683" "CUX2" 1
"684" "CXXC4" 1
"685" "DCDC1" 1
"686" "DDAH1" 1
"687" "DERA" 1
"688" "DGKI" 1
"689" "DHX15" 1
"690" "DIABLO" 1
"691" "DIS3L2" 1
"692" "DLL4" 1
"693" "DMXL2" 1
"694" "DNAJB4" 1
"695" "DOCK1" 1
"696" "DPH6" 1
"697" "DPP4" 1
"698" "DPY19L2P1" 1
"699" "DRAIC" 1
"700" "DRGX" 1
"701" "DUSP10" 1
"702" "EBF3" 1
"703" "EDIL3" 1
"704" "EEFSEC" 1
"705" "EFCAB7" 1
"706" "EFEMP1" 1
"707" "EGFEM1P" 1
"708" "EIF4G3" 1
"709" "ELMO1" 1
"710" "ELP4" 1
"711" "EMX2OS" 1
"712" "ERMN" 1
"713" "ETS1" 1
"714" "ETV3L" 1
"715" "EXOC1" 1
"716" "EXT1" 1
"717" "F13A1" 1
"718" "FAAHP1" 1
"719" "FAM227B" 1
"720" "FAR1" 1
"721" "FARSB" 1
"722" "FAT3" 1
"723" "FBXW8" 1
"724" "FGF7" 1
"725" "FMN2" 1
"726" "FOXN3" 1
"727" "FOXP4" 1
"728" "FOXP4-AS1" 1
"729" "FPGT-TNNI3K" 1
"730" "FRMD4A" 1
"731" "FSIP1" 1
"732" "GACAT1" 1
"733" "GFI1" 1
"734" "GFRA1" 1
"735" "GLI2" 1
"736" "GLI3" 1
"737" "GLIS1" 1
"738" "GLRX3" 1
"739" "GMDS" 1
"740" "GPM6A" 1
"741" "GPR79" 1
"742" "GTDC1" 1
"743" "GTF2A1" 1
"744" "GUCY2GP" 1
"745" "HHIP-AS1" 1
"746" "HNRNPA1P48" 1
"747" "HNRNPA2B1" 1
"748" "HNRNPA3" 1
"749" "HNRNPKP3" 1
"750" "HOTTIP" 1
"751" "HOXA-AS2" 1
"752" "HOXA10" 1
"753" "HOXA10-AS" 1
"754" "HOXD-AS2" 1
"755" "HS2ST1" 1
"756" "HSD17B12" 1
"757" "HYDIN2" 1
"758" "ICE2" 1
"759" "IFT43" 1
"760" "IGF1" 1
"761" "INHBA-AS1" 1
"762" "INHCAP" 1
"763" "INSYN2A" 1
"764" "INVS" 1
"765" "ITGA8" 1
"766" "ITGB3BP" 1
"767" "JARID2" 1
"768" "KAT6B" 1
"769" "KCND3" 1
"770" "KCNT2" 1
"771" "KIAA0825" 1
"772" "KLF3" 1
"773" "LBX1-AS1" 1
"774" "LEF1-AS1" 1
"775" "LEKR1" 1
"776" "LGR4" 1
"777" "LGR5" 1
"778" "LHX1-DT" 1
"779" "LIMA1" 1
"780" "LIN52" 1
"781" "LINC00298" 1
"782" "LINC00299" 1
"783" "LINC00348" 1
"784" "LINC00535" 1
"785" "LINC00536" 1
"786" "LINC00583" 1
"787" "LINC00992" 1
"788" "LINC01103" 1
"789" "LINC01111" 1
"790" "LINC01121" 1
"791" "LINC01152" 1
"792" "LINC01179" 1
"793" "LINC01192" 1
"794" "LINC01197" 1
"795" "LINC01234" 1
"796" "LINC01235" 1
"797" "LINC01264" 1
"798" "LINC01322" 1
"799" "LINC01339" 1
"800" "LINC01361" 1
"801" "LINC01392" 1
"802" "LINC01393" 1
"803" "LINC01412" 1
"804" "LINC01449" 1
"805" "LINC01483" 1
"806" "LINC01495" 1
"807" "LINC01517" 1
"808" "LINC01550" 1
"809" "LINC01568" 1
"810" "LINC01592" 1
"811" "LINC01605" 1
"812" "LINC01645" 1
"813" "LINC01649" 1
"814" "LINC01653" 1
"815" "LINC01696" 1
"816" "LINC01698" 1
"817" "LINC01707" 1
"818" "LINC01709" 1
"819" "LINC01717" 1
"820" "LINC01739" 1
"821" "LINC01790" 1
"822" "LINC01822" 1
"823" "LINC01829" 1
"824" "LINC01877" 1
"825" "LINC01878" 1
"826" "LINC01950" 1
"827" "LINC01994" 1
"828" "LINC01995" 1
"829" "LINC02030" 1
"830" "LINC02074" 1
"831" "LINC02104" 1
"832" "LINC02114" 1
"833" "LINC02144" 1
"834" "LINC02161" 1
"835" "LINC02224" 1
"836" "LINC02253" 1
"837" "LINC02254" 1
"838" "LINC02267" 1
"839" "LINC02268" 1
"840" "LINC02294" 1
"841" "LINC02330" 1
"842" "LINC02331" 1
"843" "LINC02338" 1
"844" "LINC02445" 1
"845" "LINC02456" 1
"846" "LINC02493" 1
"847" "LINC02530" 1
"848" "LINC02545" 1
"849" "LINC02587" 1
"850" "LINC02725" 1
"851" "LINC02740" 1
"852" "LINC02741" 1
"853" "LINC02751" 1
"854" "LINC02785" 1
"855" "LINC02801" 1
"856" "LMO3" 1
"857" "LPP" 1
"858" "LRPPRC" 1
"859" "LRRC77P" 1
"860" "LRRN2" 1
"861" "LZTS1" 1
"862" "MAGI2" 1
"863" "MAP3K20" 1
"864" "MAP3K20-AS1" 1
"865" "MARC1" 1
"866" "MARCH4" 1
"867" "MAST4" 1
"868" "MBTD1" 1
"869" "MEF2C-AS2" 1
"870" "MEGF11" 1
"871" "MEIS1-AS2" 1
"872" "MEMO1" 1
"873" "MET" 1
"874" "METAP1D" 1
"875" "METTL15" 1
"876" "MGAT4C" 1
"877" "MGAT5" 1
"878" "MIPEP" 1
"879" "MIR125B1" 1
"880" "MIR137HG" 1
"881" "MIR181A1HG" 1
"882" "MIR181A2HG" 1
"883" "MIR196A2" 1
"884" "MIR29B2CHG" 1
"885" "MIR4300HG" 1
"886" "MIR9-3HG" 1
"887" "MIRLET7A2" 1
"888" "MITF" 1
"889" "MMP2-AS1" 1
"890" "MPDZ" 1
"891" "MRPS22" 1
"892" "MRPS9" 1
"893" "MSC-AS1" 1
"894" "MTMR4" 1
"895" "MTX2" 1
"896" "MVB12B" 1
"897" "MYO1D" 1
"898" "MYO3B" 1
"899" "NALCN-AS1" 1
"900" "NCKAP5" 1
"901" "NEDD4" 1
"902" "NEDD9" 1
"903" "NFIA-AS2" 1
"904" "NFYA" 1
"905" "NHEJ1" 1
"906" "NIPBL" 1
"907" "NOVA1" 1
"908" "NR3C2" 1
"909" "NR4A2" 1
"910" "NR6A1" 1
"911" "NRG1" 1
"912" "NSMCE2" 1
"913" "NT5C2" 1
"914" "NTN4" 1
"915" "NTNG1" 1
"916" "OLA1" 1
"917" "OLFM4" 1
"918" "PALLD" 1
"919" "PAPPA2" 1
"920" "PARVA" 1
"921" "PAX9" 1
"922" "PCBP2" 1
"923" "PCMTD1" 1
"924" "PDGFC" 1
"925" "PHACTR1" 1
"926" "PHF14" 1
"927" "PID1" 1
"928" "PLEKHA6" 1
"929" "PLUT" 1
"930" "POU2F1" 1
"931" "PPP1R3A" 1
"932" "PPP3CB" 1
"933" "PPP4R3A" 1
"934" "PRORSD1P" 1
"935" "PROX1" 1
"936" "PRSS3P3" 1
"937" "PSMB7" 1
"938" "PTEN" 1
"939" "PTPA" 1
"940" "PTPN4" 1
"941" "PTPRG" 1
"942" "R3HCC1L" 1
"943" "RAB11FIP2" 1
"944" "RABGAP1L" 1
"945" "RALGAPA2" 1
"946" "RALYL" 1
"947" "RASAL2" 1
"948" "RBFOX2" 1
"949" "RBMS3" 1
"950" "REV1" 1
"951" "RFX3" 1
"952" "RFX4" 1
"953" "RHOBTB1" 1
"954" "RNFT2" 1
"955" "RNLS" 1
"956" "ROBO1" 1
"957" "ROCK2" 1
"958" "RORA-AS1" 1
"959" "RPGRIP1L" 1
"960" "RPL34-AS1" 1
"961" "RPL39P5" 1
"962" "RPPH1" 1
"963" "RUVBL1" 1
"964" "SBF2" 1
"965" "SBF2-AS1" 1
"966" "SCHIP1" 1
"967" "SCN3A" 1
"968" "SDK1" 1
"969" "SDK2" 1
"970" "SEC24B-AS1" 1
"971" "SEC31A" 1
"972" "SERTAD4" 1
"973" "SFXN5" 1
"974" "SKIDA1" 1
"975" "SKINT1L" 1
"976" "SLC1A3" 1
"977" "SLC25A12" 1
"978" "SLC26A7" 1
"979" "SLC29A3" 1
"980" "SLC30A8" 1
"981" "SLC38A6" 1
"982" "SLC4A10" 1
"983" "SLC4A4" 1
"984" "SLC4A7" 1
"985" "SLC6A17" 1
"986" "SMARCA2" 1
"987" "SMOC1" 1
"988" "SMYD3" 1
"989" "SNX29" 1
"990" "SOS1" 1
"991" "SOX2-OT" 1
"992" "SOX21-AS1" 1
"993" "SOX9-AS1" 1
"994" "SPAG16" 1
"995" "SPATA17" 1
"996" "SPTAN1" 1
"997" "SRCIN1" 1
"998" "SRF" 1
"999" "SRGAP2" 1
"1000" "SRP54-AS1" 1
"1001" "SRRM3" 1
"1002" "SRSF1" 1
"1003" "SRSF5" 1
"1004" "ST6GALNAC3" 1
"1005" "STK39" 1
"1006" "STRA6LP" 1
"1007" "STX18" 1
"1008" "SUCLG2" 1
"1009" "SUGT1P4-STRA6LP" 1
"1010" "TAF3" 1
"1011" "TANK" 1
"1012" "TAX1BP1" 1
"1013" "TBCA" 1
"1014" "TBL1XR1" 1
"1015" "TBX20" 1
"1016" "TCF12" 1
"1017" "TCF7L1" 1
"1018" "TECTA" 1
"1019" "TFG" 1
"1020" "TGFB2" 1
"1021" "TGFBR3" 1
"1022" "THADA" 1
"1023" "THRA1/BTR" 1
"1024" "THSD7A" 1
"1025" "TLX1NB" 1
"1026" "TMEM26-AS1" 1
"1027" "TMX2-CTNND1" 1
"1028" "TNFRSF11B" 1
"1029" "TNFSF11" 1
"1030" "TNNI3K" 1
"1031" "TRHDE" 1
"1032" "TRIB2" 1
"1033" "TRIM2" 1
