"name" "number_of_ncAvARs"
"213" "LOC107052075" 2
"214" "LOC107052736" 2
"215" "LOC107052869" 2
"216" "LOC107053383" 2
"217" "LOC107053519" 2
"218" "LOC107053637" 2
"219" "LOC107053812" 2
"220" "LOC107053831" 2
"221" "LOC107053920" 2
"222" "LOC107054033" 2
"223" "LOC107054253" 2
"224" "LOC107054254" 2
"225" "LOC107054270" 2
"226" "LOC107054276" 2
"227" "LOC107054644" 2
"228" "LOC107054889" 2
"229" "LOC107057076" 2
"230" "LOC107057081" 2
"231" "LOC112530319" 2
"232" "LOC112530514" 2
"233" "LOC112531713" 2
"234" "LOC112532107" 2
"235" "LOC112532111" 2
"236" "LOC112532167" 2
"237" "LOC112532179" 2
"238" "LOC112532357" 2
"239" "LOC112532533" 2
"240" "LOC112533383" 2
"241" "LOC421268" 2
"242" "LRP1B" 2
"243" "LRPPRC" 2
"244" "LUC7L2" 2
"245" "MACROD2" 2
"246" "MAF" 2
"247" "MEGF11" 2
"248" "MIPOL1" 2
"249" "MSRA" 2
"250" "NAV3" 2
"251" "NCKAP5" 2
"252" "NLGN1" 2
"253" "NRIP1" 2
"254" "PARVA" 2
"255" "PATJ" 2
"256" "PAX6" 2
"257" "PBX1" 2
"258" "PCCA" 2
"259" "PCDH11X" 2
"260" "PCDH9" 2
"261" "PEX14" 2
"262" "PHACTR1" 2
"263" "PIWIL1" 2
"264" "PLXNA1" 2
"265" "PRDM1" 2
"266" "RAD51B" 2
"267" "RBM33" 2
"268" "RFX4" 2
"269" "RNF219" 2
"270" "RORA" 2
"271" "RSRC1" 2
"272" "SASH1" 2
"273" "SESN3" 2
"274" "SPATA17" 2
"275" "SPATA5" 2
"276" "SSBP3" 2
"277" "STARD13" 2
"278" "STAU2" 2
"279" "SVIL" 2
"280" "TANK" 2
"281" "TCF20" 2
"282" "TCOF1" 2
"283" "TNFRSF19" 2
"284" "TRABD2B" 2
"285" "TRAF3" 2
"286" "TRIM71" 2
"287" "TSHZ2" 2
"288" "TTC29" 2
"289" "UBE3C" 2
"290" "WDPCP" 2
"291" "ACACA" 1
"292" "ACSF3" 1
"293" "ACTN2" 1
"294" "ADAMTSL3" 1
"295" "ADGRL2" 1
"296" "ADGRL4" 1
"297" "AEBP2" 1
"298" "AFAP1" 1
"299" "AFG1L" 1
"300" "AKT1" 1
"301" "AKT3" 1
"302" "ALCAM" 1
"303" "ALK" 1
"304" "ANKRD28" 1
"305" "ANKRD44" 1
"306" "ARHGAP10" 1
"307" "ARHGAP21" 1
"308" "ASB18" 1
"309" "ASPG" 1
"310" "AXIN2" 1
"311" "B3GAT1L" 1
"312" "B4GALT6" 1
"313" "BANP" 1
"314" "BBS9" 1
"315" "BCAS1" 1
"316" "BCL2" 1
"317" "BEGAIN" 1
"318" "BEND7" 1
"319" "BIN3" 1
"320" "BMF" 1
"321" "BMP2" 1
"322" "BNC1" 1
"323" "C3H1ORF100" 1
"324" "C6H10orf107" 1
"325" "C6H10orf11" 1
"326" "C6H10orf76" 1
"327" "CACNA1C" 1
"328" "CACNG2" 1
"329" "CAMK1D" 1
"330" "CAP2" 1
"331" "CCDC178" 1
"332" "CCND1" 1
"333" "CD99L2" 1
"334" "CDH11" 1
"335" "CDH6" 1
"336" "CDK6" 1
"337" "CDKAL1" 1
"338" "CEP112" 1
"339" "CHCHD3" 1
"340" "CHD7" 1
"341" "CHRDL1" 1
"342" "CHST9" 1
"343" "CLDN22" 1
"344" "CLINT1" 1
"345" "CMC1" 1
"346" "CNOT6" 1
"347" "CNTNAP2" 1
"348" "CNTNAP5" 1
"349" "COG5" 1
"350" "COL25A1" 1
"351" "CPED1" 1
"352" "CREB3L1" 1
"353" "CRIM1" 1
"354" "CTBP1" 1
"355" "CUX1" 1
"356" "CUX2" 1
"357" "CXXC5" 1
"358" "CYFIP1" 1
"359" "DBX1" 1
"360" "DCDC1" 1
"361" "DCP1A" 1
"362" "DCT" 1
"363" "DCX" 1
"364" "DHRSX" 1
"365" "DIAPH3" 1
"366" "DIP2C" 1
"367" "DISP1" 1
"368" "DMAP1" 1
"369" "DNAH11" 1
"370" "DOCK4" 1
"371" "DOCK7" 1
"372" "DOCK9" 1
"373" "DPP10" 1
"374" "DPP6" 1
"375" "DPYD" 1
"376" "DSCAM" 1
"377" "DUSP10" 1
"378" "DYNC1I2" 1
"379" "EDAR" 1
"380" "EEF1A2" 1
"381" "EFCAB7" 1
"382" "EFEMP1" 1
"383" "EFNB2" 1
"384" "EIF3B" 1
"385" "EIF3H" 1
"386" "ELOVL6" 1
"387" "EML5" 1
"388" "ERBB4" 1
"389" "ERC1" 1
"390" "EYA1" 1
"391" "FAM120B" 1
"392" "FAM13B" 1
"393" "FAM150A" 1
"394" "FAM150B" 1
"395" "FAM160A1" 1
"396" "FAM204A" 1
"397" "FBXW11" 1
"398" "FBXW7" 1
"399" "FHOD3" 1
"400" "FILIP1L" 1
"401" "FMN1" 1
"402" "FOXL1" 1
"403" "FRMPD4" 1
"404" "GAB3" 1
"405" "GABBR2" 1
"406" "GALNT7" 1
"407" "GALNT9" 1
"408" "GAP43" 1
"409" "GATA4" 1
"410" "GBF1" 1
"411" "GLS" 1
"412" "GNAS" 1
"413" "GPATCH2" 1
"414" "GPC2" 1
"415" "GPR39" 1
"416" "GRHL2" 1
"417" "GRID2" 1
"418" "GRM3" 1
"419" "GRM4" 1
"420" "GRM8" 1
"421" "GSE1" 1
"422" "GTF2F2" 1
"423" "H2AFY" 1
"424" "HABP2" 1
"425" "HAT1" 1
"426" "HIPK3" 1
"427" "HIVEP2" 1
"428" "HNMT" 1
"429" "HOXD3" 1
"430" "HS3ST5" 1
"431" "HS6ST1" 1
"432" "HSPBAP1" 1
"433" "IDE" 1
"434" "IKZF2" 1
"435" "INO80" 1
"436" "INPP5A" 1
"437" "INSC" 1
"438" "INVS" 1
"439" "IQCA1" 1
"440" "IQSEC3" 1
"441" "ISM1" 1
"442" "ISM2" 1
"443" "ITSN1" 1
"444" "JAZF1" 1
"445" "KCTD1" 1
"446" "KCTD15" 1
"447" "KDM5A" 1
"448" "KDM7A" 1
"449" "KIAA1217" 1
"450" "KIRREL3" 1
"451" "KLHL14" 1
"452" "KLHL32" 1
"453" "KMT2C" 1
"454" "KMT2E" 1
"455" "KYNU" 1
"456" "LBX1" 1
"457" "LCORL" 1
"458" "LHFPL3" 1
"459" "LHX4-AS1" 1
"460" "LINGO1" 1
"461" "LMO3" 1
"462" "LOC100857789" 1
"463" "LOC100858688" 1
"464" "LOC100859811" 1
"465" "LOC101748137" 1
"466" "LOC101748323" 1
"467" "LOC101748504" 1
"468" "LOC101748554" 1
"469" "LOC101748689" 1
"470" "LOC101749146" 1
"471" "LOC101749252" 1
"472" "LOC101749477" 1
"473" "LOC101749585" 1
"474" "LOC101750153" 1
"475" "LOC101750340" 1
"476" "LOC101750386" 1
"477" "LOC101750415" 1
"478" "LOC101750426" 1
"479" "LOC101750459" 1
"480" "LOC101750578" 1
"481" "LOC101750869" 1
"482" "LOC101750912" 1
"483" "LOC101751026" 1
"484" "LOC101751063" 1
"485" "LOC101751112" 1
"486" "LOC101751181" 1
"487" "LOC101751292" 1
"488" "LOC101751304" 1
"489" "LOC101751313" 1
"490" "LOC101751689" 1
"491" "LOC101751780" 1
"492" "LOC101751854" 1
"493" "LOC101751961" 1
"494" "LOC107050451" 1
"495" "LOC107051657" 1
"496" "LOC107051677" 1
"497" "LOC107051702" 1
"498" "LOC107051706" 1
"499" "LOC107051742" 1
"500" "LOC107051779" 1
"501" "LOC107051780" 1
"502" "LOC107051907" 1
"503" "LOC107051969" 1
"504" "LOC107051980" 1
"505" "LOC107052009" 1
"506" "LOC107052100" 1
"507" "LOC107052245" 1
"508" "LOC107052525" 1
"509" "LOC107052544" 1
"510" "LOC107052596" 1
"511" "LOC107052711" 1
"512" "LOC107052828" 1
"513" "LOC107052858" 1
"514" "LOC107052926" 1
"515" "LOC107052928" 1
"516" "LOC107052951" 1
"517" "LOC107052980" 1
"518" "LOC107053055" 1
"519" "LOC107053147" 1
"520" "LOC107053197" 1
"521" "LOC107053294" 1
"522" "LOC107053379" 1
"523" "LOC107053398" 1
"524" "LOC107053438" 1
"525" "LOC107053500" 1
"526" "LOC107053541" 1
"527" "LOC107053622" 1
"528" "LOC107053705" 1
"529" "LOC107053713" 1
"530" "LOC107053752" 1
"531" "LOC107053754" 1
"532" "LOC107053777" 1
"533" "LOC107053815" 1
"534" "LOC107053834" 1
"535" "LOC107053852" 1
"536" "LOC107053853" 1
"537" "LOC107053888" 1
"538" "LOC107053889" 1
"539" "LOC107053938" 1
"540" "LOC107053955" 1
"541" "LOC107053979" 1
"542" "LOC107054020" 1
"543" "LOC107054043" 1
"544" "LOC107054048" 1
"545" "LOC107054088" 1
"546" "LOC107054141" 1
"547" "LOC107054174" 1
"548" "LOC107054204" 1
"549" "LOC107054238" 1
"550" "LOC107054251" 1
"551" "LOC107054256" 1
"552" "LOC107054274" 1
"553" "LOC107054298" 1
"554" "LOC107054300" 1
"555" "LOC107054434" 1
"556" "LOC107054436" 1
"557" "LOC107054437" 1
"558" "LOC107054475" 1
"559" "LOC107054553" 1
"560" "LOC107054563" 1
"561" "LOC107054627" 1
"562" "LOC107054637" 1
"563" "LOC107054823" 1
"564" "LOC107054838" 1
"565" "LOC107054844" 1
"566" "LOC107054863" 1
"567" "LOC107054882" 1
"568" "LOC107054965" 1
"569" "LOC107055009" 1
"570" "LOC107055055" 1
"571" "LOC107055284" 1
"572" "LOC107055565" 1
"573" "LOC112529963" 1
"574" "LOC112529988" 1
"575" "LOC112530112" 1
"576" "LOC112530312" 1
"577" "LOC112530378" 1
"578" "LOC112531529" 1
"579" "LOC112531556" 1
"580" "LOC112531558" 1
"581" "LOC112531707" 1
"582" "LOC112531773" 1
"583" "LOC112531775" 1
"584" "LOC112531776" 1
"585" "LOC112531824" 1
"586" "LOC112531840" 1
"587" "LOC112531842" 1
"588" "LOC112531844" 1
"589" "LOC112531858" 1
"590" "LOC112531862" 1
"591" "LOC112531888" 1
"592" "LOC112531928" 1
"593" "LOC112531936" 1
"594" "LOC112531938" 1
"595" "LOC112531959" 1
"596" "LOC112532093" 1
"597" "LOC112532099" 1
"598" "LOC112532101" 1
"599" "LOC112532118" 1
"600" "LOC112532154" 1
"601" "LOC112532195" 1
"602" "LOC112532202" 1
"603" "LOC112532284" 1
"604" "LOC112532323" 1
"605" "LOC112532343" 1
"606" "LOC112532362" 1
"607" "LOC112532389" 1
"608" "LOC112532397" 1
"609" "LOC112532498" 1
"610" "LOC112532552" 1
"611" "LOC112532694" 1
"612" "LOC112532729" 1
"613" "LOC112532746" 1
"614" "LOC112532747" 1
"615" "LOC112532760" 1
"616" "LOC112532775" 1
"617" "LOC112532811" 1
"618" "LOC112532836" 1
"619" "LOC112532905" 1
"620" "LOC112532934" 1
"621" "LOC112532986" 1
"622" "LOC112532989" 1
"623" "LOC112533005" 1
"624" "LOC112533006" 1
"625" "LOC112533151" 1
"626" "LOC112533184" 1
"627" "LOC112533189" 1
"628" "LOC112533337" 1
"629" "LOC112533406" 1
"630" "LOC112533503" 1
"631" "LOC421106" 1
"632" "LOC421419" 1
"633" "LOC423301" 1
"634" "LOC769517" 1
"635" "LPP" 1
"636" "LRRC31" 1
"637" "LRRIQ1" 1
"638" "LUM" 1
"639" "MAML2" 1
"640" "MAMLD1" 1
"641" "MAN1A1" 1
"642" "MAP2K5" 1
"643" "MAP3K7" 1
"644" "MAP3K7CL" 1
"645" "MAP4K4" 1
"646" "MAPK9" 1
"647" "MARCH5" 1
"648" "MBNL2" 1
"649" "MDFIC" 1
"650" "MDGA1" 1
"651" "MEGF6L" 1
"652" "MEIS1" 1
"653" "MGMT" 1
"654" "MICAL2" 1
"655" "MIR10B" 1
"656" "MIR133A2" 1
"657" "MIR1397" 1
"658" "MIR153-2" 1
"659" "MIR15A" 1
"660" "MIR221" 1
"661" "MIR32" 1
"662" "MIR7474" 1
"663" "MKL1" 1
"664" "MKLN1" 1
"665" "MMS22L" 1
"666" "MNAT1" 1
"667" "MOXD1" 1
"668" "MPPED2" 1
"669" "MRPS18A" 1
"670" "MRPS9" 1
"671" "MSI1" 1
"672" "MYH9" 1
"673" "MYO3B" 1
"674" "MYT1" 1
"675" "NCAM2" 1
"676" "NCOA2" 1
"677" "NELL1" 1
"678" "NFATC1" 1
"679" "NHEJ1" 1
"680" "NHS" 1
"681" "NHSL1" 1
"682" "NKAIN2" 1
"683" "NKD1" 1
"684" "NKX2-8" 1
"685" "NLGN4L" 1
"686" "NOL4" 1
"687" "NOX3" 1
"688" "NPPC" 1
"689" "NR2F2" 1
"690" "NR3C1" 1
"691" "NR3C2" 1
"692" "NR4A3" 1
"693" "OLA1" 1
"694" "OLFM4" 1
"695" "OSR2" 1
"696" "P3H3" 1
"697" "PAK5" 1
"698" "PAX2" 1
"699" "PAX3" 1
"700" "PBX3" 1
"701" "PCBD2" 1
"702" "PCBP2" 1
"703" "PCDH17" 1
"704" "PCDH20" 1
"705" "PCF11" 1
"706" "PCMTD1" 1
"707" "PDGFC" 1
"708" "PEPD" 1
"709" "PGPEP1L" 1
"710" "PHIP" 1
"711" "PIBF1" 1
"712" "PKNOX1" 1
"713" "PLPP3" 1
"714" "PMS1" 1
"715" "PPP1R3A" 1
"716" "PPP1R8" 1
"717" "PPP4R3A" 1
"718" "PRDM11" 1
"719" "PRDM4" 1
"720" "PSMD14" 1
"721" "PTCH2" 1
"722" "PTCHD1" 1
"723" "PTN" 1
"724" "PTPRQ" 1
"725" "PTPRR" 1
"726" "PTPRT" 1
"727" "QKI" 1
"728" "RAB12" 1
"729" "RAB38" 1
"730" "RALGAPA1" 1
"731" "RALGAPA2" 1
"732" "RALYL" 1
"733" "RAPGEF6" 1
"734" "RASA3" 1
"735" "RBFOX1" 1
"736" "RBKS" 1
"737" "RBM19" 1
"738" "RBM24" 1
"739" "RBM38" 1
"740" "RELN" 1
"741" "REV1" 1
"742" "REV3L" 1
"743" "RFX7" 1
"744" "RGS17" 1
"745" "RHOA" 1
"746" "RNGTT" 1
"747" "ROS1" 1
"748" "RPS6KC1" 1
"749" "RREB1" 1
"750" "RSPO2" 1
"751" "RTKN2" 1
"752" "RUNX1" 1
"753" "SAMD7" 1
"754" "SAMSN1" 1
"755" "SATB2" 1
"756" "SCAF8" 1
"757" "SDK1" 1
"758" "SEMA5B" 1
"759" "SH3PXD2A" 1
"760" "SH3RF3" 1
"761" "SHANK2" 1
"762" "SIRT1" 1
"763" "SKIDA1" 1
"764" "SLC10A7" 1
"765" "SLC16A10" 1
"766" "SLC18A2" 1
"767" "SLC20A2" 1
"768" "SLC25A12" 1
"769" "SLC25A13" 1
"770" "SLC30A8" 1
"771" "SLC35F1" 1
"772" "SLC4A10" 1
"773" "SLIT1" 1
"774" "SLIT3" 1
"775" "SMAD1" 1
"776" "SMPDL3A" 1
"777" "SOX10" 1
"778" "SPATA6" 1
"779" "SPI1" 1
"780" "SPOPL" 1
"781" "SPTLC2" 1
"782" "SPTLC3" 1
"783" "SRBD1" 1
"784" "ST18" 1
"785" "STK3" 1
"786" "STX18" 1
"787" "SUGCT" 1
"788" "SULF1" 1
"789" "SUPT3H" 1
"790" "SYN3" 1
"791" "SYT14" 1
"792" "SYT16" 1
"793" "TCERG1" 1
"794" "TEAD1" 1
"795" "TENM1" 1
"796" "TFAP2B" 1
"797" "TGIF1" 1
"798" "THSD7A" 1
"799" "TJAP1" 1
"800" "TM2D1" 1
"801" "TMEFF2" 1
"802" "TMEM108" 1
"803" "TMEM132B" 1
"804" "TMEM245" 1
"805" "TOX3" 1
"806" "TP53BP2" 1
"807" "TRHDE" 1
"808" "TSHZ3" 1
"809" "TSNARE1" 1
"810" "TSNAX" 1
"811" "U2AF1" 1
"812" "UCHL3" 1
"813" "UIMC1" 1
"814" "ULK4" 1
"815" "UNC5A" 1
"816" "USP47" 1
"817" "UVRAG" 1
"818" "VPS41" 1
"819" "VSX2" 1
"820" "VWC2L" 1
"821" "WNK1" 1
"822" "WNT3A" 1
"823" "WNT5B" 1
"824" "WWC2" 1
"825" "XPNPEP3" 1
"826" "XPO4" 1
"827" "YAF2" 1
"828" "YAP1" 1
"829" "YPEL5" 1
"830" "ZBTB38" 1
"831" "ZCCHC2" 1
"832" "ZIC3" 1
"833" "ZIC4" 1
"834" "ZMIZ1" 1
"835" "ZNF516" 1
"836" "ZNF804B" 1
"837" "ZPLD1" 1
"838" "ZSWIM5" 1
