id	description	fold_enrichment	source	p_adjust	regions_empirical_p_adjust	description_default_annot	genome_fraction_default_annot	observed_region_hits_default_annot	fold_enrichment_default_annot	p_value_default_annot	p_adjust_default_annot	mean_tss_dist_default_annot	observed_gene_hits_default_annot	gene_set_size_default_annot	fold_enrichment_hyper_default_annot	p_value_hyper_default_annot	p_adjust_hyper_default_annot	regions_empirical_p_value_default_annot	regions_empirical_p_adjust_default_annot	genes_empirical_p_value_default_annot	genes_empirical_p_adjust_default_annot	description_biomart_annot	genome_fraction_biomart_annot	observed_region_hits_biomart_annot	fold_enrichment_biomart_annot	p_value_biomart_annot	p_adjust_biomart_annot	mean_tss_dist_biomart_annot	observed_gene_hits_biomart_annot	gene_set_size_biomart_annot	fold_enrichment_hyper_biomart_annot	p_value_hyper_biomart_annot	p_adjust_hyper_biomart_annot	regions_empirical_p_value_biomart_annot	regions_empirical_p_adjust_biomart_annot	genes_empirical_p_value_biomart_annot	genes_empirical_p_adjust_biomart_annot
GO:0001936	regulation of endothelial cell proliferation	 3.041769	default_and_biomart_annot	0.000000e+00	0.006129456	regulation of endothelial cell proliferation	0.0164750259686002	174	3.03838898310172	0	0	400198	26	130	2.25264467952707	6.56505382168326e-05	0.000557498421621258	0.000399920015996801	0.0109883782405823	0.96880623875225	1	regulation of endothelial cell proliferation	0.0170241917648205	180	3.04176903631949	0	0	393958	29	140	2.56405101408201	2.04384579005623e-06	2.0648966362085e-05	0.0001999600079984	0.00612945592699642	0.880223955208958	1
GO:0001937	negative regulation of endothelial cell proliferation	 4.236273	default_and_biomart_annot	0.000000e+00	0.006129456	negative regulation of endothelial cell proliferation	0.00604402560949416	89	4.23627303175725	0	0	423885	12	38	3.55680738872695	6.98599998260052e-05	0.000586600446539001	0.0001999600079984	0.00659993787406041	0.62247550489902	1	negative regulation of endothelial cell proliferation	0.00590098395113067	84	4.09519970061623	0	0	420927	11	43	3.16651047448781	0.00047255858226869	0.0028905369062807	0.0001999600079984	0.00612945592699642	0.707858428314337	1
GO:0001947	heart looping	 3.127726	default_and_biomart_annot	0.000000e+00	0.006129456	heart looping	0.00728359198963214	77	3.0413426185472	0	0	308876	12	62	2.17997872212297	0.00762510355786272	0.033883610052213	0.0001999600079984	0.00659993787406041	0.763647270545891	1	heart looping	0.00708242853056434	77	3.12772640607389	0	0	310185	12	66	2.25057769261117	0.00610275800796312	0.0257020916884942	0.0001999600079984	0.00612945592699642	0.858428314337133	1
GO:0001958	endochondral ossification	 3.239854	default_and_biomart_annot	2.054254e-11	0.006129456	endochondral ossification	0.00419412126166318	45	3.0866811036158	1.16048282094994e-10	9.8706869438335e-10	340866	6	31	2.17997872212297	0.0521268327866045	0.149056696261086	0.000799840031993601	0.0182502629908801	0.969206158768246	1	endochondral ossification	0.0044398148236291	50	3.23985355218713	2.07900363591307e-12	2.05425359262839e-11	335568	7	31	2.79507229566226	0.01039294990049	0.0391920765736515	0.0001999600079984	0.00612945592699642	0.858028394321136	1
GO:0001967	suckling behavior	 6.801949	default_and_biomart_annot	0.000000e+00	0.006129456	suckling behavior	0.0018186759175304	43	6.80194900713901	0	0	318339	3	12	2.81580584940884	0.0838010300136981	0.210424787326262	0.0001999600079984	0.00659993787406041	0.994401119776045	1	suckling behavior	0.00185511492983657	43	6.66834202700493	0	0	318339	3	12	3.09454432734036	0.0667195202389839	0.165115509949228	0.0001999600079984	0.00612945592699642	0.995600879824035	1
GO:0001974	blood vessel remodeling	 2.832106	default_and_biomart_annot	2.351494e-10	0.006129456	blood vessel remodeling	0.00617216466972459	53	2.47035061974642	5.9793276996345e-09	4.21767631286046e-08	316813	9	46	2.20367414301561	0.0182552556848715	0.0663919486030532	0.0001999600079984	0.00659993787406041	0.87002599480104	1	blood vessel remodeling	0.00558693192405382	55	2.83210624815448	2.63262744937265e-11	2.35149422009362e-10	317495	9	43	2.59078129730821	0.00654390046075404	0.0273253428682415	0.0001999600079984	0.00612945592699642	0.815836832633473	1
GO:0002209	behavioral defense response	 2.765822	default_and_biomart_annot	1.109722e-08	0.006129456	behavioral defense response	0.00661886067911078	57	2.4774896463639	1.48230727692322e-09	1.10972162472084e-08	375532	5	42	1.34085992828992	0.315645871094174	0.517463759488986	0.0001999600079984	0.00659993787406041	0.914817036592681	1	behavioral defense response	0.00634491553009501	61	2.76582197291291	5.81290571233239e-12	5.47305869424664e-11	372941	7	41	2.11334734550073	0.044131834146841	0.122664217012987	0.0001999600079984	0.00612945592699642	0.622875424915017	1
GO:0002228	natural killer cell mediated immunity	 1.728098	default_annot	1.354287e-02	0.010988378	natural killer cell mediated immunity	0.00466133008686286	28	1.72809815079165	0.00473793856377824	0.0135428657857888	370653	3	65	0.519841079890862	0.936057924208828	0.968730425211581	0.000399920015996801	0.0109883782405823	0.854229154169166	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0002237	response to molecule of bacterial origin	 1.235171	biomart_annot	3.414232e-02	0.021662334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	response to molecule of bacterial origin	0.0270178763195279	116	1.23517078858709	0.0140049977990735	0.0341423240515145	395928	27	349	0.957624032529395	0.622386452809057	0.752694269703624	0.000999800039992002	0.0216623341998267	0.940211957608478	1
GO:0002260	lymphocyte homeostasis	 2.320891	default_and_biomart_annot	1.585581e-05	0.006129456	lymphocyte homeostasis	0.00680052607019019	49	2.0728782869655	3.08173130436629e-06	1.58558096914846e-05	359760	10	72	1.56433658300491	0.10309343469058	0.241857105612948	0.0001999600079984	0.00659993787406041	0.4125174965007	1	lymphocyte homeostasis	0.00607381446631192	49	2.3208912470123	1.36443107257023e-07	8.18810415630297e-07	359508	10	73	1.69564072730979	0.0681866141897076	0.167822437752497	0.0001999600079984	0.00612945592699642	0.445910817836433	1
GO:0002467	germinal center formation	 6.550293	default_and_biomart_annot	0.000000e+00	0.006129456	germinal center formation	0.0016817261501692	38	6.50052677584567	0	0	367109	2	14	1.60903191394791	0.356802032381539	0.560969521252423	0.0001999600079984	0.00659993787406041	0.889822035592881	1	germinal center formation	0.00166894904194552	38	6.5502933846746	0	0	367109	2	14	1.76831104419449	0.314184269301383	0.497220338187434	0.0001999600079984	0.00612945592699642	0.848030393921216	1
GO:0002634	regulation of germinal center formation	 8.250400	default_and_biomart_annot	0.000000e+00	0.006129456	regulation of germinal center formation	0.00123306974738324	35	8.16583563139027	0	0	389257	1	8	1.40790292470442	0.524770717176824	0.705248840907548	0.0001999600079984	0.00659993787406041	0.994401119776045	1	regulation of germinal center formation	0.00122043118406557	35	8.25039953963558	0	0	389257	1	8	1.54727216367018	0.490347169013619	0.655294272189367	0.0001999600079984	0.00612945592699642	0.994401119776045	1
GO:0002715	regulation of natural killer cell mediated immunity	 2.183600	default_and_biomart_annot	1.611613e-02	0.006129456	regulation of natural killer cell mediated immunity	0.0036889698545017	28	2.18360036027599	0.000159182873899599	0.000624358536790058	370653	3	42	0.804515956973953	0.733128489954378	0.842632132124524	0.000399920015996801	0.0109883782405823	0.202359528094381	1	regulation of natural killer cell mediated immunity	0.00366923792815845	23	1.80331748721438	0.00607304908381323	0.0161161336975762	348117	2	49	0.505231726912712	0.91471700293111	0.954177314704501	0.0001999600079984	0.00612945592699642	0.610877824435113	1
GO:0002717	positive regulation of natural killer cell mediated immunity	 2.780268	default_and_biomart_annot	1.280554e-05	0.006129456	positive regulation of natural killer cell mediated immunity	0.00289728715740364	28	2.78026839098536	2.45472143722836e-06	1.2805544833573e-05	370653	3	29	1.16516104113469	0.482049769865907	0.669092614811319	0.000399920015996801	0.0109883782405823	0.202359528094381	1	positive regulation of natural killer cell mediated immunity	0.00283526601542579	23	2.33374959689794	0.000236366355666151	0.000827512322400315	348117	2	32	0.77363608183509	0.742899445612276	0.838930349804258	0.0001999600079984	0.00612945592699642	0.610877824435113	1
GO:0002764	immune response-regulating signaling pathway	 1.319707	default_annot	9.077029e-04	0.046639561	immune response-regulating signaling pathway	0.0368408367862738	169	1.31970678892629	0.00024041673217734	0.000907702885227827	342933	42	443	1.06784510767649	0.349859887380525	0.555709651626209	0.0027994401119776	0.0466395609766936	0.995800839832034	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0002819	regulation of adaptive immune response	 1.490499	default_and_biomart_annot	1.536503e-02	0.006129456	regulation of adaptive immune response	0.0150550846733992	78	1.49049880605278	0.000493529041514673	0.00175834379488731	387192	13	179	0.817999464632735	0.813203601914103	0.893944805790786	0.0001999600079984	0.00659993787406041	0.977804439112178	1	regulation of adaptive immune response	0.0153493979660293	73	1.3682068048835	0.00575868169363403	0.0153650285544785	381756	12	192	0.77363608183509	0.858883764650036	0.917196736002958	0.0001999600079984	0.00612945592699642	0.987802439512098	1
GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	 1.438451	default_and_biomart_annot	4.193322e-02	0.006129456	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	0.0137998491026753	69	1.43845071160575	0.00234311924893504	0.00726754717400184	413124	11	167	0.74188896631131	0.885327001685944	0.933721082163954	0.0001999600079984	0.00659993787406041	0.951409718056389	1	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	0.0139253238116051	64	1.32219315171057	0.0175194569145296	0.0419332165279003	408695	10	176	0.703305528940991	0.910902459075555	0.952387357890043	0.0001999600079984	0.00612945592699642	0.969806038792242	1
GO:0002833	positive regulation of response to biotic stimulus	 1.368777	default_and_biomart_annot	2.800009e-02	0.014132545	positive regulation of response to biotic stimulus	0.0285842306459403	136	1.3687767921804	0.000228308580881187	0.000866977881667488	321527	35	345	1.14264585193402	0.226309564374992	0.41701987143257	0.000799840031993601	0.0182502629908801	0.719456108778244	1	positive regulation of response to biotic stimulus	0.0260150249744741	113	1.24960981747255	0.0112052248401431	0.0280000870831737	317657	26	340	0.946566500127639	0.644938665936685	0.768937923254898	0.000599880023995201	0.0141325446701053	0.952809438112378	1
GO:0002931	response to ischemia	 2.550732	default_and_biomart_annot	1.716351e-07	0.006599938	response to ischemia	0.0052088112178747	46	2.54061844203222	2.60330688117705e-08	1.71635106939914e-07	339692	8	61	1.4771440521489	0.170785610115862	0.343666749190202	0.0001999600079984	0.00659993787406041	0.839632073585283	1	response to ischemia	0.00484980119859542	43	2.55073153413716	6.51852258837238e-08	4.06090408363383e-07	355254	7	57	1.52012703799176	0.174337947793671	0.330666453887822	0.000399920015996801	0.010524724323428	0.896620675864827	1
GO:0003002	regionalization	 2.537682	biomart_annot	0.000000e+00	0.006129456	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	regionalization	0.0552092712244072	487	2.53768188225639	0	0	301085	124	436	3.52039905128628	0	0	0.0001999600079984	0.00612945592699642	0.935212957408518	1
GO:0003128	heart field specification	 4.068933	default_and_biomart_annot	0.000000e+00	0.010524724	heart field specification	0.00520316423643544	66	3.64919132077208	0	0	372165	9	17	5.96288297521871	4.2171955147996e-06	4.38254298250857e-05	0.000799840031993601	0.0182502629908801	0.894421115776845	1	heart field specification	0.00480782447491099	68	4.0689330210229	0	0	365003	8	18	5.50141213749397	3.73411833668458e-05	0.000306163653896859	0.000399920015996801	0.010524724323428	0.992401519696061	1
GO:0003139	secondary heart field specification	 5.837870	default_and_biomart_annot	0.000000e+00	0.006129456	secondary heart field specification	0.00277432497906654	55	5.70329176629134	0	0	372522	4	11	4.09571759914013	0.0122791733750807	0.0480545129548272	0.0001999600079984	0.00659993787406041	0.998200359928014	1	secondary heart field specification	0.00285820796256429	58	5.83786974856787	0	0	370606	4	11	4.50115538522234	0.00882241388669569	0.0339493030804017	0.0001999600079984	0.00612945592699642	0.999600079984003	1
GO:0003143	embryonic heart tube morphogenesis	 2.783846	default_and_biomart_annot	1.175860e-13	0.006129456	embryonic heart tube morphogenesis	0.00799746759519154	77	2.76986414393176	9.88098491916389e-15	1.175859611242e-13	308876	12	68	1.98762765840624	0.0157344580993752	0.0595775152276488	0.0001999600079984	0.00659993787406041	0.927814437112577	1	embryonic heart tube morphogenesis	0.00795730114622493	77	2.78384571943547	7.66053886991358e-15	8.81206976613726e-14	310185	12	72	2.06302955156024	0.0121981034066662	0.0447678693054176	0.0001999600079984	0.00612945592699642	0.957008598280344	1
GO:0003205	cardiac chamber development	 2.364931	default_annot	0.000000e+00	0.030527713	cardiac chamber development	0.0284654244743783	234	2.36493073387219	0	0	365336	46	163	3.17857838215476	6.83120227051859e-13	1.91712029495623e-11	0.0015996800639872	0.0305277126392903	0.957208558288342	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0003206	cardiac chamber morphogenesis	 2.363592	default_annot	0.000000e+00	0.033255321	cardiac chamber morphogenesis	0.023491188504661	193	2.36359221768197	0	0	363114	40	124	3.63329787020495	1.81965553736063e-13	5.51997240466393e-12	0.0017996400719856	0.0332553207668326	0.894221155768846	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0003207	cardiac chamber formation	 6.589404	default_and_biomart_annot	0.000000e+00	0.006129456	cardiac chamber formation	0.00257588271896344	59	6.58940435112197	0	0	357597	6	12	5.63161169881767	0.000280144175824004	0.00202785742720603	0.0001999600079984	0.00659993787406041	0.657668466306739	1	cardiac chamber formation	0.00388029117876009	65	4.81913699620333	0	0	375447	7	14	6.18908865468072	4.57734912782115e-05	0.000370236859739057	0.0001999600079984	0.00612945592699642	0.662267546490702	1
GO:0003208	cardiac ventricle morphogenesis	 3.045475	default_and_biomart_annot	0.000000e+00	0.006599938	cardiac ventricle morphogenesis	0.0124692144666169	132	3.04547520984352	0	0	378987	24	69	3.91764292091664	2.20118767657596e-09	3.96970203665657e-08	0.0001999600079984	0.00659993787406041	0.76624675064987	1	cardiac ventricle morphogenesis	0.0128040172527241	119	2.67375089500909	0	0	352750	23	70	4.06711540164733	2.76148393041353e-09	4.14991805141532e-08	0.000599880023995201	0.0141325446701053	0.844031193761248	1
GO:0003211	cardiac ventricle formation	 8.796604	default_and_biomart_annot	0.000000e+00	0.006129456	cardiac ventricle formation	0.00130817300062109	40	8.79660400913849	0	0	383091	2	8	2.81580584940884	0.154180661373432	0.320705553265069	0.0001999600079984	0.00659993787406041	0.995600879824035	1	cardiac ventricle formation	0.00261258146041774	46	5.06533558539484	0	0	404989	3	10	3.71345319280843	0.0410527519906789	0.115836609304243	0.0001999600079984	0.00612945592699642	0.998000399920016	1
GO:0003231	cardiac ventricle development	 2.544098	default_and_biomart_annot	0.000000e+00	0.018250263	cardiac ventricle development	0.0218244714994445	193	2.5440978185946	0	0	374206	37	123	3.3881241114838	1.53019819038036e-11	3.71781486255377e-10	0.000799840031993601	0.0182502629908801	0.92001599680064	1	cardiac ventricle development	0.0218936401288707	185	2.43093857613709	0	0	354283	38	126	3.73310109329948	4.27768931388073e-13	1.03027383251726e-11	0.001999600079984	0.0378520787070656	0.854429114177165	1
GO:0003298	physiological muscle hypertrophy	 5.151959	default_annot	0.000000e+00	0.044149099	physiological muscle hypertrophy	0.00318289765134328	57	5.15195918923172	0	0	371066	5	20	2.81580584940884	0.0274835623187042	0.0916948351950367	0.0025994801039792	0.0441490989827924	0.477904419116177	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0003301	physiological cardiac muscle hypertrophy	 5.151959	default_annot	0.000000e+00	0.044149099	physiological cardiac muscle hypertrophy	0.00318289765134328	57	5.15195918923172	0	0	371066	5	20	2.81580584940884	0.0274835623187042	0.0916948351950367	0.0025994801039792	0.0441490989827924	0.477904419116177	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0006072	glycerol-3-phosphate metabolic process	 4.559032	default_and_biomart_annot	1.521728e-08	0.021953768	glycerol-3-phosphate metabolic process	0.00157756625164387	25	4.55903193048117	9.62386503822188e-10	7.4055782581508e-09	395056	4	9	5.00587706561571	0.00541609175514068	0.0255838429621767	0.000999800039992002	0.0219537682421675	0.297940411917616	1	glycerol-3-phosphate metabolic process	0.00163952986514723	25	4.38673004169279	2.05623673643629e-09	1.52172801002384e-08	394563	4	10	4.95127092374458	0.00599395840062722	0.0253031342499091	0.0023995200959808	0.0432956886883493	0.300539892021596	1
GO:0006139	nucleobase-containing compound metabolic process	 1.538185	default_and_biomart_annot	0.000000e+00	0.006129456	nucleobase-containing compound metabolic process	0.40050173707518	2091	1.50199975204711	0	0	339964	601	5196	1.30277083563873	1.99840144432528e-15	7.43802182965892e-14	0.0001999600079984	0.00659993787406041	1	1	nucleobase-containing compound metabolic process	0.405855456733396	2170	1.53818501673791	0	0	338881	618	5623	1.36043278982489	0	0	0.0001999600079984	0.00612945592699642	1	1
GO:0006351	DNA-templated transcription	 1.808781	default_and_biomart_annot	0.000000e+00	0.006129456	DNA-templated transcription	0.290722761484365	1796	1.77724593410467	0	0	332949	449	3276	1.54370796872353	0	0	0.0001999600079984	0.00659993787406041	1	1	DNA-templated transcription	0.2966287190955	1865	1.80878051928892	0	0	333522	461	3572	1.59751952396854	0	0	0.0001999600079984	0.00612945592699642	1	1
GO:0006355	regulation of DNA-templated transcription	 1.845802	default_and_biomart_annot	0.000000e+00	0.006129456	regulation of DNA-templated transcription	0.285483402986944	1794	1.80784755403199	0	0	333183	446	3165	1.58717144876631	0	0	0.0001999600079984	0.00659993787406041	1	1	regulation of DNA-templated transcription	0.290523291881445	1864	1.84580230415345	0	0	333679	456	3442	1.63987473941569	0	0	0.0001999600079984	0.00612945592699642	1	1
GO:0006357	regulation of transcription by RNA polymerase II	 2.076930	default_and_biomart_annot	0.000000e+00	0.006129456	regulation of transcription by RNA polymerase II	0.226958554045935	1603	2.03192277728698	0	0	332362	370	2413	1.7270587058123	0	0	0.0001999600079984	0.00659993787406041	1	1	regulation of transcription by RNA polymerase II	0.230489812821485	1664	2.07692980611785	0	0	334037	375	2558	1.81462724433563	0	0	0.0001999600079984	0.00612945592699642	1	1
GO:0006366	transcription by RNA polymerase II	 2.043708	default_and_biomart_annot	0.000000e+00	0.006129456	transcription by RNA polymerase II	0.232318151480298	1604	1.98628449616316	0	0	332151	372	2525	1.65937390254271	0	0	0.0001999600079984	0.00659993787406041	1	1	transcription by RNA polymerase II	0.234518108766052	1666	2.0437080051958	0	0	333734	378	2671	1.75176002356369	0	0	0.0001999600079984	0.00612945592699642	1	1
GO:0006513	protein monoubiquitination	 3.601945	default_and_biomart_annot	0.000000e+00	0.041836151	protein monoubiquitination	0.00495193432471196	62	3.60194473843277	0	0	409852	5	46	1.22426341278645	0.388228345168142	0.589190964558245	0.0023995200959808	0.0418361510422168	0.999000199960008	1	protein monoubiquitination	0.0059156390747019	57	2.77200123201371	2.58817411946666e-11	2.31562178681967e-10	422579	5	81	0.764085019096385	0.793447476042866	0.874239659416342	0.0023995200959808	0.0432956886883493	0.999200159968006	1
GO:0006725	cellular aromatic compound metabolic process	 1.506984	default_and_biomart_annot	0.000000e+00	0.006129456	cellular aromatic compound metabolic process	0.417330090679483	2137	1.47314350283628	0	0	343356	621	5407	1.29359380986343	1.99840144432528e-15	7.43802182965892e-14	0.0001999600079984	0.00659993787406041	1	1	cellular aromatic compound metabolic process	0.423040051160883	2216	1.50698351751896	0	0	341486	637	5847	1.34853753139443	0	0	0.0001999600079984	0.00612945592699642	1	1
GO:0006925	inflammatory cell apoptotic process	 4.639965	default_and_biomart_annot	3.449872e-13	0.006129456	inflammatory cell apoptotic process	0.00235607492808482	38	4.63996528230157	2.99760216648792e-14	3.44987196704575e-13	385407	3	20	1.6894835096453	0.259761583406388	0.455320237046335	0.0001999600079984	0.00659993787406041	0.877024595080984	1	inflammatory cell apoptotic process	0.0028002311744643	44	4.52042244352302	6.66133814775094e-16	8.28062656845998e-15	408646	4	24	2.06302955156024	0.123834520543023	0.258247869474144	0.0001999600079984	0.00612945592699642	0.866626674665067	1
GO:0006959	humoral immune response	 1.362536	default_annot	3.806505e-02	0.006599938	humoral immune response	0.011823885910635	56	1.36253613477306	0.0150214784536782	0.0380650501810252	383533	8	210	0.429075177052775	0.998732213779648	0.999999999959798	0.0001999600079984	0.00659993787406041	0.909018196360728	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0007098	centrosome cycle	 1.381601	default_annot	3.744052e-02	0.024985479	centrosome cycle	0.0108278167982773	52	1.38160112044594	0.0147393503170729	0.0374405181335907	440954	17	129	1.48430075782791	0.06432186367473	0.175153002441254	0.0011997600479904	0.0249854790946573	0.633473305338932	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0007249	canonical NF-kappaB signal transduction	 1.534302	default_and_biomart_annot	1.010975e-05	0.006129456	canonical NF-kappaB signal transduction	0.0254917170361168	127	1.43325961565477	5.86345446609293e-05	0.000246565777548523	314542	36	287	1.41280850980792	0.0218545264708694	0.0763598900926249	0.0011997600479904	0.0249854790946573	0.629274145170966	1	canonical NF-kappaB signal transduction	0.0245629572601223	131	1.53430208539834	2.02382337655127e-06	1.01097473300871e-05	335648	31	289	1.32776296397995	0.0642703302180105	0.161048969589488	0.0001999600079984	0.00612945592699642	0.869426114777045	1
GO:0007368	determination of left/right symmetry	 2.391213	default_and_biomart_annot	0.000000e+00	0.006129456	determination of left/right symmetry	0.0147981376567705	123	2.39121309695239	0	0	301303	24	131	2.06349130949045	0.000488731694439526	0.00330950184828211	0.0001999600079984	0.00659993787406041	0.696660667866427	1	determination of left/right symmetry	0.0151229287862915	124	2.35888088055129	0	0	307381	24	136	2.18438423106378	0.000218525828605154	0.00147184375196605	0.0001999600079984	0.00612945592699642	0.832833433313337	1
