group	group_name	seqnames	start	end	width	strand	element_accelerated_ranking_name
38	NA	chr8	3569689	3569793	105	*	ncAvAR-38
38	NA	chr8	3569794	3569835	42	*	ncAvAR-38
43	NA	chr1	165124084	165124098	15	*	ncAvAR-43
43	NA	chr1	165124072	165124081	10	*	ncAvAR-43
43	NA	chr1	165123908	165124071	164	*	ncAvAR-43
48	NA	chr3	116383805	116383970	166	*	ncAvAR-48
50	NA	chr1	44651646	44651721	76	*	ncAvAR-50
51	NA	chr3	141448545	141448555	11	*	ncAvAR-51
51	NA	chr3	141448560	141448570	11	*	ncAvAR-51
51	NA	chr3	141448577	141448585	9	*	ncAvAR-51
51	NA	chr3	141448586	141448627	42	*	ncAvAR-51
51	NA	chr3	141448628	141448665	38	*	ncAvAR-51
51	NA	chr3	141448668	141448690	23	*	ncAvAR-51
53	NA	chrX	82387925	82387992	68	*	ncAvAR-53
53	NA	chrX	82387817	82387922	106	*	ncAvAR-53
53	NA	chrX	82387785	82387816	32	*	ncAvAR-53
53	NA	chrX	82387753	82387784	32	*	ncAvAR-53
55	NA	chr8	28809573	28809597	25	*	ncAvAR-55
55	NA	chr8	28809598	28809672	75	*	ncAvAR-55
55	NA	chr8	28809674	28809684	11	*	ncAvAR-55
55	NA	chr8	28809685	28809714	30	*	ncAvAR-55
55	NA	chr8	28809715	28809732	18	*	ncAvAR-55
56	NA	chr1	27851431	27851453	23	*	ncAvAR-56
56	NA	chr1	27851454	27851528	75	*	ncAvAR-56
57	NA	chr16	86186608	86186610	3	*	ncAvAR-57
57	NA	chr16	86186558	86186607	50	*	ncAvAR-57
57	NA	chr16	86186530	86186555	26	*	ncAvAR-57
57	NA	chr16	86186425	86186528	104	*	ncAvAR-57
57	NA	chr16	86186398	86186424	27	*	ncAvAR-57
61	NA	chr6	97645725	97645746	22	*	ncAvAR-61
61	NA	chr6	97645692	97645722	31	*	ncAvAR-61
61	NA	chr6	97645680	97645690	11	*	ncAvAR-61
61	NA	chr6	97645652	97645677	26	*	ncAvAR-61
61	NA	chr6	97645622	97645634	13	*	ncAvAR-61
61	NA	chr6	97645607	97645619	13	*	ncAvAR-61
61	NA	chr6	97645567	97645606	40	*	ncAvAR-61
61	NA	chr6	97645558	97645566	9	*	ncAvAR-61
61	NA	chr6	97645551	97645555	5	*	ncAvAR-61
61	NA	chr6	97645516	97645546	31	*	ncAvAR-61
61	NA	chr6	97645504	97645515	12	*	ncAvAR-61
66	NA	chr8	92134242	92134345	104	*	ncAvAR-66
67	NA	chr2	45532237	45532588	352	*	ncAvAR-67
67	NA	chr2	45532589	45532681	93	*	ncAvAR-67
67	NA	chr2	45532683	45532702	20	*	ncAvAR-67
67	NA	chr2	45532705	45532766	62	*	ncAvAR-67
69	NA	chr3	18985474	18985483	10	*	ncAvAR-69
69	NA	chr3	18985487	18985822	336	*	ncAvAR-69
69	NA	chr3	18985823	18985844	22	*	ncAvAR-69
69	NA	chr3	18985846	18985892	47	*	ncAvAR-69
70	NA	chr2	192128666	192128693	28	*	ncAvAR-70
70	NA	chr2	192128695	192128717	23	*	ncAvAR-70
70	NA	chr2	192128718	192128758	41	*	ncAvAR-70
70	NA	chr2	192128759	192128806	48	*	ncAvAR-70
72	NA	chr5	158639051	158639078	28	*	ncAvAR-72
72	NA	chr5	158639043	158639050	8	*	ncAvAR-72
72	NA	chr5	158639034	158639041	8	*	ncAvAR-72
72	NA	chr5	158639001	158639031	31	*	ncAvAR-72
72	NA	chr5	158638938	158638999	62	*	ncAvAR-72
72	NA	chr5	158638930	158638937	8	*	ncAvAR-72
73	NA	chr12	98085457	98085497	41	*	ncAvAR-73
73	NA	chr12	98085501	98085566	66	*	ncAvAR-73
73	NA	chr12	98085574	98085577	4	*	ncAvAR-73
73	NA	chr12	98085585	98085593	9	*	ncAvAR-73
73	NA	chr12	98085594	98085625	32	*	ncAvAR-73
75	NA	chr10	113115621	113115662	42	*	ncAvAR-75
75	NA	chr10	113115663	113115792	130	*	ncAvAR-75
75	NA	chr10	113115793	113115814	22	*	ncAvAR-75
75	NA	chr10	113115824	113115839	16	*	ncAvAR-75
75	NA	chr10	113115840	113115858	19	*	ncAvAR-75
77	NA	chr18	75112277	75112292	16	*	ncAvAR-77
77	NA	chr18	75112266	75112276	11	*	ncAvAR-77
77	NA	chr18	75112239	75112261	23	*	ncAvAR-77
77	NA	chr18	75112103	75112238	136	*	ncAvAR-77
77	NA	chr18	75112059	75112102	44	*	ncAvAR-77
77	NA	chr18	75112045	75112058	14	*	ncAvAR-77
77	NA	chr18	75111985	75112043	59	*	ncAvAR-77
77	NA	chr18	75111972	75111980	9	*	ncAvAR-77
78	NA	chr6	9402342	9402378	37	*	ncAvAR-78
78	NA	chr6	9402141	9402341	201	*	ncAvAR-78
78	NA	chr6	9402110	9402140	31	*	ncAvAR-78
78	NA	chr6	9402023	9402109	87	*	ncAvAR-78
79	NA	chr5	20575828	20575988	161	*	ncAvAR-79
83	NA	chr18	76250573	76250615	43	*	ncAvAR-83
83	NA	chr18	76250504	76250571	68	*	ncAvAR-83
84	NA	chr22	35865353	35865357	5	*	ncAvAR-84
84	NA	chr22	35865289	35865340	52	*	ncAvAR-84
84	NA	chr22	35865221	35865286	66	*	ncAvAR-84
84	NA	chr22	35865183	35865220	38	*	ncAvAR-84
87	NA	chr18	63238040	63238114	75	*	ncAvAR-87
87	NA	chr18	63237966	63238039	74	*	ncAvAR-87
87	NA	chr18	63237951	63237960	10	*	ncAvAR-87
87	NA	chr18	63237892	63237940	49	*	ncAvAR-87
89	NA	chr3	115111525	115111532	8	*	ncAvAR-89
89	NA	chr3	115111510	115111524	15	*	ncAvAR-89
89	NA	chr3	115111484	115111509	26	*	ncAvAR-89
89	NA	chr3	115111432	115111460	29	*	ncAvAR-89
89	NA	chr3	115111419	115111431	13	*	ncAvAR-89
89	NA	chr3	115111330	115111412	83	*	ncAvAR-89
89	NA	chr3	115111289	115111329	41	*	ncAvAR-89
89	NA	chr3	115111262	115111288	27	*	ncAvAR-89
89	NA	chr3	115111239	115111261	23	*	ncAvAR-89
93	NA	chr2	100302918	100303046	129	*	ncAvAR-93
95	NA	chr12	14129758	14129870	113	*	ncAvAR-95
95	NA	chr12	14129872	14129878	7	*	ncAvAR-95
95	NA	chr12	14129879	14129885	7	*	ncAvAR-95
96	NA	chr2	103858341	103858361	21	*	ncAvAR-96
96	NA	chr2	103858368	103858511	144	*	ncAvAR-96
96	NA	chr2	103858512	103858518	7	*	ncAvAR-96
97	NA	chr3	49359482	49359488	7	*	ncAvAR-97
97	NA	chr3	49359499	49359520	22	*	ncAvAR-97
97	NA	chr3	49359521	49359536	16	*	ncAvAR-97
97	NA	chr3	49359540	49359557	18	*	ncAvAR-97
97	NA	chr3	49359558	49359565	8	*	ncAvAR-97
97	NA	chr3	49359566	49359648	83	*	ncAvAR-97
97	NA	chr3	49359649	49359725	77	*	ncAvAR-97
97	NA	chr3	49359726	49359743	18	*	ncAvAR-97
99	NA	chr6	97844130	97844187	58	*	ncAvAR-99
99	NA	chr6	97844119	97844126	8	*	ncAvAR-99
99	NA	chr6	97844052	97844117	66	*	ncAvAR-99
101	NA	chr7	132164794	132164802	9	*	ncAvAR-101
101	NA	chr7	132164785	132164793	9	*	ncAvAR-101
101	NA	chr7	132164781	132164784	4	*	ncAvAR-101
101	NA	chr7	132164754	132164780	27	*	ncAvAR-101
101	NA	chr7	132164739	132164753	15	*	ncAvAR-101
101	NA	chr7	132164701	132164738	38	*	ncAvAR-101
101	NA	chr7	132164660	132164700	41	*	ncAvAR-101
102	NA	chr12	16187719	16187781	63	*	ncAvAR-102
102	NA	chr12	16187785	16187929	145	*	ncAvAR-102
103	NA	chr2	18495936	18496013	78	*	ncAvAR-103
103	NA	chr2	18496014	18496136	123	*	ncAvAR-103
104	NA	chr4	110194047	110194065	19	*	ncAvAR-104
104	NA	chr4	110193931	110194045	115	*	ncAvAR-104
105	NA	chr15	35630032	35630044	13	*	ncAvAR-105
105	NA	chr15	35629988	35630031	44	*	ncAvAR-105
105	NA	chr15	35629918	35629987	70	*	ncAvAR-105
105	NA	chr15	35629868	35629917	50	*	ncAvAR-105
105	NA	chr15	35629843	35629867	25	*	ncAvAR-105
105	NA	chr15	35629816	35629840	25	*	ncAvAR-105
105	NA	chr15	35629786	35629813	28	*	ncAvAR-105
106	NA	chr1	90507483	90507503	21	*	ncAvAR-106
106	NA	chr1	90507468	90507481	14	*	ncAvAR-106
106	NA	chr1	90507388	90507467	80	*	ncAvAR-106
106	NA	chr1	90507353	90507387	35	*	ncAvAR-106
106	NA	chr1	90507320	90507345	26	*	ncAvAR-106
106	NA	chr1	90507232	90507317	86	*	ncAvAR-106
110	NA	chr4	13209657	13209669	13	*	ncAvAR-110
110	NA	chr4	13209648	13209655	8	*	ncAvAR-110
110	NA	chr4	13209595	13209647	53	*	ncAvAR-110
110	NA	chr4	13209560	13209593	34	*	ncAvAR-110
110	NA	chr4	13209488	13209558	71	*	ncAvAR-110
111	NA	chrX	446316	446338	23	*	ncAvAR-111
111	NA	chrX	446208	446315	108	*	ncAvAR-111
111	NA	chrX	446149	446199	51	*	ncAvAR-111
114	NA	chr6	9316574	9316637	64	*	ncAvAR-114
114	NA	chr6	9316562	9316573	12	*	ncAvAR-114
114	NA	chr6	9316529	9316561	33	*	ncAvAR-114
114	NA	chr6	9316473	9316528	56	*	ncAvAR-114
114	NA	chr6	9316358	9316472	115	*	ncAvAR-114
114	NA	chr6	9316337	9316357	21	*	ncAvAR-114
114	NA	chr6	9316321	9316334	14	*	ncAvAR-114
114	NA	chr6	9316292	9316320	29	*	ncAvAR-114
117	NA	chr2	60110373	60110390	18	*	ncAvAR-117
117	NA	chr2	60110392	60110405	14	*	ncAvAR-117
117	NA	chr2	60110406	60110736	331	*	ncAvAR-117
120	NA	chr2	59816388	59816459	72	*	ncAvAR-120
120	NA	chr2	59816460	59816467	8	*	ncAvAR-120
120	NA	chr2	59816468	59816569	102	*	ncAvAR-120
122	NA	chrX	23394683	23394705	23	*	ncAvAR-122
122	NA	chrX	23394659	23394682	24	*	ncAvAR-122
122	NA	chrX	23394628	23394658	31	*	ncAvAR-122
122	NA	chrX	23394566	23394627	62	*	ncAvAR-122
122	NA	chrX	23394531	23394565	35	*	ncAvAR-122
125	NA	chr2	120889219	120889233	15	*	ncAvAR-125
125	NA	chr2	120889244	120889280	37	*	ncAvAR-125
125	NA	chr2	120889281	120889368	88	*	ncAvAR-125
134	NA	chr15	98408730	98408841	112	*	ncAvAR-134
134	NA	chr15	98408843	98408867	25	*	ncAvAR-134
134	NA	chr15	98408868	98408874	7	*	ncAvAR-134
136	NA	chr6	119196072	119196089	18	*	ncAvAR-136
136	NA	chr6	119196033	119196070	38	*	ncAvAR-136
136	NA	chr6	119195904	119196032	129	*	ncAvAR-136
136	NA	chr6	119195878	119195903	26	*	ncAvAR-136
136	NA	chr6	119195865	119195877	13	*	ncAvAR-136
137	NA	chr12	17326085	17326113	29	*	ncAvAR-137
137	NA	chr12	17326114	17326252	139	*	ncAvAR-137
137	NA	chr12	17326254	17326279	26	*	ncAvAR-137
138	NA	chr2	23387993	23388042	50	*	ncAvAR-138
138	NA	chr2	23388043	23388130	88	*	ncAvAR-138
139	NA	chr5	158478824	158478830	7	*	ncAvAR-139
139	NA	chr5	158478673	158478812	140	*	ncAvAR-139
140	NA	chr18	25510530	25510535	6	*	ncAvAR-140
140	NA	chr18	25510542	25510565	24	*	ncAvAR-140
140	NA	chr18	25510566	25510731	166	*	ncAvAR-140
140	NA	chr18	25510733	25510762	30	*	ncAvAR-140
140	NA	chr18	25510763	25510854	92	*	ncAvAR-140
140	NA	chr18	25510855	25510874	20	*	ncAvAR-140
142	NA	chr7	155976216	155976227	12	*	ncAvAR-142
142	NA	chr7	155976229	155976364	136	*	ncAvAR-142
144	NA	chr1	220928991	220929150	160	*	ncAvAR-144
144	NA	chr1	220928974	220928990	17	*	ncAvAR-144
144	NA	chr1	220928957	220928973	17	*	ncAvAR-144
145	NA	chr7	104097512	104097518	7	*	ncAvAR-145
145	NA	chr7	104097519	104097576	58	*	ncAvAR-145
145	NA	chr7	104097578	104097608	31	*	ncAvAR-145
145	NA	chr7	104097612	104097619	8	*	ncAvAR-145
145	NA	chr7	104097620	104097701	82	*	ncAvAR-145
145	NA	chr7	104097702	104097713	12	*	ncAvAR-145
145	NA	chr7	104097714	104097788	75	*	ncAvAR-145
145	NA	chr7	104097789	104097798	10	*	ncAvAR-145
150	NA	chr18	75621465	75621486	22	*	ncAvAR-150
150	NA	chr18	75621440	75621464	25	*	ncAvAR-150
150	NA	chr18	75621427	75621439	13	*	ncAvAR-150
150	NA	chr18	75621422	75621426	5	*	ncAvAR-150
150	NA	chr18	75621398	75621421	24	*	ncAvAR-150
150	NA	chr18	75621389	75621397	9	*	ncAvAR-150
150	NA	chr18	75621344	75621388	45	*	ncAvAR-150
153	NA	chr18	26010867	26010951	85	*	ncAvAR-153
153	NA	chr18	26010953	26011070	118	*	ncAvAR-153
154	NA	chr13	99694130	99694145	16	*	ncAvAR-154
154	NA	chr13	99694119	99694128	10	*	ncAvAR-154
154	NA	chr13	99694086	99694118	33	*	ncAvAR-154
154	NA	chr13	99693949	99694085	137	*	ncAvAR-154
154	NA	chr13	99693863	99693948	86	*	ncAvAR-154
154	NA	chr13	99693846	99693862	17	*	ncAvAR-154
156	NA	chr13	78614276	78614355	80	*	ncAvAR-156
156	NA	chr13	78614245	78614263	19	*	ncAvAR-156
156	NA	chr13	78614240	78614242	3	*	ncAvAR-156
157	NA	chr3	89409202	89409203	2	*	ncAvAR-157
157	NA	chr3	89409204	89409254	51	*	ncAvAR-157
157	NA	chr3	89409255	89409258	4	*	ncAvAR-157
157	NA	chr3	89409259	89409273	15	*	ncAvAR-157
157	NA	chr3	89409274	89409312	39	*	ncAvAR-157
157	NA	chr3	89409327	89409350	24	*	ncAvAR-157
157	NA	chr3	89409351	89409399	49	*	ncAvAR-157
158	NA	chr7	2380583	2380600	18	*	ncAvAR-158
158	NA	chr7	2380601	2380615	15	*	ncAvAR-158
158	NA	chr7	2380616	2380621	6	*	ncAvAR-158
158	NA	chr7	2380622	2380638	17	*	ncAvAR-158
158	NA	chr7	2380639	2380645	7	*	ncAvAR-158
158	NA	chr7	2380646	2380671	26	*	ncAvAR-158
158	NA	chr7	2380672	2380704	33	*	ncAvAR-158
158	NA	chr7	2380705	2380738	34	*	ncAvAR-158
159	NA	chr6	79004480	79004488	9	*	ncAvAR-159
159	NA	chr6	79004423	79004479	57	*	ncAvAR-159
159	NA	chr6	79004364	79004422	59	*	ncAvAR-159
159	NA	chr6	79004339	79004362	24	*	ncAvAR-159
164	NA	chr12	106649292	106649421	130	*	ncAvAR-164
164	NA	chr12	106649139	106649291	153	*	ncAvAR-164
164	NA	chr12	106649112	106649136	25	*	ncAvAR-164
164	NA	chr12	106649090	106649111	22	*	ncAvAR-164
166	NA	chr13	99666011	99666011	1	*	ncAvAR-166
166	NA	chr13	99665975	99666010	36	*	ncAvAR-166
166	NA	chr13	99665949	99665973	25	*	ncAvAR-166
166	NA	chr13	99665795	99665940	146	*	ncAvAR-166
169	NA	chr6	155712989	155713006	18	*	ncAvAR-169
169	NA	chr6	155713008	155713051	44	*	ncAvAR-169
169	NA	chr6	155713056	155713070	15	*	ncAvAR-169
169	NA	chr6	155713071	155713080	10	*	ncAvAR-169
169	NA	chr6	155713081	155713101	21	*	ncAvAR-169
169	NA	chr6	155713102	155713139	38	*	ncAvAR-169
169	NA	chr6	155713140	155713154	15	*	ncAvAR-169
169	NA	chr6	155713155	155713175	21	*	ncAvAR-169
170	NA	chr12	97755775	97755776	2	*	ncAvAR-170
170	NA	chr12	97755809	97755921	113	*	ncAvAR-170
170	NA	chr12	97755923	97756124	202	*	ncAvAR-170
172	NA	chr8	105142460	105142552	93	*	ncAvAR-172
172	NA	chr8	105142553	105142564	12	*	ncAvAR-172
174	NA	chr8	91904267	91904307	41	*	ncAvAR-174
174	NA	chr8	91904308	91904365	58	*	ncAvAR-174
174	NA	chr8	91904366	91904400	35	*	ncAvAR-174
174	NA	chr8	91904402	91904416	15	*	ncAvAR-174
174	NA	chr8	91904417	91904419	3	*	ncAvAR-174
177	NA	chrX	110759269	110759275	7	*	ncAvAR-177
177	NA	chrX	110759255	110759265	11	*	ncAvAR-177
177	NA	chrX	110759167	110759252	86	*	ncAvAR-177
177	NA	chrX	110759130	110759166	37	*	ncAvAR-177
177	NA	chrX	110759118	110759129	12	*	ncAvAR-177
177	NA	chrX	110759057	110759115	59	*	ncAvAR-177
182	NA	chr10	113058073	113058093	21	*	ncAvAR-182
182	NA	chr10	113058096	113058105	10	*	ncAvAR-182
182	NA	chr10	113058118	113058137	20	*	ncAvAR-182
182	NA	chr10	113058138	113058161	24	*	ncAvAR-182
182	NA	chr10	113058162	113058215	54	*	ncAvAR-182
182	NA	chr10	113058216	113058242	27	*	ncAvAR-182
183	NA	chr16	85575650	85575803	154	*	ncAvAR-183
183	NA	chr16	85575647	85575649	3	*	ncAvAR-183
184	NA	chr6	157269750	157269765	16	*	ncAvAR-184
184	NA	chr6	157269770	157269778	9	*	ncAvAR-184
184	NA	chr6	157269780	157269806	27	*	ncAvAR-184
184	NA	chr6	157269807	157269896	90	*	ncAvAR-184
184	NA	chr6	157269897	157269927	31	*	ncAvAR-184
184	NA	chr6	157269929	157269946	18	*	ncAvAR-184
184	NA	chr6	157269947	157269965	19	*	ncAvAR-184
184	NA	chr6	157269966	157269977	12	*	ncAvAR-184
185	NA	chr11	96143282	96143312	31	*	ncAvAR-185
185	NA	chr11	96142983	96143280	298	*	ncAvAR-185
186	NA	chr3	133317407	133317423	17	*	ncAvAR-186
186	NA	chr3	133317425	133317448	24	*	ncAvAR-186
186	NA	chr3	133317450	133317460	11	*	ncAvAR-186
186	NA	chr3	133317461	133317577	117	*	ncAvAR-186
186	NA	chr3	133317578	133317599	22	*	ncAvAR-186
186	NA	chr3	133317600	133317627	28	*	ncAvAR-186
191	NA	chr12	66062319	66062328	10	*	ncAvAR-191
191	NA	chr12	66062329	66062341	13	*	ncAvAR-191
191	NA	chr12	66062342	66062345	4	*	ncAvAR-191
191	NA	chr12	66062346	66062440	95	*	ncAvAR-191
191	NA	chr12	66062448	66062464	17	*	ncAvAR-191
191	NA	chr12	66062478	66062501	24	*	ncAvAR-191
192	NA	chr13	20844747	20844781	35	*	ncAvAR-192
192	NA	chr13	20844716	20844743	28	*	ncAvAR-192
192	NA	chr13	20844539	20844715	177	*	ncAvAR-192
192	NA	chr13	20844527	20844538	12	*	ncAvAR-192
192	NA	chr13	20844498	20844526	29	*	ncAvAR-192
192	NA	chr13	20844477	20844497	21	*	ncAvAR-192
192	NA	chr13	20844467	20844471	5	*	ncAvAR-192
193	NA	chr11	96116651	96116684	34	*	ncAvAR-193
193	NA	chr11	96116624	96116650	27	*	ncAvAR-193
193	NA	chr11	96116600	96116623	24	*	ncAvAR-193
193	NA	chr11	96116531	96116599	69	*	ncAvAR-193
194	NA	chr8	91765644	91765650	7	*	ncAvAR-194
194	NA	chr8	91765651	91765659	9	*	ncAvAR-194
194	NA	chr8	91765663	91765699	37	*	ncAvAR-194
194	NA	chr8	91765701	91765739	39	*	ncAvAR-194
194	NA	chr8	91765740	91765875	136	*	ncAvAR-194
194	NA	chr8	91765900	91765935	36	*	ncAvAR-194
194	NA	chr8	91765936	91765994	59	*	ncAvAR-194
194	NA	chr8	91765996	91766008	13	*	ncAvAR-194
194	NA	chr8	91766009	91766043	35	*	ncAvAR-194
196	NA	chr3	116563165	116563383	219	*	ncAvAR-196
196	NA	chr3	116563156	116563162	7	*	ncAvAR-196
198	NA	chr7	20793386	20793466	81	*	ncAvAR-198
198	NA	chr7	20793467	20793487	21	*	ncAvAR-198
199	NA	chr2	104930378	104930504	127	*	ncAvAR-199
199	NA	chr2	104930505	104930511	7	*	ncAvAR-199
199	NA	chr2	104930512	104930541	30	*	ncAvAR-199
200	NA	chr5	167410370	167410436	67	*	ncAvAR-200
200	NA	chr5	167410322	167410368	47	*	ncAvAR-200
205	NA	chr4	19120054	19120244	191	*	ncAvAR-205
205	NA	chr4	19120019	19120053	35	*	ncAvAR-205
209	NA	chr2	2320342	2320347	6	*	ncAvAR-209
209	NA	chr2	2320356	2320386	31	*	ncAvAR-209
209	NA	chr2	2320387	2320459	73	*	ncAvAR-209
209	NA	chr2	2320460	2320464	5	*	ncAvAR-209
210	NA	chr1	112524365	112524369	5	*	ncAvAR-210
210	NA	chr1	112524370	112524387	18	*	ncAvAR-210
210	NA	chr1	112524388	112524510	123	*	ncAvAR-210
210	NA	chr1	112524515	112524519	5	*	ncAvAR-210
210	NA	chr1	112524523	112524549	27	*	ncAvAR-210
210	NA	chr1	112524550	112524601	52	*	ncAvAR-210
211	NA	chr18	25276277	25276312	36	*	ncAvAR-211
211	NA	chr18	25276313	25276508	196	*	ncAvAR-211
213	NA	chr3	115713316	115713492	177	*	ncAvAR-213
215	NA	chr1	35613087	35613123	37	*	ncAvAR-215
215	NA	chr1	35613132	35613228	97	*	ncAvAR-215
215	NA	chr1	35613229	35613255	27	*	ncAvAR-215
216	NA	chr13	72075947	72076089	143	*	ncAvAR-216
216	NA	chr13	72075858	72075944	87	*	ncAvAR-216
216	NA	chr13	72075847	72075852	6	*	ncAvAR-216
218	NA	chrX	91256259	91256267	9	*	ncAvAR-218
218	NA	chrX	91256274	91256416	143	*	ncAvAR-218
221	NA	chr3	102417932	102417954	23	*	ncAvAR-221
221	NA	chr3	102417955	102418010	56	*	ncAvAR-221
221	NA	chr3	102418014	102418034	21	*	ncAvAR-221
221	NA	chr3	102418045	102418080	36	*	ncAvAR-221
221	NA	chr3	102418081	102418099	19	*	ncAvAR-221
221	NA	chr3	102418100	102418111	12	*	ncAvAR-221
221	NA	chr3	102418113	102418194	82	*	ncAvAR-221
221	NA	chr3	102418195	102418239	45	*	ncAvAR-221
224	NA	chr4	156806936	156807007	72	*	ncAvAR-224
224	NA	chr4	156806913	156806935	23	*	ncAvAR-224
224	NA	chr4	156806899	156806912	14	*	ncAvAR-224
224	NA	chr4	156806892	156806898	7	*	ncAvAR-224
225	NA	chr1	63183236	63183303	68	*	ncAvAR-225
225	NA	chr1	63183304	63183326	23	*	ncAvAR-225
225	NA	chr1	63183328	63183513	186	*	ncAvAR-225
226	NA	chr11	133019954	133020004	51	*	ncAvAR-226
226	NA	chr11	133020005	133020023	19	*	ncAvAR-226
226	NA	chr11	133020024	133020094	71	*	ncAvAR-226
226	NA	chr11	133020095	133020227	133	*	ncAvAR-226
226	NA	chr11	133020231	133020253	23	*	ncAvAR-226
228	NA	chr1	244037862	244037876	15	*	ncAvAR-228
228	NA	chr1	244037850	244037861	12	*	ncAvAR-228
228	NA	chr1	244037801	244037849	49	*	ncAvAR-228
228	NA	chr1	244037769	244037800	32	*	ncAvAR-228
228	NA	chr1	244037757	244037768	12	*	ncAvAR-228
228	NA	chr1	244037748	244037755	8	*	ncAvAR-228
228	NA	chr1	244037720	244037745	26	*	ncAvAR-228
228	NA	chr1	244037698	244037716	19	*	ncAvAR-228
228	NA	chr1	244037662	244037697	36	*	ncAvAR-228
228	NA	chr1	244037557	244037661	105	*	ncAvAR-228
228	NA	chr1	244037533	244037550	18	*	ncAvAR-228
229	NA	chr6	122805391	122805425	35	*	ncAvAR-229
231	NA	chr5	150384679	150384685	7	*	ncAvAR-231
231	NA	chr5	150384655	150384678	24	*	ncAvAR-231
231	NA	chr5	150384568	150384654	87	*	ncAvAR-231
232	NA	chr7	13952996	13953027	32	*	ncAvAR-232
232	NA	chr7	13953031	13953047	17	*	ncAvAR-232
232	NA	chr7	13953049	13953079	31	*	ncAvAR-232
232	NA	chr7	13953080	13953104	25	*	ncAvAR-232
232	NA	chr7	13953106	13953116	11	*	ncAvAR-232
232	NA	chr7	13953117	13953157	41	*	ncAvAR-232
232	NA	chr7	13953159	13953162	4	*	ncAvAR-232
232	NA	chr7	13953164	13953189	26	*	ncAvAR-232
232	NA	chr7	13953190	13953237	48	*	ncAvAR-232
234	NA	chr1	44610905	44610923	19	*	ncAvAR-234
234	NA	chr1	44610924	44610997	74	*	ncAvAR-234
234	NA	chr1	44610998	44611098	101	*	ncAvAR-234
235	NA	chr3	55510530	55510652	123	*	ncAvAR-235
236	NA	chr2	58445398	58445520	123	*	ncAvAR-236
237	NA	chr22	35850292	35850293	2	*	ncAvAR-237
237	NA	chr22	35850236	35850291	56	*	ncAvAR-237
237	NA	chr22	35850184	35850201	18	*	ncAvAR-237
237	NA	chr22	35850075	35850117	43	*	ncAvAR-237
237	NA	chr22	35850042	35850074	33	*	ncAvAR-237
237	NA	chr22	35850012	35850040	29	*	ncAvAR-237
238	NA	chr8	115448289	115448307	19	*	ncAvAR-238
238	NA	chr8	115448308	115448316	9	*	ncAvAR-238
238	NA	chr8	115448323	115448333	11	*	ncAvAR-238
