seqnames	start	end	element_accelerated_ranking_name	cluster
chr12	12599278	12599464	ncAvAR-241	1400
chr3	76083399	76083523	ncAvAR-242	764
chr19	4132753	4132877	ncAvAR-243	1485
chr2	13378447	13378696	ncAvAR-244	362
chr2	59812304	59812491	ncAvAR-245	464
chr3	17757310	17757497	ncAvAR-246	650
chr3	95646448	95646698	ncAvAR-247	785
chr8	22521310	22521498	ncAvAR-248	1234
chr1	134362343	134362468	ncAvAR-249	224
chr1	60605562	60605687	ncAvAR-250	103
chr1	63176428	63176680	ncAvAR-251	107
chr2	48587565	48587818	ncAvAR-252	442
chr1	134195871	134196255	ncAvAR-253	223
chr3	91199793	91200049	ncAvAR-254	773
chr1	49892521	49892649	ncAvAR-255	82
chr7	28638855	28639048	ncAvAR-256	1170
chr10	18639535	18639728	ncAvAR-257	1325
chr2	114490668	114490927	ncAvAR-258	560
chr11	8576648	8576908	ncAvAR-259	1349
chr12	14954567	14954697	ncAvAR-260	1408
chr17	10158795	10158925	ncAvAR-261	1472
chr1	125006752	125006948	ncAvAR-262	210
chr2	114357815	114358077	ncAvAR-263	560
chr3	25391003	25391265	ncAvAR-264	674
chr2	8270493	8270756	ncAvAR-265	346
chr2	47098364	47098495	ncAvAR-266	440
chr1	51959307	51959571	ncAvAR-267	89
chr8	25970513	25970712	ncAvAR-268	1250
chr12	16504024	16504223	ncAvAR-269	1414
chr5	18685090	18685290	ncAvAR-270	973
chr6	21683423	21683690	ncAvAR-271	1082
chr1	77911686	77911887	ncAvAR-272	123
chr13	3958523	3958724	ncAvAR-273	1423
chr1	72731264	72731668	ncAvAR-274	121
chr2	113065492	113065626	ncAvAR-275	556
chr1	54129760	54130164	ncAvAR-276	95
chr13	18588826	18589164	ncAvAR-277	1449
chr1	63207375	63207849	ncAvAR-278	107
chr10	16588840	16588975	ncAvAR-279	1316
chr13	5397201	5397540	ncAvAR-280	1426
chr17	10172529	10172732	ncAvAR-281	1472
chr1	63519713	63519985	ncAvAR-282	110
chr1	113700069	113700205	ncAvAR-283	200
chr1	189577994	189578130	ncAvAR-284	323
chr2	64764190	64764326	ncAvAR-285	484
chr2	137459456	137459592	ncAvAR-286	607
chr1	167039844	167040049	ncAvAR-287	297
chr1	90413557	90413694	ncAvAR-288	152
chr2	145670408	145670545	ncAvAR-289	614
chr3	32417525	32417662	ncAvAR-290	691
chr10	16240887	16241371	ncAvAR-291	1314
chr1	81902038	81902453	ncAvAR-292	127
chr2	119296256	119296463	ncAvAR-293	570
chr3	101044038	101044176	ncAvAR-294	798
chr8	27577315	27577592	ncAvAR-295	1260
chr11	8845191	8845329	ncAvAR-296	1351
chr2	114447825	114447963	ncAvAR-297	560
chr1	63760756	63761033	ncAvAR-298	111
chr3	19704206	19704344	ncAvAR-299	658
chr8	22105084	22105433	ncAvAR-300	1231
chr1	20099046	20099185	ncAvAR-301	33
chr5	39764530	39764670	ncAvAR-302	1021
chr2	105784309	105784590	ncAvAR-303	540
chr2	125534064	125534345	ncAvAR-304	583
chr1	25749147	25749640	ncAvAR-305	41
chr1	191176655	191176866	ncAvAR-306	327
chr1	111055836	111055977	ncAvAR-307	194
chr2	59679765	59680050	ncAvAR-308	463
chr2	125376785	125376927	ncAvAR-309	582
chr4	27422639	27422996	ncAvAR-310	861
chr14	4225737	4225952	ncAvAR-311	1452
chr2	103883122	103883409	ncAvAR-312	535
chr5	47546641	47546929	ncAvAR-313	1036
chr18	7658703	7658919	ncAvAR-314	1479
chr2	128747871	128748087	ncAvAR-315	593
chr2	103659245	103659536	ncAvAR-316	533
chr2	134850179	134850325	ncAvAR-317	600
chr13	11759108	11759328	ncAvAR-318	1436
chr1	41805631	41805851	ncAvAR-319	69
chr1	49319965	49320259	ncAvAR-320	81
chr3	54022712	54023006	ncAvAR-321	721
chr5	11554922	11555143	ncAvAR-322	957
chr2	14781236	14781457	ncAvAR-323	370
chr1	56672624	56672845	ncAvAR-324	98
chr4	40606155	40606674	ncAvAR-325	884
chr13	3580280	3580502	ncAvAR-326	1421
chr1	142419756	142419904	ncAvAR-327	243
chr2	17758114	17758486	ncAvAR-328	379
chr1	8262818	8263117	ncAvAR-329	18
chr12	2081269	2081418	ncAvAR-330	1384
chr8	27201102	27201327	ncAvAR-331	1256
chr1	20147940	20148165	ncAvAR-332	33
chr8	27099007	27099157	ncAvAR-333	1255
chr4	42003375	42003677	ncAvAR-334	888
chr13	11043841	11043992	ncAvAR-335	1435
chr2	70163492	70163719	ncAvAR-336	497
chr1	46380530	46380910	ncAvAR-337	75
chr1	174297031	174297259	ncAvAR-338	304
chr1	41482078	41482306	ncAvAR-339	68
chr2	7922638	7922866	ncAvAR-340	343
chr1	94731667	94731819	ncAvAR-341	160
chr2	67075315	67075773	ncAvAR-342	488
chr20	13014358	13014510	ncAvAR-343	1519
chr7	33670359	33670588	ncAvAR-344	1186
chr11	18591531	18591838	ncAvAR-345	1377
chr12	16145092	16145400	ncAvAR-346	1411
chr1	147032035	147032266	ncAvAR-347	256
chr2	96855945	96856176	ncAvAR-348	528
chr12	16195428	16195892	ncAvAR-349	1411
chr7	32375285	32375674	ncAvAR-350	1179
chr2	104949875	104950186	ncAvAR-351	538
chr3	50905273	50905742	ncAvAR-352	713
chr3	51339496	51339809	ncAvAR-353	715
chr4	11130094	11130251	ncAvAR-354	842
chr1	44030030	44030266	ncAvAR-355	73
chr8	25543805	25544121	ncAvAR-356	1249
chr9	17131724	17131961	ncAvAR-357	1287
chr1	135570600	135570837	ncAvAR-358	226
chr3	70927028	70927186	ncAvAR-359	749
chr7	22114258	22114416	ncAvAR-360	1158
chr13	11648355	11648672	ncAvAR-361	1436
chr5	28694533	28695011	ncAvAR-362	982
chr1	131084806	131085045	ncAvAR-363	217
chr2	3078614	3078854	ncAvAR-364	332
chr1	157552181	157552341	ncAvAR-365	277
chr2	30808078	30808238	ncAvAR-366	407
chr22	1526864	1527024	ncAvAR-367	1523
chr6	34933731	34933972	ncAvAR-368	1110
chr8	20962081	20962322	ncAvAR-369	1228
chr3	47158101	47158342	ncAvAR-370	707
chr8	20796999	20797241	ncAvAR-371	1228
chr2	124895329	124895571	ncAvAR-372	578
chr1	164741970	164742294	ncAvAR-373	291
chr5	23958526	23958769	ncAvAR-374	977
chr7	21490030	21490192	ncAvAR-375	1155
chr1	181246928	181247090	ncAvAR-376	316
chr2	9048919	9049244	ncAvAR-377	350
chr5	50078228	50078472	ncAvAR-378	1043
chr8	22602080	22602324	ncAvAR-379	1235
chr2	91249237	91249726	ncAvAR-380	524
chr4	9079511	9079838	ncAvAR-381	839
chr1	96968741	96968986	ncAvAR-382	164
chr9	16173712	16173875	ncAvAR-383	1283
chr2	66799652	66799815	ncAvAR-384	486
chr1	147022753	147022999	ncAvAR-385	256
chr13	5984194	5984523	ncAvAR-386	1428
chr4	74218786	74218951	ncAvAR-387	911
chr5	10107247	10107580	ncAvAR-388	948
chr13	6323434	6323684	ncAvAR-389	1429
chr12	9765472	9765806	ncAvAR-390	1393
chr4	7382524	7382691	ncAvAR-391	836
chr4	32616812	32617063	ncAvAR-392	871
chr13	11592223	11592474	ncAvAR-393	1436
chr14	2852112	2852363	ncAvAR-394	1450
chr1	156388728	156388980	ncAvAR-395	275
chr1	158120423	158120760	ncAvAR-396	280
chr11	4694575	4694743	ncAvAR-397	1336
chr3	20427521	20427689	ncAvAR-398	663
chr5	58610193	58610531	ncAvAR-399	1061
chr13	11480627	11480965	ncAvAR-400	1436
chr4	33013080	33013249	ncAvAR-401	873
chr7	5125356	5125866	ncAvAR-402	1119
chr5	58811248	58811503	ncAvAR-403	1062
chr2	35030665	35030920	ncAvAR-404	421
chr3	91950114	91950284	ncAvAR-405	774
chr1	186748445	186748615	ncAvAR-406	320
chr15	12797210	12797380	ncAvAR-407	1467
chr2	130024636	130024977	ncAvAR-408	594
chr2	22764217	22764901	ncAvAR-409	384
chr8	27803158	27803500	ncAvAR-410	1262
chr7	21530509	21530938	ncAvAR-411	1155
chr1	134360598	134360769	ncAvAR-412	224
chr13	10112482	10112739	ncAvAR-413	1432
chr1	147852022	147852194	ncAvAR-414	260
chr1	48670105	48670277	ncAvAR-415	79
chr24	2058422	2058594	ncAvAR-416	1532
chr1	155149008	155149613	ncAvAR-417	272
chr3	34977660	34978092	ncAvAR-418	694
chr8	21162787	21163046	ncAvAR-419	1229
chr18	2970646	2970905	ncAvAR-420	1474
chr2	145036633	145036893	ncAvAR-421	612
chr1	61722679	61722852	ncAvAR-422	106
chr2	24356516	24356951	ncAvAR-423	387
chr15	9609483	9609831	ncAvAR-424	1464
chr1	25583856	25584118	ncAvAR-425	40
chr3	30076341	30076603	ncAvAR-426	685
chr3	71856324	71856674	ncAvAR-427	753
chr13	15074618	15074793	ncAvAR-428	1443
chr6	28097204	28097555	ncAvAR-429	1094
chr8	13628656	13628919	ncAvAR-430	1211
chr10	15136300	15136475	ncAvAR-431	1308
chr12	18059511	18059686	ncAvAR-432	1417
chr1	49296373	49296812	ncAvAR-433	81
chr2	112997206	112997381	ncAvAR-434	555
chr1	63659801	63660064	ncAvAR-435	111
chr20	4211681	4212033	ncAvAR-436	1492
chr10	16891119	16891383	ncAvAR-437	1319
chr12	12484757	12485021	ncAvAR-438	1399
chr5	56010540	56010716	ncAvAR-439	1060
chr1	147901599	147901775	ncAvAR-440	260
chr15	3685226	3685402	ncAvAR-441	1461
chr3	20625885	20626238	ncAvAR-442	664
chr9	22684909	22685086	ncAvAR-443	1298
chr1	26612543	26612809	ncAvAR-444	50
chr12	10419359	10419536	ncAvAR-445	1394
chr12	10676249	10676426	ncAvAR-446	1397
chr13	11421868	11422136	ncAvAR-447	1436
chr6	7315445	7315624	ncAvAR-448	1064
chr8	16079015	16079374	ncAvAR-449	1216
chr1	141239812	141239991	ncAvAR-450	241
chr2	8219202	8219381	ncAvAR-451	346
chr2	11809695	11809874	ncAvAR-452	360
chr4	77619811	77620261	ncAvAR-453	920
chr1	108258508	108258869	ncAvAR-454	186
chr1	145695416	145695687	ncAvAR-455	250
chr1	160706246	160706517	ncAvAR-456	286
chr2	35011129	35011400	ncAvAR-457	421
chr1	136174800	136175163	ncAvAR-458	230
chr2	6206595	6206958	ncAvAR-459	340
chr2	32552796	32553068	ncAvAR-460	412
chr2	91082342	91082523	ncAvAR-461	523
chr1	46476464	46476919	ncAvAR-462	76
chr6	18038342	18038615	ncAvAR-463	1078
chr3	94336962	94337236	ncAvAR-464	779
chr3	54744874	54745148	ncAvAR-465	723
chr2	66853643	66853826	ncAvAR-466	487
chr2	91166486	91166761	ncAvAR-467	523
chr1	81962974	81963250	ncAvAR-468	128
chr1	85003223	85003407	ncAvAR-469	144
chr5	54108134	54108411	ncAvAR-470	1054
chr7	34240942	34241219	ncAvAR-471	1190
chr9	12210015	12210292	ncAvAR-472	1278
chr2	51103694	51104064	ncAvAR-473	455
chr2	127726569	127726939	ncAvAR-474	589
chr3	19783940	19784310	ncAvAR-475	659
chr11	8585793	8586164	ncAvAR-476	1349
chr13	13252366	13252644	ncAvAR-477	1439
chr5	13700989	13701268	ncAvAR-478	961
chr1	93070912	93071191	ncAvAR-479	156
chr3	34439190	34439469	ncAvAR-480	693
chr4	33421333	33421519	ncAvAR-481	874
chr5	32142683	32143056	ncAvAR-482	992
chr5	58853145	58853331	ncAvAR-483	1062
chr10	5182241	5182427	ncAvAR-484	1300
chr2	34986757	34987130	ncAvAR-485	421
chr1	63803161	63803628	ncAvAR-486	111
chr2	11127310	11127590	ncAvAR-487	357
chr7	20723199	20723573	ncAvAR-488	1152
chr17	3870111	3870298	ncAvAR-489	1469
chr11	14900451	14900921	ncAvAR-490	1370
chr8	2119988	2120364	ncAvAR-491	1197
chr1	132252588	132252964	ncAvAR-492	220
chr1	158490009	158490386	ncAvAR-493	282
chr2	106682680	106682868	ncAvAR-494	542
chr2	29505763	29506047	ncAvAR-495	401
chr2	88254703	88254892	ncAvAR-496	514
chr2	120357919	120358108	ncAvAR-497	576
chr6	30013828	30014018	ncAvAR-498	1096
chr10	17952418	17952608	ncAvAR-499	1324
chr12	10723956	10724146	ncAvAR-500	1397
chr20	12569051	12569241	ncAvAR-501	1516
chr1	93572745	93572936	ncAvAR-502	158
chr8	17372475	17372666	ncAvAR-503	1217
chr1	113884127	113884318	ncAvAR-504	202
chr3	71398083	71398275	ncAvAR-505	751
chr6	23564866	23565058	ncAvAR-506	1085
chr2	86199330	86199522	ncAvAR-507	506
chr5	36767793	36768275	ncAvAR-508	1009
chr1	133917538	133918022	ncAvAR-509	221
chr3	11151525	11151718	ncAvAR-510	636
chr4	62553755	62554046	ncAvAR-511	904
chr5	36926220	36926511	ncAvAR-512	1010
chr9	13115754	13115948	ncAvAR-513	1280
chr2	33293495	33293689	ncAvAR-514	417
chr1	66404941	66405135	ncAvAR-515	118
chr2	119786581	119786873	ncAvAR-516	573
chr4	4559369	4559759	ncAvAR-517	828
chr9	12406757	12406952	ncAvAR-518	1279
chr1	99545654	99546046	ncAvAR-519	172
chr5	39721973	39722267	ncAvAR-520	1021
chr1	61694187	61694481	ncAvAR-521	106
chr12	8216570	8216963	ncAvAR-522	1390
chr6	28198906	28199201	ncAvAR-523	1094
chr2	60718239	60718633	ncAvAR-524	468
chr1	82874756	82874953	ncAvAR-525	137
chr3	20020576	20020972	ncAvAR-526	660
chr4	76952320	76952617	ncAvAR-527	917
chr11	14837655	14837952	ncAvAR-528	1370
chr1	93114125	93114524	ncAvAR-529	156
chr2	109842929	109843028	ncAvAR-530	551
chr2	112579650	112579949	ncAvAR-531	554
chr2	125596831	125597131	ncAvAR-532	583
chr8	22080634	22080834	ncAvAR-533	1231
chr1	113808695	113808895	ncAvAR-534	201
chr2	91439196	91439396	ncAvAR-535	524
chr3	18819393	18819593	ncAvAR-536	655
chr5	24677952	24678353	ncAvAR-537	979
chr7	31251331	31251632	ncAvAR-538	1176
chr4	76111682	76111782	ncAvAR-539	915
chr2	32813706	32813907	ncAvAR-540	414
chr1	63542826	63542926	ncAvAR-541	110
chr1	37415752	37416055	ncAvAR-542	64
chr5	10281837	10282040	ncAvAR-543	950
chr12	10599851	10600157	ncAvAR-544	1396
chr1	36066840	36067146	ncAvAR-545	61
chr3	63392069	63392273	ncAvAR-546	737
chr5	56068118	56068426	ncAvAR-547	1060
chr2	145077878	145077980	ncAvAR-548	612
chr5	54028131	54028545	ncAvAR-549	1053
chr4	15392157	15392260	ncAvAR-550	848
chr2	33421014	33421325	ncAvAR-551	417
chr1	48531104	48531207	ncAvAR-552	78
chr2	34971450	34972178	ncAvAR-553	421
chr2	104481681	104482097	ncAvAR-554	537
chr4	36996623	36996831	ncAvAR-555	877
chr1	84462769	84462977	ncAvAR-556	143
chr12	9720092	9720300	ncAvAR-557	1393
chr2	85940658	85940866	ncAvAR-558	504
chr2	103587285	103587493	ncAvAR-559	532
chr3	21450927	21451135	ncAvAR-560	667
chr5	17414842	17415155	ncAvAR-561	967
chr1	21100391	21100809	ncAvAR-562	34
chr1	83361864	83362073	ncAvAR-563	141
chr8	24244118	24244327	ncAvAR-564	1246
chr1	130145244	130145453	ncAvAR-565	212
chr1	154214741	154215055	ncAvAR-566	264
chr2	119357013	119357222	ncAvAR-567	571
chr5	33805772	33805982	ncAvAR-568	993
chr6	23942864	23943074	ncAvAR-569	1088
chr2	60990890	60991100	ncAvAR-570	470
chr4	31419778	31420095	ncAvAR-571	865
chr7	32658520	32658731	ncAvAR-572	1180
chr1	22957829	22958040	ncAvAR-573	36
chr4	53459184	53459502	ncAvAR-574	897
chr7	25718601	25718919	ncAvAR-575	1164
chr2	103916889	103917207	ncAvAR-576	535
chr1	72222079	72222398	ncAvAR-577	120
chr1	87730479	87730798	ncAvAR-578	149
chr5	47256074	47256501	ncAvAR-579	1034
chr6	23944885	23944991	ncAvAR-580	1088
chr20	13675626	13675839	ncAvAR-581	1520
chr4	81212521	81212735	ncAvAR-582	925
chr7	20650357	20650571	ncAvAR-583	1151
chr2	32776046	32776260	ncAvAR-584	414
chr5	46721115	46721330	ncAvAR-585	1031
chr7	20560171	20560494	ncAvAR-586	1151
chr9	4481992	4482315	ncAvAR-587	1270
chr9	15546807	15547022	ncAvAR-588	1282
chr11	4640966	4641289	ncAvAR-589	1335
chr3	101296187	101296511	ncAvAR-590	800
chr7	31407561	31407777	ncAvAR-591	1177
chr11	4240400	4240616	ncAvAR-592	1331
chr6	23911872	23912197	ncAvAR-593	1088
chr1	83095321	83095429	ncAvAR-594	139
chr7	13296959	13297067	ncAvAR-595	1133
chr7	33224697	33224805	ncAvAR-596	1183
chr1	180970181	180970289	ncAvAR-597	315
