seqnames	start	end	element_accelerated_ranking_name	cluster
chr10	79422619	79422727	ncMAR-153	1481
chr15	66897709	66897817	ncMAR-154	2015
chr1	218778790	218778898	ncMAR-155	198
chr11	27954286	27954505	ncMAR-156	1584
chr11	45542196	45542305	ncMAR-157	1609
chr12	23587857	23587966	ncMAR-158	1701
chr1	208732402	208732594	ncMAR-159	160
chr6	9286655	9286820	ncMAR-160	959
chr3	159532299	159532492	ncMAR-161	644
chr1	91806572	91806682	ncMAR-162	99
chr14	86720039	86720177	ncMAR-163	1960
chr11	30412551	30412662	ncMAR-164	1586
chr12	26233887	26233998	ncMAR-165	1707
chr5	87846931	87847155	ncMAR-166	857
chr7	81819961	81820157	ncMAR-167	1071
chr17	39548928	39549040	ncMAR-168	2139
chr3	134937787	134937899	ncMAR-169	613
chr5	90130952	90131093	ncMAR-170	874
chr15	66264629	66264969	ncMAR-171	2014
chr2	66133906	66134019	ncMAR-172	291
chr11	31804030	31804429	ncMAR-173	1593
chr3	61324691	61324833	ncMAR-174	543
chr9	1784147	1784289	ncMAR-175	1244
chr1	208846799	208846970	ncMAR-176	161
chr3	102543132	102543418	ncMAR-177	599
chr10	4106128	4106443	ncMAR-178	1403
chr9	128404919	128405033	ncMAR-179	1392
chr10	15609402	15609516	ncMAR-180	1419
chr10	105163188	105163360	ncMAR-181	1509
chr3	168982498	168982728	ncMAR-182	651
chr11	127677935	127678050	ncMAR-183	1660
chr2	30402908	30403081	ncMAR-184	241
chr14	20343256	20343400	ncMAR-185	1852
chr6	9819157	9819331	ncMAR-186	963
chr2	220373264	220373440	ncMAR-187	479
chr9	80028422	80028539	ncMAR-188	1334
chr1	213418527	213418674	ncMAR-189	170
chr1	83799701	83799908	ncMAR-190	71
chr12	41397438	41397586	ncMAR-191	1711
chr9	26043076	26043284	ncMAR-192	1299
chr2	143157532	143157802	ncMAR-193	336
chr10	100810865	100811106	ncMAR-194	1495
chr12	116792523	116792825	ncMAR-195	1766
chr2	36486738	36486950	ncMAR-196	246
chr8	104900695	104901060	ncMAR-197	1217
chr14	36664908	36665029	ncMAR-198	1902
chr17	44989989	44990171	ncMAR-199	2140
chr2	28102490	28102672	ncMAR-200	238
chr2	55284001	55284428	ncMAR-201	258
chr10	93034599	93034751	ncMAR-202	1488
chr2	205320557	205320863	ncMAR-203	458
chr7	19526795	19527009	ncMAR-204	1030
chr2	221606643	221606765	ncMAR-205	483
chr4	165672522	165672644	ncMAR-206	786
chr10	101095105	101095227	ncMAR-207	1496
chr10	60870688	60870872	ncMAR-208	1444
chr4	181748651	181748866	ncMAR-209	804
chr2	79980967	79981183	ncMAR-210	306
chr5	89342539	89342662	ncMAR-211	869
chr7	132885843	132885997	ncMAR-212	1114
chr10	121138318	121138441	ncMAR-213	1541
chr8	64450932	64451149	ncMAR-214	1170
chr17	70661972	70662158	ncMAR-215	2161
chr2	11196680	11196898	ncMAR-216	218
chr3	17967136	17967542	ncMAR-217	502
chr10	88436894	88437050	ncMAR-218	1486
chr1	208756766	208756922	ncMAR-219	160
chr7	120501192	120501380	ncMAR-220	1103
chr2	88321757	88321915	ncMAR-221	310
chr1	245365313	245365471	ncMAR-222	212
chr9	14188125	14188316	ncMAR-223	1269
chr11	16239547	16239866	ncMAR-224	1572
chr16	12220771	12220962	ncMAR-225	2062
chr4	156686294	156686422	ncMAR-226	784
chr11	115350876	115351134	ncMAR-227	1636
chr1	48099164	48099293	ncMAR-228	18
chr17	74051335	74051464	ncMAR-229	2172
chr8	35586775	35586937	ncMAR-230	1145
chr9	7921902	7922097	ncMAR-231	1251
chr3	70821015	70821243	ncMAR-232	560
chr10	60351366	60351496	ncMAR-233	1443
chr3	137647321	137647485	ncMAR-234	620
chr10	76647707	76647971	ncMAR-235	1472
chr3	114453940	114454072	ncMAR-236	604
chr1	44296931	44297130	ncMAR-237	14
chr9	81825527	81825626	ncMAR-238	1343
chr10	34141656	34141755	ncMAR-239	1431
chr5	77901289	77901555	ncMAR-240	850
chr10	14024815	14025081	ncMAR-241	1418
chr10	11023415	11023548	ncMAR-242	1415
chr12	23770317	23770450	ncMAR-243	1702
chr2	207363334	207363568	ncMAR-244	464
chr10	100710195	100710295	ncMAR-245	1494
chr17	51208927	51209027	ncMAR-246	2145
chr10	112746500	112746634	ncMAR-247	1521
chr16	49574786	49574988	ncMAR-248	2065
chr2	69467366	69467501	ncMAR-249	304
chr9	126755174	126755377	ncMAR-250	1391
chr10	98087089	98087258	ncMAR-251	1489
chr17	29057478	29057579	ncMAR-252	2131
chr1	37083987	37084191	ncMAR-253	10
chr3	59479661	59479797	ncMAR-254	534
chr10	75990061	75990163	ncMAR-255	1467
chr9	13786228	13786642	ncMAR-256	1266
chr2	143852938	143853041	ncMAR-257	341
chr14	78211564	78211771	ncMAR-258	1938
chr2	211534755	211534928	ncMAR-259	470
chr11	34331396	34331535	ncMAR-260	1597
chr1	87765928	87766174	ncMAR-261	81
chr15	98146515	98146620	ncMAR-262	2047
chr2	80606746	80606957	ncMAR-263	307
chr2	155493194	155493335	ncMAR-264	367
chr3	134892829	134892970	ncMAR-265	613
chr1	81582415	81582699	ncMAR-266	57
chr2	104155037	104155250	ncMAR-267	315
chr14	79074751	79074857	ncMAR-268	1942
chr3	89291652	89291758	ncMAR-269	592
chr10	8859092	8859198	ncMAR-270	1409
chr13	72075891	72076104	ncMAR-271	1805
chr11	116129467	116129930	ncMAR-272	1640
chr1	209369492	209369777	ncMAR-273	166
chr2	177733173	177733351	ncMAR-274	433
chr11	133660026	133660204	ncMAR-275	1683
chr16	53020069	53020212	ncMAR-276	2080
chr2	15656530	15656889	ncMAR-277	220
chr4	24537694	24537801	ncMAR-278	700
chr11	132199682	132199970	ncMAR-279	1674
chr5	125099613	125099793	ncMAR-280	943
chr14	68669147	68669327	ncMAR-281	1928
chr14	76186336	76186516	ncMAR-282	1933
chr16	52372081	52372261	ncMAR-283	2075
chr8	20296022	20296130	ncMAR-284	1128
chr11	100110606	100110823	ncMAR-285	1628
chr1	69103796	69103977	ncMAR-286	37
chr17	36959631	36959812	ncMAR-287	2136
chr1	82049076	82049403	ncMAR-288	61
chr11	133069992	133070319	ncMAR-289	1679
chr1	21050863	21051008	ncMAR-290	3
chr1	86635950	86636095	ncMAR-291	75
chr9	35480042	35480187	ncMAR-292	1304
chr14	79062822	79062967	ncMAR-293	1942
chr1	39334378	39334560	ncMAR-294	13
chr9	74744288	74744580	ncMAR-295	1317
chr5	107920742	107920851	ncMAR-296	918
chr11	114205578	114205797	ncMAR-297	1631
chr1	87348392	87348538	ncMAR-298	78
chr8	15339486	15339632	ncMAR-299	1126
chr11	115202214	115202360	ncMAR-300	1635
chr12	118441455	118441601	ncMAR-301	1768
chr15	65949405	65949551	ncMAR-302	2013
chr7	135307150	135307333	ncMAR-303	1120
chr2	108073537	108073794	ncMAR-304	323
chr2	205073523	205073670	ncMAR-305	456
chr3	18875169	18875316	ncMAR-306	507
chr1	85375293	85375403	ncMAR-307	73
chr6	38262489	38262636	ncMAR-308	995
chr9	36821304	36821414	ncMAR-309	1307
chr9	78540119	78540341	ncMAR-310	1323
chr1	87957876	87958061	ncMAR-311	84
chr14	85238929	85239114	ncMAR-312	1957
chr17	39550082	39550305	ncMAR-313	2139
chr5	107341760	107341871	ncMAR-314	914
chr2	99431728	99432026	ncMAR-315	311
chr11	19401047	19401233	ncMAR-316	1577
chr8	51839554	51839703	ncMAR-317	1153
chr10	77002174	77002361	ncMAR-318	1475
chr14	85462931	85463118	ncMAR-319	1958
chr2	22599680	22599905	ncMAR-320	233
chr12	24049843	24050106	ncMAR-321	1705
chr8	22710702	22710852	ncMAR-322	1129
chr8	34525889	34526039	ncMAR-323	1143
chr15	77688307	77688457	ncMAR-324	2023
chr10	112622795	112623285	ncMAR-325	1520
chr2	183645510	183645737	ncMAR-326	439
chr3	70738092	70738281	ncMAR-327	559
chr7	40640703	40640854	ncMAR-328	1063
chr9	108149507	108149620	ncMAR-329	1360
chr12	75764456	75764645	ncMAR-330	1731
chr14	21539277	21539390	ncMAR-331	1853
chr2	60265854	60266005	ncMAR-332	279
chr9	106621342	106621494	ncMAR-333	1359
chr5	92594056	92594286	ncMAR-334	884
chr11	133390861	133391014	ncMAR-335	1681
chr14	76132635	76132904	ncMAR-336	1933
chr10	33259305	33259420	ncMAR-337	1427
chr1	175674839	175674954	ncMAR-338	138
chr1	188220052	188220206	ncMAR-339	147
chr3	176281771	176282121	ncMAR-340	663
chr4	173821946	173822218	ncMAR-341	791
chr5	125612740	125613051	ncMAR-342	946
chr2	58737255	58737371	ncMAR-343	269
chr2	67159936	67160169	ncMAR-344	298
chr1	82562526	82562682	ncMAR-345	65
chr17	48149966	48150122	ncMAR-346	2141
chr5	77868091	77868208	ncMAR-347	850
chr9	117919717	117919913	ncMAR-348	1369
chr1	83114556	83114792	ncMAR-349	69
chr17	7883918	7884075	ncMAR-350	2125
chr7	28573293	28573490	ncMAR-351	1050
chr1	159141583	159141820	ncMAR-352	129
chr13	58584490	58584608	ncMAR-353	1789
chr1	208421173	208421410	ncMAR-354	158
chr14	36905466	36905862	ncMAR-355	1905
chr11	127594896	127595094	ncMAR-356	1659
chr2	176129127	176129246	ncMAR-357	419
chr7	36986533	36986692	ncMAR-358	1058
chr1	168280735	168280854	ncMAR-359	135
chr12	80017560	80017719	ncMAR-360	1734
chr14	29448077	29448236	ncMAR-361	1876
chr15	89372828	89372947	ncMAR-362	2025
chr9	97279359	97279478	ncMAR-363	1350
chr12	71611182	71611341	ncMAR-364	1726
chr14	26125006	26125406	ncMAR-365	1859
chr2	173622819	173623340	ncMAR-366	409
chr1	71128175	71128415	ncMAR-367	38
chr17	61009863	61010063	ncMAR-368	2154
chr5	125715433	125715593	ncMAR-369	947
chr2	219918849	219918969	ncMAR-370	478
chr15	61196873	61196993	ncMAR-371	2010
chr14	32640150	32640351	ncMAR-372	1881
chr6	12752154	12752315	ncMAR-373	968
chr11	131903306	131903467	ncMAR-374	1672
chr14	84590168	84590329	ncMAR-375	1954
chr1	213519464	213519625	ncMAR-376	170
chr10	64311764	64312047	ncMAR-377	1450
chr2	147451390	147451592	ncMAR-378	361
chr5	93127596	93127880	ncMAR-379	889
chr1	104632115	104632277	ncMAR-380	115
chr14	33019522	33019807	ncMAR-381	1883
chr1	88112320	88112442	ncMAR-382	85
chr1	208126916	208127038	ncMAR-383	157
chr11	124846178	124846465	ncMAR-384	1649
chr1	39331198	39331444	ncMAR-385	13
chr2	29714316	29714480	ncMAR-386	240
chr12	72176971	72177300	ncMAR-387	1727
chr11	123039909	123040197	ncMAR-388	1648
chr3	102691854	102692101	ncMAR-389	600
chr3	128108059	128108182	ncMAR-390	609
chr14	30227296	30227791	ncMAR-391	1878
chr14	68140243	68140573	ncMAR-392	1926
chr10	115063817	115064023	ncMAR-393	1528
chr9	7456455	7456620	ncMAR-394	1249
chr2	104381045	104381252	ncMAR-395	317
chr3	18264947	18265154	ncMAR-396	504
chr2	219111721	219111845	ncMAR-397	477
chr1	76405214	76405463	ncMAR-398	46
chr8	38684427	38684551	ncMAR-399	1152
chr5	124365190	124365565	ncMAR-400	937
chr2	163712184	163712309	ncMAR-401	391
chr3	33918114	33918323	ncMAR-402	519
chr3	133709515	133709640	ncMAR-403	611
chr4	17288266	17288391	ncMAR-404	686
chr1	97192654	97192821	ncMAR-405	104
chr10	79009447	79009572	ncMAR-406	1480
chr11	42201765	42201974	ncMAR-407	1602
chr12	95725532	95725742	ncMAR-408	1742
chr2	214105768	214105936	ncMAR-409	474
chr3	168709235	168709403	ncMAR-410	649
chr5	89694288	89694456	ncMAR-411	872
chr11	97169228	97169396	ncMAR-412	1626
chr14	66446189	66446315	ncMAR-413	1925
chr5	107250757	107251095	ncMAR-414	913
chr8	34500905	34501116	ncMAR-415	1143
chr7	27049879	27050048	ncMAR-416	1045
chr14	33481354	33481608	ncMAR-417	1887
chr9	24502069	24502281	ncMAR-418	1294
chr11	97354506	97354718	ncMAR-419	1627
chr3	100747268	100747480	ncMAR-420	596
chr1	50696851	50696978	ncMAR-421	22
chr3	158488861	158488988	ncMAR-422	639
chr7	120529396	120529523	ncMAR-423	1103
chr3	62133334	62133504	ncMAR-424	544
chr4	156770026	156770196	ncMAR-425	785
chr9	73869725	73869895	ncMAR-426	1314
chr1	17849149	17849319	ncMAR-427	2
chr14	82080659	82080829	ncMAR-428	1949
chr11	127035988	127036244	ncMAR-429	1658
chr4	24134362	24134490	ncMAR-430	697
chr6	40962872	40963000	ncMAR-431	996
chr10	61869967	61870095	ncMAR-432	1446
chr10	76647539	76647667	ncMAR-433	1472
chr11	128705650	128705821	ncMAR-434	1664
chr14	61028000	61028171	ncMAR-435	1922
chr14	79163644	79163815	ncMAR-436	1943
chr14	56758893	56759151	ncMAR-437	1915
chr2	21688321	21688536	ncMAR-438	228
chr13	72403497	72403799	ncMAR-439	1806
chr9	118298781	118299040	ncMAR-440	1371
chr10	71353759	71353888	ncMAR-441	1455
chr5	92365171	92365344	ncMAR-442	882
chr11	132920636	132920809	ncMAR-443	1678
chr10	101322759	101323019	ncMAR-444	1498
chr9	81535615	81535876	ncMAR-445	1341
chr2	62966288	62966462	ncMAR-446	283
chr3	70244987	70245161	ncMAR-447	554
chr4	111393871	111394089	ncMAR-448	754
chr8	65044640	65044858	ncMAR-449	1175
chr6	9673030	9673205	ncMAR-450	962
chr7	103482154	103482329	ncMAR-451	1081
chr15	37377491	37377666	ncMAR-452	1991
chr16	5694162	5694337	ncMAR-453	2049
chr2	145563059	145563456	ncMAR-454	352
chr5	89735190	89735366	ncMAR-455	872
chr12	106645075	106645251	ncMAR-456	1758
chr10	21521951	21522083	ncMAR-457	1424
chr11	115097763	115098073	ncMAR-458	1634
chr2	205738029	205738206	ncMAR-459	461
chr5	88962377	88962554	ncMAR-460	866
chr6	37723041	37723263	ncMAR-461	993
chr1	206418061	206418283	ncMAR-462	154
chr7	78490194	78490372	ncMAR-463	1070
chr11	131526488	131526666	ncMAR-464	1670
chr2	65653599	65653777	ncMAR-465	285
chr4	106868703	106868882	ncMAR-466	744
chr11	12451468	12451692	ncMAR-467	1560
chr11	131407831	131407965	ncMAR-468	1669
chr15	37740862	37741041	ncMAR-469	1993
chr8	22761455	22761995	ncMAR-470	1130
chr1	87409457	87409862	ncMAR-471	79
chr11	81303163	81303388	ncMAR-472	1616
chr4	71369009	71369144	ncMAR-473	717
chr10	114049408	114049543	ncMAR-474	1527
chr2	216293628	216293809	ncMAR-475	476
chr1	97307724	97307905	ncMAR-476	105
chr9	13717071	13717344	ncMAR-477	1265
chr11	32152216	32152489	ncMAR-478	1594
chr11	115619683	115619819	ncMAR-479	1638
chr11	16170063	16170245	ncMAR-480	1571
chr13	53319429	53319657	ncMAR-481	1785
chr11	31816426	31816563	ncMAR-482	1593
chr2	221616257	221616440	ncMAR-483	483
chr5	87754224	87754499	ncMAR-484	856
chr7	40584206	40584389	ncMAR-485	1062
chr10	100645877	100646060	ncMAR-486	1494
chr14	32578568	32578705	ncMAR-487	1881
chr3	18938665	18938849	ncMAR-488	507
chr3	137128705	137129074	ncMAR-489	618
chr2	204470916	204471054	ncMAR-490	455
chr1	64085505	64085643	ncMAR-491	35
chr8	126642680	126642818	ncMAR-492	1242
chr10	16699774	16699912	ncMAR-493	1421
chr3	169387870	169388102	ncMAR-494	655
chr7	25646620	25646852	ncMAR-495	1036
chr13	78541619	78541945	ncMAR-496	1813
chr5	84187066	84187252	ncMAR-497	854
chr1	176481058	176481244	ncMAR-498	139
chr17	71163531	71163764	ncMAR-499	2164
chr2	222298931	222299071	ncMAR-500	486
chr7	10312385	10312572	ncMAR-501	1012
chr8	92862751	92862891	ncMAR-502	1206
chr11	17699576	17699716	ncMAR-503	1576
chr2	58445333	58445520	ncMAR-504	267
chr5	77971659	77971894	ncMAR-505	850
chr14	33291644	33291832	ncMAR-506	1885
chr2	31008691	31008832	ncMAR-507	242
chr9	118951124	118951360	ncMAR-508	1373
chr2	29238804	29239090	ncMAR-509	239
chr2	143156215	143156406	ncMAR-510	336
chr7	3654798	3655037	ncMAR-511	1008
chr9	100577962	100578105	ncMAR-512	1353
chr14	27726447	27726686	ncMAR-513	1866
chr1	208909451	208909642	ncMAR-514	162
chr9	16742608	16742896	ncMAR-515	1278
chr2	67872394	67872634	ncMAR-516	303
chr8	69025930	69026074	ncMAR-517	1181
chr9	119815312	119815456	ncMAR-518	1377
chr15	61700665	61700809	ncMAR-519	2011
chr8	105704589	105704782	ncMAR-520	1223
chr14	76184067	76184357	ncMAR-521	1933
chr17	61168560	61168753	ncMAR-522	2155
chr10	123164231	123164570	ncMAR-523	1544
chr10	77140289	77140434	ncMAR-524	1476
chr11	9802281	9802426	ncMAR-525	1558
chr16	85248542	85248687	ncMAR-526	2121
chr2	64798068	64798213	ncMAR-527	284
chr12	17487015	17487258	ncMAR-528	1693
chr1	91196884	91197372	ncMAR-529	98
chr3	62480252	62480398	ncMAR-530	546
chr16	7395127	7395323	ncMAR-531	2053
chr10	101464117	101464412	ncMAR-532	1500
chr10	113255874	113256021	ncMAR-533	1526
chr11	115956940	115957087	ncMAR-534	1639
chr3	18985519	18985717	ncMAR-535	507
chr4	137857727	137857925	ncMAR-536	762
chr14	68279012	68279210	ncMAR-537	1927
chr15	96004163	96004361	ncMAR-538	2037
chr2	22408746	22409045	ncMAR-539	232
chr2	175855349	175855598	ncMAR-540	418
chr3	172126030	172126379	ncMAR-541	658
chr1	81920180	81920279	ncMAR-542	59
chr1	87155966	87156315	ncMAR-543	77
chr8	65416781	65416980	ncMAR-544	1179
chr3	159310495	159310745	ncMAR-545	643
chr7	132066586	132066736	ncMAR-546	1110
chr4	23973372	23973623	ncMAR-547	696
chr14	36928642	36928742	ncMAR-548	1905
chr16	7611075	7611276	ncMAR-549	2054
chr2	21642476	21642779	ncMAR-550	228
chr1	178372182	178372333	ncMAR-551	143
chr2	163651951	163652306	ncMAR-552	390
chr2	45337638	45337841	ncMAR-553	255
chr3	77159087	77159239	ncMAR-554	572
chr7	18030835	18031089	ncMAR-555	1025
chr8	37594747	37594950	ncMAR-556	1150
chr11	122230174	122230428	ncMAR-557	1646
chr17	48311525	48311626	ncMAR-558	2142
chr17	71398960	71399214	ncMAR-559	2165
chr1	39333972	39334176	ncMAR-560	13
chr8	84451940	84452093	ncMAR-561	1197
chr11	126838085	126838238	ncMAR-562	1656
chr7	156221530	156221735	ncMAR-563	1124
chr8	37727331	37727536	ncMAR-564	1151
chr2	55885852	55885954	ncMAR-565	259
chr1	208682569	208682929	ncMAR-566	160
chr2	221605889	221606043	ncMAR-567	483
chr6	37756251	37756405	ncMAR-568	993
chr2	118432058	118432212	ncMAR-569	325
chr2	142123235	142123596	ncMAR-570	333
chr2	201858479	201858738	ncMAR-571	451
chr1	147574499	147574810	ncMAR-572	127
chr1	108051087	108051347	ncMAR-573	120
chr11	131933015	131933223	ncMAR-574	1672
chr14	76547863	76548229	ncMAR-575	1936
chr3	114835304	114835513	ncMAR-576	606
chr4	165706220	165706324	ncMAR-577	786
chr9	106134291	106134500	ncMAR-578	1356
chr3	70900249	70900406	ncMAR-579	561
chr4	18099903	18100218	ncMAR-580	687
chr10	105441467	105441677	ncMAR-581	1511
chr14	35541717	35541927	ncMAR-582	1895
chr3	85660464	85660781	ncMAR-583	586
chr3	117820521	117820732	ncMAR-584	608
chr1	111983130	111983235	ncMAR-585	122
chr9	108609495	108609706	ncMAR-586	1361
chr11	96012258	96012469	ncMAR-587	1624
chr11	122999376	122999852	ncMAR-588	1648
chr14	29224205	29224681	ncMAR-589	1874
chr1	216811710	216811975	ncMAR-590	185
chr9	118939594	118939806	ncMAR-591	1373
chr13	42607304	42607570	ncMAR-592	1780
chr1	10657137	10657243	ncMAR-593	1
chr6	23097631	23097737	ncMAR-594	989
chr7	81846095	81846201	ncMAR-595	1071
chr14	82845238	82845344	ncMAR-596	1951
chr11	15380270	15380858	ncMAR-597	1566
chr11	126838356	126838516	ncMAR-598	1656
chr5	117088504	117088718	ncMAR-599	923
chr14	97946572	97946786	ncMAR-600	1973
chr3	17889455	17889778	ncMAR-601	502
chr3	55242802	55243125	ncMAR-602	527
chr4	177479537	177479698	ncMAR-603	795
chr5	31232122	31232283	ncMAR-604	824
chr1	168848083	168848244	ncMAR-605	136
chr11	72324950	72325057	ncMAR-606	1614
chr12	114936261	114936368	ncMAR-607	1763
chr5	53971118	53971442	ncMAR-608	839
chr4	66274554	66274770	ncMAR-609	716
chr15	37878221	37878546	ncMAR-610	1995
chr2	104632564	104632835	ncMAR-611	320
chr11	122099749	122099857	ncMAR-612	1645
chr8	32747130	32747238	ncMAR-613	1137
chr5	52013334	52013497	ncMAR-614	836
chr7	96819513	96819676	ncMAR-615	1079
chr14	79638783	79638946	ncMAR-616	1945
chr8	37225477	37225695	ncMAR-617	1148
chr17	71668238	71668456	ncMAR-618	2167
chr3	55819097	55819425	ncMAR-619	531
