seqnames	start	end	width	strand
chr3	103988916	103989118	203	*
chr3	103999389	103999709	321	*
chr3	104005386	104005493	108	*
chr3	104230791	104230891	101	*
chr3	104361157	104361286	130	*
chr1	77171125	77171256	132	*
chr1	77388113	77388317	205	*
chr3	106334236	106334352	117	*
chr3	106942872	106943886	1015	*
chr3	106961174	106961384	211	*
chr3	107854572	107855008	437	*
chr3	109649762	109649894	133	*
chr3	109720644	109720817	174	*
chr3	109801842	109802024	183	*
chr1	77637797	77637946	150	*
chr3	110790189	110790376	188	*
chr33	3217359	3217744	386	*
chr1	77660120	77660261	142	*
chr33	5650366	5650543	178	*
chr33	7408660	7408921	262	*
chr4	70116	70237	122	*
chr4	88532	88969	438	*
chr4	94465	95590	1126	*
chr4	205830	205980	151	*
chr4	1119915	1120101	187	*
chr4	1251352	1251479	128	*
chr4	1307870	1308046	177	*
chr1	77920229	77920454	226	*
chr4	2060042	2060158	117	*
chr4	2182169	2182363	195	*
chr1	77939885	77939986	102	*
chr4	2225959	2226089	131	*
chr4	2243002	2243264	263	*
chr4	2298045	2298166	122	*
chr4	2381414	2381519	106	*
chr4	3350702	3350828	127	*
chr4	4011009	4011121	113	*
chr4	4106403	4106602	200	*
chr4	4153193	4153478	286	*
chr4	4548417	4548588	172	*
chr4	5084083	5084214	132	*
chr4	5800257	5800607	351	*
chr1	78081055	78081275	221	*
chr4	8111244	8111553	310	*
chr4	8679965	8681438	1474	*
chr4	8684777	8684943	167	*
chr4	9450367	9450498	132	*
chr4	9458647	9459724	1078	*
chr1	78284072	78284295	224	*
chr4	11856400	11856650	251	*
chr4	12181685	12181794	110	*
chr4	12297436	12297628	193	*
chr4	12378490	12380785	2296	*
chr4	12859722	12860354	633	*
chr4	12866991	12867209	219	*
chr4	13678273	13678409	137	*
chr4	14207097	14207209	113	*
chr4	14222643	14222808	166	*
chr4	14322182	14322344	163	*
chr4	14327738	14327880	143	*
chr4	15580333	15580490	158	*
chr4	15583924	15584102	179	*
chr4	15721853	15721990	138	*
chr4	16404374	16404543	170	*
chr4	16407976	16408184	209	*
chr4	16409201	16409317	117	*
chr4	16452959	16453185	227	*
chr4	17013031	17013345	315	*
chr4	17391854	17392146	293	*
chr4	17422516	17422639	124	*
chr4	17427424	17427584	161	*
chr4	18326332	18326436	105	*
chr1	79919816	79919973	158	*
chr4	19319170	19320026	857	*
chr4	19986568	19987188	621	*
chr4	20800462	20801181	720	*
chr4	21396287	21396584	298	*
chr4	21923298	21923718	421	*
chr4	22007743	22007847	105	*
chr4	22199228	22199389	162	*
chr4	22203455	22203574	120	*
chr4	24584788	24584964	177	*
chr4	25189332	25189490	159	*
chr4	25195623	25195765	143	*
chr4	25346925	25347481	557	*
chr4	25416415	25416525	111	*
chr4	25498938	25499040	103	*
chr1	80279554	80279928	375	*
chr1	80337894	80338075	182	*
chr4	28916987	28917155	169	*
chr4	29293781	29294002	222	*
chr4	29724777	29724988	212	*
chr4	30075278	30075678	401	*
chr4	30076511	30076965	455	*
chr4	30557420	30557526	107	*
chr4	30557677	30558022	346	*
chr4	30855256	30855486	231	*
chr1	80861334	80861444	111	*
chr1	80879909	80880045	137	*
chr1	80886246	80886688	443	*
chr4	33176241	33176446	206	*
chr4	33457758	33457935	178	*
chr4	34423550	34423699	150	*
chr4	34976714	34976931	218	*
chr4	39619367	39621642	2276	*
chr4	39628767	39628933	167	*
chr4	43104737	43105275	539	*
chr4	43163773	43164017	245	*
chr4	43178813	43178982	170	*
chr4	43246741	43247206	466	*
chr4	43307419	43307535	117	*
chr4	43309565	43309716	152	*
chr4	43860709	43860930	222	*
chr4	44485644	44485889	246	*
chr4	44912318	44912540	223	*
chr4	46973237	46973459	223	*
chr4	48347055	48347233	179	*
chr4	48373378	48374012	635	*
chr4	49640687	49640860	174	*
chr4	49653730	49654191	462	*
chr4	49945416	49945612	197	*
chr4	50034524	50034731	208	*
chr4	52875748	52876236	489	*
chr4	53791366	53791570	205	*
chr4	56139921	56140087	167	*
chr4	56840323	56840425	103	*
chr4	58266582	58266715	134	*
chr4	59893029	59893182	154	*
chr4	60301451	60302191	741	*
chr4	60346783	60346939	157	*
chr4	60347873	60347992	120	*
chr4	61116631	61116762	132	*
chr4	61147353	61147680	328	*
chr4	61742818	61743036	219	*
chr4	62769532	62769647	116	*
chr4	62820640	62820803	164	*
chr4	62839020	62839207	188	*
chr4	63035488	63035717	230	*
chr4	63191925	63192050	126	*
chr4	64124284	64124397	114	*
chr4	65482756	65482921	166	*
chr4	65492627	65493496	870	*
chr4	66369439	66369585	147	*
chr4	66679645	66679914	270	*
chr4	66946046	66946205	160	*
chr1	82988996	82989167	172	*
chr4	67595601	67595799	199	*
chr4	68161052	68161159	108	*
chr4	68510221	68510477	257	*
chr4	69398791	69398977	187	*
chr4	69400420	69400615	196	*
chr4	69914093	69918032	3940	*
chr4	73226799	73226962	164	*
chr4	73229708	73229857	150	*
chr4	73231388	73231543	156	*
chr4	76377900	76378246	347	*
chr4	76671642	76671782	141	*
chr1	83692137	83693183	1047	*
chr1	83693227	83693761	535	*
chr4	79037498	79037638	141	*
chr4	79545084	79545259	176	*
chr4	79835737	79838900	3164	*
chr4	80510766	80511170	405	*
chr1	10045866	10047741	1876	*
chr4	81147723	81147887	165	*
chr4	81576963	81577242	280	*
chr4	82000930	82001123	194	*
chr4	82202598	82202736	139	*
chr1	10073906	10076210	2305	*
chr4	82499112	82499314	203	*
chr4	82512205	82512376	172	*
chr1	83842009	83842120	112	*
chr4	82785343	82785475	133	*
chr4	83222824	83223113	290	*
chr4	87572507	87574520	2014	*
chr4	88411448	88411650	203	*
chr4	88887721	88887861	141	*
chr4	88893978	88894147	170	*
chr4	88909033	88909138	106	*
chr4	89104295	89104404	110	*
chr5	611474	611649	176	*
chr5	2220585	2221312	728	*
chr1	10207550	10207700	151	*
chr1	84808213	84808334	122	*
chr1	10212619	10212939	321	*
chr5	3898350	3898454	105	*
chr1	85243907	85244020	114	*
chr1	85246452	85246636	185	*
chr5	5792809	5793265	457	*
chr5	7110046	7110225	180	*
chr5	7625913	7626044	132	*
chr5	7800450	7800656	207	*
chr5	9043953	9044116	164	*
chr5	9623164	9624130	967	*
chr5	10035940	10036100	161	*
chr1	85873420	85873614	195	*
chr1	85925826	85928149	2324	*
chr5	12078141	12078268	128	*
chr5	12495657	12496897	1241	*
chr5	13271177	13271453	277	*
chr5	14509375	14509691	317	*
chr1	86511581	86512125	545	*
chr1	86693811	86693945	135	*
chr5	18134854	18134989	136	*
chr5	18179714	18180386	673	*
chr5	18212565	18212919	355	*
chr5	18302358	18302491	134	*
chr5	23286449	23286641	193	*
chr5	23324118	23324249	132	*
chr5	23397549	23397760	212	*
chr5	23518871	23519105	235	*
chr5	23595643	23595771	129	*
chr5	23606011	23606191	181	*
chr5	23757161	23758065	905	*
chr5	23868827	23869425	599	*
chr5	24157786	24157939	154	*
chr5	24237645	24237858	214	*
chr5	24508493	24508940	448	*
chr1	87758824	87759097	274	*
chr5	24842822	24843663	842	*
chr5	24957988	24958152	165	*
chr5	27425825	27425975	151	*
chr5	27427357	27427820	464	*
chr5	27439395	27439580	186	*
chr5	27441183	27441343	161	*
chr5	27468887	27469140	254	*
chr5	27480897	27481229	333	*
chr5	27481252	27482608	1357	*
chr5	27527231	27527654	424	*
chr5	27555208	27555390	183	*
chr5	29316470	29316864	395	*
chr5	29610678	29611011	334	*
chr5	30404517	30404784	268	*
chr5	31477484	31477691	208	*
chr1	89766311	89766503	193	*
chr1	89776360	89776569	210	*
chr5	34034963	34035658	696	*
chr5	34036840	34036939	100	*
chr1	89828004	89828227	224	*
chr5	34514745	34514864	120	*
chr5	34563250	34563596	347	*
chr5	34890914	34894703	3790	*
chr5	35105052	35105648	597	*
chr5	35158072	35158298	227	*
chr1	90052190	90052291	102	*
chr1	90059088	90059346	259	*
chr5	35706519	35706620	102	*
chr1	90066394	90066801	408	*
chr5	35785848	35787216	1369	*
chr1	90068302	90068718	417	*
chr5	35887652	35889967	2316	*
chr5	36210067	36210259	193	*
chr5	36299357	36299564	208	*
chr5	36733245	36733349	105	*
chr5	36954704	36954996	293	*
chr5	37266033	37266412	380	*
chr5	37822230	37823086	857	*
chr5	37948743	37948871	129	*
chr5	38221955	38222078	124	*
chr5	39082901	39083309	409	*
chr5	39310399	39311006	608	*
chr5	42392516	42393299	784	*
chr5	43365676	43365855	180	*
chr5	43387656	43387790	135	*
chr5	43396327	43396460	134	*
chr5	43397821	43397936	116	*
chr5	43400992	43401108	117	*
chr1	1627921	1628113	193	*
chr5	44560933	44561559	627	*
chr5	44563931	44564046	116	*
chr5	44979686	44979821	136	*
chr5	45349920	45350534	615	*
chr5	45386533	45386700	168	*
chr5	45426334	45426534	201	*
chr5	46632508	46632787	280	*
chr5	48490594	48490795	202	*
chr5	48514507	48514642	136	*
chr5	48911085	48911295	211	*
chr5	48924680	48924907	228	*
chr1	92502468	92502680	213	*
chr1	92564637	92565287	651	*
chr5	49735113	49736673	1561	*
chr1	92620240	92620410	171	*
chr5	49942848	49942972	125	*
chr5	49956355	49956610	256	*
chr5	50060307	50060477	171	*
chr5	50070547	50071382	836	*
chr5	50112659	50113359	701	*
chr5	50120496	50120656	161	*
chr5	50475991	50476100	110	*
chr5	50477221	50477383	163	*
chr5	50488045	50488451	407	*
chr5	50636533	50636801	269	*
chr5	50661265	50661429	165	*
chr5	50969884	50970184	301	*
chr1	92776549	92776757	209	*
chr5	51888502	51889080	579	*
chr1	92881181	92881303	123	*
chr5	52320646	52320831	186	*
chr5	52894534	52894857	324	*
chr5	52937027	52938432	1406	*
chr5	53077560	53078578	1019	*
chr5	53546632	53546735	104	*
chr5	53551715	53551852	138	*
chr5	54718306	54719163	858	*
chr5	55677601	55677842	242	*
chr5	55710672	55711651	980	*
chr5	55719925	55720065	141	*
chr5	56563436	56563560	125	*
chr5	57127717	57127916	200	*
chr5	58976571	58976828	258	*
chr6	3212965	3213093	129	*
chr6	5490604	5490866	263	*
chr1	93796493	93796612	120	*
chr1	93797055	93799306	2252	*
chr1	93800645	93800917	273	*
chr6	10237095	10237309	215	*
chr6	11199430	11199598	169	*
chr6	11336603	11336782	180	*
chr6	11338152	11338281	130	*
chr6	11454976	11455184	209	*
chr6	11531694	11531811	118	*
chr6	11985324	11985536	213	*
chr6	13114917	13115130	214	*
chr6	14552406	14552874	469	*
chr1	94831263	94831591	329	*
chr1	94975046	94975220	175	*
chr6	16520040	16520296	257	*
chr6	16809635	16809850	216	*
chr6	16968918	16969197	280	*
chr6	17273803	17273941	139	*
chr6	18596575	18596709	135	*
chr6	19155918	19156074	157	*
chr6	20233683	20233816	134	*
chr6	21051611	21051710	100	*
chr6	21054279	21054415	137	*
chr6	21603632	21604629	998	*
chr6	21757795	21758081	287	*
chr6	21913258	21913439	182	*
chr6	22046515	22046764	250	*
chr6	22645937	22646224	288	*
chr6	23413725	23413872	148	*
chr6	23421567	23421966	400	*
chr6	23885852	23886056	205	*
chr6	24444802	24444925	124	*
chr6	25064669	25064867	199	*
chr6	25646949	25647116	168	*
chr6	26086047	26086307	261	*
chr6	28436595	28437072	478	*
chr6	30236328	30236498	171	*
chr1	97940391	97940592	202	*
chr1	97944265	97944395	131	*
chr1	97960043	97960251	209	*
chr1	97973592	97973960	369	*
chr6	31099227	31099375	149	*
chr6	31292484	31292667	184	*
chr1	97979027	97979181	155	*
chr6	33941696	33941916	221	*
chr1	98336652	98336787	136	*
chr6	35143462	35144758	1297	*
chr6	35801202	35801472	271	*
chr1	98412096	98412274	179	*
chr7	2300404	2300546	143	*
chr1	12494908	12495028	121	*
chr7	2662920	2663064	145	*
chr7	2697125	2697504	380	*
chr7	5322733	5322914	182	*
chr7	5383268	5383376	109	*
chr7	6952110	6952236	127	*
chr7	8327351	8327521	171	*
chr7	10199304	10199449	146	*
chr7	11346181	11346828	648	*
chr7	12460786	12461235	450	*
chr7	12628010	12629226	1217	*
chr7	12674967	12675309	343	*
chr7	13735139	13735360	222	*
chr7	13823733	13823909	177	*
chr7	14073220	14073378	159	*
chr7	14926980	14927136	157	*
chr1	99700313	99700671	359	*
chr7	15456479	15456704	226	*
chr7	16302455	16302753	299	*
chr7	16902322	16902630	309	*
chr1	100054962	100055107	146	*
chr7	17353438	17353563	126	*
chr7	17377148	17377468	321	*
chr1	100071097	100071232	136	*
chr7	17856717	17856878	162	*
chr7	18022223	18022334	112	*
chr7	18130266	18130376	111	*
chr7	18133315	18133533	219	*
chr7	18420714	18420902	189	*
chr7	18549460	18549617	158	*
chr7	18621421	18621598	178	*
chr7	18768041	18768179	139	*
chr7	19605862	19606704	843	*
chr7	19707499	19707811	313	*
chr7	19728473	19729717	1245	*
chr7	19955783	19955913	131	*
chr7	19965159	19965443	285	*
chr7	20579924	20582454	2531	*
chr1	100704262	100704539	278	*
chr7	21009577	21009837	261	*
chr7	21213113	21213307	195	*
chr1	100939218	100939369	152	*
chr7	21958805	21959000	196	*
chr7	21969179	21969298	120	*
chr7	21971742	21971847	106	*
chr7	22002987	22003160	174	*
chr7	22007917	22008082	166	*
chr7	22008418	22008679	262	*
chr1	12663922	12664080	159	*
chr7	22247517	22247661	145	*
chr1	12664260	12664405	146	*
chr7	22573252	22573386	135	*
chr7	23619705	23620107	403	*
chr1	102248011	102248239	229	*
chr7	26042148	26042247	100	*
chr7	26145810	26145935	126	*
chr7	26263677	26263887	211	*
chr7	26567053	26567264	212	*
chr7	26614806	26615035	230	*
chr7	26675956	26676184	229	*
chr7	27572152	27572452	301	*
chr7	28049132	28049317	186	*
chr7	28052265	28052466	202	*
chr7	28053671	28054029	359	*
chr7	29198146	29198495	350	*
chr7	29332734	29332858	125	*
chr7	30416969	30417107	139	*
chr1	104343772	104343954	183	*
chr7	31194460	31194670	211	*
chr7	31404444	31404632	189	*
chr7	31406870	31407489	620	*
chr7	31897577	31897870	294	*
chr7	31936409	31936551	143	*
chr7	31944533	31944692	160	*
chr7	31972364	31972606	243	*
chr7	33205021	33205387	367	*
chr1	105522593	105522854	262	*
chr7	36076446	36076802	357	*
chr8	1305709	1305896	188	*
chr8	1331761	1332163	403	*
chr8	1337949	1338160	212	*
chr1	105808111	105808343	233	*
chr8	1910060	1910179	120	*
chr8	3143724	3143928	205	*
chr8	4211366	4211539	174	*
chr8	4231708	4231856	149	*
chr8	4503028	4503159	132	*
chr1	106107223	106107372	150	*
chr8	6097895	6098240	346	*
chr8	6123115	6123326	212	*
chr8	7784781	7784886	106	*
chr8	7991071	7991245	175	*
chr1	106383896	106384115	220	*
chr1	106423445	106423653	209	*
chr8	10870139	10870278	140	*
chr1	106433515	106433782	268	*
chr1	106434535	106434906	372	*
chr1	106436373	106436605	233	*
chr8	11070522	11070704	183	*
chr8	12637012	12638291	1280	*
chr8	12640278	12640471	194	*
chr8	14268821	14269015	195	*
chr8	14471449	14471579	131	*
chr8	14581469	14582046	578	*
chr8	14636128	14636829	702	*
chr1	106737376	106737553	178	*
chr8	15054141	15054264	124	*
chr1	106766886	106767075	190	*
chr1	106776617	106776797	181	*
chr8	15363790	15364611	822	*
chr8	15500202	15500806	605	*
chr8	16334120	16334288	169	*
chr1	106911065	106911187	123	*
chr1	106917254	106917422	169	*
chr8	17044067	17044243	177	*
chr1	107005464	107007588	2125	*
chr1	107329543	107329732	190	*
chr8	20331707	20331862	156	*
chr8	20464805	20465388	584	*
chr8	20466010	20466118	109	*
chr8	20831342	20831460	119	*
chr8	20878179	20878495	317	*
chr8	20894315	20894448	134	*
chr8	21089188	21089354	167	*
chr8	21296799	21297638	840	*
chr8	21301263	21301406	144	*
chr8	21584859	21585018	160	*
chr8	21756881	21757014	134	*
chr8	21766281	21766530	250	*
chr8	21789412	21789604	193	*
chr8	21863383	21863497	115	*
chr1	13189027	13189226	200	*
chr8	22020069	22020308	240	*
chr8	23372880	23373268	389	*
chr8	24368435	24368554	120	*
chr8	26935593	26935815	223	*
chr8	27681459	27681619	161	*
chr8	27794568	27794784	217	*
chr8	27880584	27880824	241	*
chr8	27888571	27888815	245	*
chr1	108593202	108594164	963	*
chr8	28494636	28494901	266	*
chr1	108869630	108870446	817	*
chr8	29319791	29320388	598	*
chr1	109023030	109023153	124	*
chr9	798373	798537	165	*
chr9	1644613	1644718	106	*
chr9	1646968	1647093	126	*
chr9	1651785	1652245	461	*
chr9	2789319	2789596	278	*
chr9	2791425	2791603	179	*
chr9	2807961	2808102	142	*
chr9	2816851	2816964	114	*
chr9	3806383	3806549	167	*
chr9	5071362	5071675	314	*
chr9	5210837	5211012	176	*
chr9	5573177	5574357	1181	*
chr1	109617318	109617552	235	*
chr9	6732428	6732573	146	*
chr1	109730078	109730484	407	*
chr9	8557976	8558977	1002	*
chr9	8559631	8559790	160	*
chr9	8578226	8578468	243	*
chr9	8662367	8662559	193	*
chr9	8675922	8676040	119	*
chr9	8705734	8705918	185	*
chr9	8968211	8969324	1114	*
chr9	10216257	10216428	172	*
chr9	10231159	10231260	102	*
chr9	10251100	10251254	155	*
chr9	10597991	10598123	133	*
chr9	10796655	10796779	125	*
chr1	110344121	110344346	226	*
chr1	110345941	110346105	165	*
chr1	110390787	110391288	502	*
chr1	110404005	110404107	103	*
chr9	12641384	12641505	122	*
chr9	12643167	12643343	177	*
chr9	13037823	13038007	185	*
chr1	110476812	110477563	752	*
chr9	15071890	15072085	196	*
chr9	15782166	15782282	117	*
chr9	15869831	15870093	263	*
chr9	15902448	15902770	323	*
chr9	15968990	15969166	177	*
chr9	16511974	16512215	242	*
chr9	16599252	16599428	177	*
chr9	16606301	16606477	177	*
chr9	16607042	16607159	118	*
chr1	110955407	110955582	176	*
chr1	110958844	110958984	141	*
chr9	20394838	20394991	154	*
chr9	20414041	20415447	1407	*
chr1	111546748	111546916	169	*
chr1	111554377	111554597	221	*
chr1	111590122	111590327	206	*
chr1	111627623	111627787	165	*
chr1	112151693	112151875	183	*
chr1	112168821	112168950	130	*
chr1	112170449	112170588	140	*
chr1	112190624	112190738	115	*
chr1	112192611	112192879	269	*
chr1	112219974	112220108	135	*
chr1	112264386	112264510	125	*
chr1	113267044	113267184	141	*
chr1	113271468	113271594	127	*
chr1	113279515	113279725	211	*
chr1	113386815	113386918	104	*
chr1	113391824	113392066	243	*
chr1	113397379	113397617	239	*
chr1	113405028	113405294	267	*
chr1	113416749	113416883	135	*
chr1	113420826	113421079	254	*
chr1	113425828	113426201	374	*
chr1	113433039	113433197	159	*
chr1	113439266	113439376	111	*
chr1	113445581	113445858	278	*
chr1	113447287	113447521	235	*
chr1	113448250	113448370	121	*
chr1	113561186	113561382	197	*
chr1	13771857	13772112	256	*
chr1	113712676	113712943	268	*
chr1	113716688	113717031	344	*
chr1	113727872	113728015	144	*
chr1	114086805	114086966	162	*
chr1	13924981	13925101	121	*
chr1	114936270	114936456	187	*
chr1	116012805	116014260	1456	*
chr1	116017313	116017481	169	*
chr1	13962919	13963366	448	*
chr1	117542543	117542728	186	*
chr1	119452203	119452331	129	*
chr1	119495645	119495802	158	*
chr1	119501863	119502060	198	*
chr1	119617190	119618462	1273	*
chr1	119622844	119623004	161	*
chr1	119862632	119864404	1773	*
chr1	119880534	119881253	720	*
chr1	120613969	120614662	694	*
chr1	14171831	14171966	136	*
chr1	120694452	120694856	405	*
chr1	14181409	14181712	304	*
chr1	14188669	14188896	228	*
chr1	121330829	121330942	114	*
chr1	121516475	121516574	100	*
chr1	121812693	121812977	285	*
chr1	121841053	121841203	151	*
chr1	121926174	121926470	297	*
chr1	122114213	122114472	260	*
chr1	122800957	122801164	208	*
chr1	14668946	14669112	167	*
chr1	123885568	123885700	133	*
chr1	124928442	124929158	717	*
chr1	124929307	124929991	685	*
chr1	124934419	124934579	161	*
chr1	124952062	124952183	122	*
chr1	125050169	125050293	125	*
chr1	125710429	125710628	200	*
chr1	126199870	126199994	125	*
chr1	126210904	126211137	234	*
chr1	126256134	126256289	156	*
chr1	126277748	126277943	196	*
chr1	126289743	126289843	101	*
chr1	126384710	126384996	287	*
chr1	14847000	14848347	1348	*
chr1	129461762	129462036	275	*
chr1	130117017	130117234	218	*
chr1	14937169	14937272	104	*
chr1	14938680	14938804	125	*
chr1	14941342	14941582	241	*
chr1	131443855	131443996	142	*
chr1	131655970	131656087	118	*
chr1	131695837	131695945	109	*
chr1	131706297	131706637	341	*
chr1	131706757	131707119	363	*
chr1	131709015	131709120	106	*
chr1	132567384	132568049	666	*
chr1	132568463	132568700	238	*
chr1	132595274	132595386	113	*
chr1	132986493	132986827	335	*
chr1	133079662	133079856	195	*
chr1	133208998	133209415	418	*
chr1	133213445	133214713	1269	*
chr1	133227617	133227780	164	*
chr1	133491613	133492246	634	*
chr1	133517674	133517863	190	*
chr1	133531994	133532129	136	*
chr1	133973388	133973690	303	*
chr1	133982664	133982810	147	*
chr1	133999748	134000134	387	*
chr1	134043167	134043877	711	*
chr1	134696573	134696786	214	*
chr1	134979060	134979200	141	*
chr1	135005598	135005758	161	*
chr1	136404298	136404709	412	*
chr1	136421722	136422416	695	*
chr1	136730124	136730247	124	*
chr1	136756261	136756557	297	*
chr1	137500068	137500295	228	*
chr1	138079125	138079227	103	*
chr1	15510117	15510270	154	*
chr1	15513962	15514137	176	*
chr1	138270508	138270631	124	*
chr1	15520903	15521099	197	*
chr1	138539796	138540041	246	*
chr1	138543614	138543790	177	*
chr1	138648942	138650310	1369	*
chr1	138657439	138657616	178	*
chr1	138816666	138816772	107	*
chr1	138867572	138867678	107	*
chr1	138886243	138886362	120	*
chr1	15547157	15547379	223	*
chr1	139115473	139115699	227	*
chr1	139126382	139126540	159	*
chr1	140513873	140514083	211	*
chr1	140582216	140582522	307	*
chr1	140691545	140691755	211	*
chr1	140711156	140711291	136	*
chr1	140724127	140724279	153	*
chr1	140732345	140732444	100	*
chr1	140746332	140746438	107	*
chr1	141812339	141812527	189	*
chr1	15878794	15878938	145	*
chr1	144306440	144306703	264	*
chr1	144318915	144319074	160	*
chr1	144819854	144819984	131	*
chr1	145023033	145023170	138	*
chr1	145061563	145061735	173	*
chr1	145066368	145066575	208	*
chr1	145123358	145123475	118	*
chr1	145136001	145136308	308	*
chr1	145139917	145140043	127	*
chr1	145143526	145143625	100	*
chr1	145330814	145331047	234	*
chr1	145362680	145363221	542	*
chr1	16022432	16024095	1664	*
chr1	145604772	145605369	598	*
chr1	145720883	145721392	510	*
chr1	16135987	16136273	287	*
chr1	146163872	146164015	144	*
chr1	146203526	146203864	339	*
chr1	146218739	146218870	132	*
chr1	146222971	146223187	217	*
chr1	146714944	146715364	421	*
chr1	146995862	146996577	716	*
chr1	147874134	147874363	230	*
chr1	148004038	148004195	158	*
chr1	148139224	148139434	211	*
chr1	152610954	152611950	997	*
chr1	154503796	154503947	152	*
chr1	154513796	154513970	175	*
chr1	154522605	154522729	125	*
chr1	154524497	154524714	218	*
chr1	154880881	154881024	144	*
chr1	154889448	154889556	109	*
chr1	155682566	155682726	161	*
chr1	155686281	155686416	136	*
chr1	155693995	155694196	202	*
chr1	155702637	155702789	153	*
chr1	155704938	155705162	225	*
chr1	155719435	155719570	136	*
chr1	155734713	155735085	373	*
chr1	155742617	155742929	313	*
chr1	155749097	155749312	216	*
chr1	155758623	155758830	208	*
chr1	155767821	155768110	290	*
chr1	155771272	155771400	129	*
chr1	156245505	156245711	207	*
chr1	156279821	156279971	151	*
chr1	156280755	156280892	138	*
chr1	157134431	157134983	553	*
chr1	157153721	157153999	279	*
chr1	17631677	17632994	1318	*
chr1	158367430	158367928	499	*
chr1	159164727	159164880	154	*
chr1	159277216	159277396	181	*
chr1	160445608	160448710	3103	*
chr1	161146704	161147821	1118	*
chr1	163199558	163201896	2339	*
chr1	164781738	164782680	943	*
chr1	164791008	164791116	109	*
chr1	164859114	164859519	406	*
chr1	167240707	167240865	159	*
chr1	167378457	167378576	120	*
chr1	167436145	167436281	137	*
chr1	167644910	167645029	120	*
chr1	167685875	167685990	116	*
chr1	167755795	167756004	210	*
chr1	168207935	168208206	272	*
chr1	169122168	169122277	110	*
chr1	171427964	171428089	126	*
chr1	171432192	171432363	172	*
chr1	171656528	171656637	110	*
chr1	172246740	172246874	135	*
chr1	173176065	173176478	414	*
chr1	173250916	173251117	202	*
chr1	173682321	173682837	517	*
chr1	174468118	174468736	619	*
chr1	20271434	20271621	188	*
chr1	175864434	175864633	200	*
chr1	175882170	175882270	101	*
chr1	175942923	175943606	684	*
chr1	176040823	176040962	140	*
chr1	176041344	176041459	116	*
chr1	176290636	176290739	104	*
chr1	20344247	20345562	1316	*
chr1	176605522	176605757	236	*
chr1	177299387	177299641	255	*
chr1	177313628	177313876	249	*
chr1	177816939	177817873	935	*
chr1	177855716	177855987	272	*
chr1	177857626	177857945	320	*
chr1	177998006	177998152	147	*
chr1	178102931	178103055	125	*
chr1	178117567	178117707	141	*
chr1	178221883	178222205	323	*
chr1	178399433	178399983	551	*
chr1	178711970	178712162	193	*
chr1	178971692	178975537	3846	*
chr1	178975570	178982074	6505	*
chr1	180012901	180014485	1585	*
chr1	180411817	180412045	229	*
chr1	180425443	180426312	870	*
chr1	20648967	20649289	323	*
